N	3gram	Potebnia_M_1	Dialekti
1	и т д	4	15
2	по крайней мере	2	9
3	с точки зрения	3	8
4	сама по себе	3	7
5	в том что	13	6
6	субъекта и объекта	4	4
7	то же время	3	4
8	в том смысле	4	4
9	с другой стороны	5	4
10	только тогда когда	4	4
11	и может быть	2	3
12	в таком случае	2	3
13	в то же	3	3
14	что иное как	2	3
15	не что иное	2	3
16	не может быть	9	3
17	не нуждается в	2	3
18	с самого начала	3	2
19	не только в	3	2
20	как бы ни	2	2
21	не могут быть	2	2
22	тем не менее	6	2
23	и т п	2	2
24	само по себе	4	2
