N	2gram	Tiupa_Narr_1	FransuaR
1	и в	19	41
2	то есть	19	20
3	в этом	17	15
4	и все	2	14
5	как и	7	14
6	в этой	5	13
7	то же	4	13
8	все эти	2	13
9	в его	9	12
10	прежде всего	4	11
11	в том	18	11
12	как мы	3	11
13	в себе	8	11
14	так и	9	10
15	в то	3	10
16	в качестве	21	9
17	и его	5	9
18	не в	14	9
19	же время	4	9
20	но и	23	9
21	и т.п	8	9
22	в своем	2	9
23	что в	3	9
24	по существу	2	8
25	то что	11	8
26	но в	6	8
27	как бы	4	7
28	в нем	4	7
29	и не	20	7
30	у него	4	6
31	это не	2	6
32	ни в	3	6
33	есть в	2	6
34	для него	2	6
35	и до	2	6
36	только в	4	6
37	о том	6	6
38	уже в	3	5
39	не только	32	5
40	в ней	3	5
41	как в	7	5
42	а в	11	5
43	к нему	5	5
44	и для	2	5
45	так же	2	5
46	точки зрения	10	5
47	в эпизоде	3	5
48	том числе	6	4
49	что это	3	4
50	хотя и	3	4
51	том что	14	4
52	но все	4	4
53	одна из	3	4
54	было бы	4	4
55	картины мира	5	4
56	в сущности	3	4
57	может быть	25	4
58	он не	3	4
59	мира и	2	4
60	и на	3	4
61	та же	2	4
62	и с	4	4
63	ничего не	2	4
64	мира в	5	4
65	что у	2	3
66	нового времени	2	3
67	и потому	2	3
68	в мире	9	3
69	свою очередь	3	3
70	в свою	3	3
71	при этом	9	3
72	из них	3	3
73	несмотря на	2	3
74	например в	2	3
75	все то	2	3
76	в область	2	3
77	о нем	4	3
78	лица и	2	3
79	что он	6	3
80	с ее	3	3
81	жизни и	3	3
82	в форме	5	3
83	не может	10	3
84	не было	2	3
85	в той	6	3
86	тем самым	6	3
87	с точки	2	3
88	не имеет	2	3
89	можно было	2	3
90	тем что	3	3
91	не на	2	3
92	его в	2	3
93	перед нами	4	2
94	с его	6	2
95	ни было	3	2
96	именно в	6	2
97	и др	2	2
98	никогда не	3	2
99	числе и	4	2
100	здесь и	2	2
101	человека в	2	2
102	и ее	2	2
103	к тому	7	2
104	было как	4	2
105	отношению к	6	2
106	и как	5	2
107	более или	2	2
108	на другой	2	2
109	точка зрения	6	2
110	в себя	6	2
111	отношение к	2	2
112	еще не	7	2
113	они в	2	2
114	своего рода	12	2
115	одного из	4	2
116	значительной степени	2	2
117	на том	3	2
118	одной из	4	2
119	и самого	3	2
120	картина мира	5	2
121	а также	7	2
122	все те	4	2
123	оно не	2	2
124	не есть	3	2
125	же в	4	2
126	во второй	2	2
127	время в	2	2
128	или менее	2	2
129	во времени	8	2
130	во всей	2	2
131	по отношению	7	2
132	в связи	2	2
133	в особенности	4	2
134	этом отношении	3	2
135	его как	2	2
136	не мог	4	2
137	в значительной	2	2
138	а не	12	2
139	из которых	4	2
140	уже не	5	2
141	особенно в	3	2
142	но без	2	2
143	роль в	2	2
144	или в	2	2
145	в данном	5	2
146	в результате	2	2
147	в литературе	2	2
148	к самому	2	2
149	и т.д	7	2
150	далеко не	5	2
151	в области	2	2
152	мы имеем	2	2
