N	2gram	Bakhtin_fo_2	Problema
1	и в	46	30
2	то есть	10	21
3	то что	7	18
4	не только	11	18
5	том что	4	17
6	в этом	22	17
7	и даже	3	14
8	но и	9	13
9	таким образом	3	13
10	людей и	2	13
11	потому что	8	13
12	в том	10	12
13	в его	8	12
14	и не	9	12
15	также и	4	12
16	о том	4	12
17	в своем	5	11
18	у него	9	11
19	так что	4	11
20	точки зрения	10	10
21	в этой	2	10
22	на земле	2	9
23	все же	6	9
24	но в	10	9
25	только в	11	9
26	и все	6	9
27	в конце	2	8
28	вовсе не	13	8
29	хотя и	3	8
30	с точки	8	8
31	никогда не	6	7
32	что он	3	7
33	у нас	2	7
34	как и	8	7
35	в дальнейшем	5	7
36	связи с	8	7
37	но не	5	7
38	может быть	7	7
39	вместе с	9	7
40	на землю	2	7
41	так и	7	7
42	в связи	8	7
43	не в	9	7
44	здесь не	2	7
45	с другой	2	6
46	прежде всего	14	6
47	можно сказать	2	6
48	уже не	3	6
49	и как	3	6
50	и для	9	6
51	как бы	10	6
52	в нем	5	6
53	что и	3	6
54	а в	3	6
55	и его	12	6
56	и на	7	6
57	его в	6	6
58	так как	6	6
59	с тем	2	5
60	что в	5	5
61	так же	2	5
62	и их	4	5
63	и о	2	5
64	в античном	5	5
65	не может	2	5
66	а не	4	5
67	и у	5	5
68	но он	2	5
69	и с	6	5
70	если не	2	4
71	в частности	5	4
72	отнюдь не	4	4
73	у боккаччо	2	4
74	жизни в	4	4
75	человека и	4	4
76	в смысле	5	4
77	при этом	6	4
78	того же	3	4
79	было бы	2	4
80	в качестве	3	4
81	и к	2	4
82	не мог	2	4
83	и он	4	4
84	в себе	4	4
85	в то	5	4
86	далеко не	2	4
87	в самой	2	3
88	именно в	2	3
89	и другие	3	3
90	еще более	4	3
91	в отношении	2	3
92	в духе	2	3
93	и людей	2	3
94	все в	2	3
95	же в	4	3
96	что они	4	3
97	тот же	3	3
98	совсем не	2	3
99	смысле слова	2	3
100	еще не	6	3
101	для того	8	3
102	он не	5	3
103	а также	3	3
104	а потом	2	3
105	с одной	2	3
106	того что	3	3
107	в эпоху	4	3
108	тем же	2	3
109	жизнь и	3	3
110	от этого	2	3
111	в другом	3	3
112	с ним	4	3
113	в одном	7	3
114	в виду	3	3
115	мира в	3	3
116	только для	2	2
117	прежде чем	3	2
118	мы будем	3	2
119	на небе	2	2
120	и более	2	2
121	в них	7	2
122	том числе	3	2
123	по всему	3	2
124	как в	4	2
125	это не	2	2
126	с этой	4	2
127	уже в	4	2
128	один из	2	2
129	представление о	2	2
130	к этому	3	2
131	значение и	4	2
132	по себе	2	2
133	здесь в	6	2
134	к тому	3	2
135	то же	8	2
136	как мы	6	2
137	он был	2	2
138	без всякого	2	2
139	по существу	5	2
140	что здесь	2	2
141	равно как	2	2
142	кроме того	3	2
143	до сих	2	2
144	со всеми	2	2
145	в это	3	2
146	жизни и	8	2
147	в данном	2	2
148	мы имеем	2	2
149	конечно не	4	2
150	в заключение	2	2
151	за ними	4	2
152	характерное для	2	2
153	в котором	4	2
154	из них	8	2
155	наряду с	2	2
156	и до	2	2
157	ее в	3	2
158	все что	2	2
159	человеческой жизни	4	2
160	отношение к	3	2
161	борьбе с	2	2
162	и только	2	2
163	все эти	5	2
164	и они	3	2
165	с помощью	3	2
166	того чтобы	8	2
167	во всяком	2	2
168	тем что	3	2
169	в одной	2	2
170	у вольтера	2	2
171	мира и	9	2
172	сих пор	2	2
