N	2gram	Bakhtin_sl_1	formyVre
1	и в	41	46
2	в этом	12	22
3	у рабле	3	18
4	прежде всего	8	14
5	и т	28	14
6	вовсе не	7	13
7	в романе	21	13
8	и его	14	12
9	только в	6	11
10	не только	16	11
11	во всех	17	11
12	т п	23	11
13	в том	3	10
14	как бы	12	10
15	точки зрения	16	10
16	то есть	26	10
17	но в	8	10
18	у него	3	9
19	не в	7	9
20	мы уже	2	9
21	но и	16	9
22	и не	16	9
23	и для	4	9
24	связи с	2	8
25	как и	4	8
26	в его	13	8
27	то же	14	8
28	для того	2	8
29	с точки	8	8
30	потому что	2	8
31	из них	3	8
32	в основном	3	8
33	всех этих	4	7
34	в них	6	7
35	в одном	2	7
36	может быть	14	7
37	так и	11	7
38	и на	14	7
39	так сказать	5	7
40	никогда не	3	6
41	и во	3	6
42	и все	4	6
43	при этом	6	6
44	как мы	8	6
45	здесь в	4	6
46	еще не	4	6
47	его в	3	6
48	все же	7	6
49	все это	5	6
50	в особенности	8	6
51	те же	2	6
52	и наконец	4	6
53	в основе	5	6
54	романе в	3	6
55	так как	3	6
56	и с	4	6
57	в частности	2	5
58	в своем	3	5
59	с этим	3	5
60	связанные с	3	5
61	по существу	3	5
62	в пределах	14	5
63	в то	14	5
64	но не	2	5
65	он не	3	5
66	и др	14	5
67	в нем	30	5
68	все эти	9	5
69	в смысле	4	5
70	и у	2	5
71	должно быть	2	5
72	с этой	3	4
73	из этих	3	4
74	же время	12	4
75	с ним	7	4
76	том что	2	4
77	так что	2	4
78	что они	2	4
79	с другом	2	4
80	друг с	2	4
81	том же	4	4
82	в котором	2	4
83	конечно не	3	4
84	как в	8	4
85	еще более	5	4
86	а не	15	4
87	также и	3	4
88	в себе	3	4
89	в истории	3	4
90	о том	3	4
91	и самое	2	4
92	все его	4	4
93	не было	3	3
94	связанных с	4	3
95	все они	7	3
96	не является	2	3
97	того же	6	3
98	к этому	2	3
99	для романа	2	3
100	к тому	3	3
101	следовательно и	3	3
102	в качестве	3	3
103	в большинстве	10	3
104	для него	3	3
105	кроме того	4	3
106	уже сказали	2	3
107	хотя и	2	3
108	а также	2	3
109	зрения не	2	3
110	точка зрения	8	3
111	слова и	13	3
112	отношение к	7	3
113	но эти	3	3
114	т д	5	3
115	не на	5	3
116	таким образом	9	3
117	в их	4	3
118	уже не	2	3
119	того что	3	3
120	и даже	6	3
121	и по	2	3
122	а в	6	3
123	роль в	2	3
124	в другом	2	3
125	на протяжении	2	3
126	в этих	2	3
127	большинстве случаев	6	3
128	на этом	2	2
129	в роман	19	2
130	не были	3	2
131	по своему	2	2
132	смысла и	3	2
133	друг другу	2	2
134	характерно что	2	2
135	лежит в	4	2
136	с другой	5	2
137	и других	3	2
138	это не	6	2
139	роман в	2	2
140	романа в	3	2
141	почти вовсе	5	2
142	но здесь	3	2
143	они были	2	2
144	что все	2	2
145	в духе	2	2
146	или иной	9	2
147	можно сказать	2	2
148	в отношении	6	2
149	как его	5	2
150	именно в	3	2
151	у нас	2	2
152	мы видим	2	2
153	перестает быть	2	2
154	а на	2	2
155	между ними	2	2
156	смысле слова	2	2
157	до конца	12	2
158	она не	3	2
159	было бы	3	2
160	и к	5	2
161	в сущности	13	2
162	и о	2	2
163	словом и	3	2
164	наконец в	2	2
165	и потому	4	2
166	жизни но	2	2
167	один из	4	2
168	сих пор	2	2
169	романа у	3	2
170	этом случае	2	2
171	быть и	4	2
172	не может	14	2
173	здесь не	2	2
174	в зоне	2	2
175	с одной	4	2
176	в той	10	2
177	лишь в	4	2
178	эпохи и	2	2
179	так же	2	2
180	рядом с	4	2
181	у них	2	2
182	почти всегда	3	2
183	в данном	3	2
184	то в	2	2
185	от этого	2	2
186	и стиль	2	2
187	автора и	4	2
188	и от	4	2
189	могут быть	19	2
190	но он	2	2
191	и почти	3	2
192	и самая	2	2
193	ту же	4	2
194	не могла	2	2
195	в поэзии	3	2
196	далеко не	5	2
197	там где	4	2
198	во всяком	7	2
199	оно было	2	2
200	до сих	2	2
