N	2gram	Bakhtin_Pr_4	TeoriaLi
1	в мире	3	24
2	не только	14	18
3	и не	27	16
4	а в	2	14
5	и в	46	13
6	может быть	23	12
7	так и	4	12
8	то есть	40	12
9	при этом	5	11
10	в этом	16	11
11	в том	9	11
12	но не	4	10
13	а не	11	10
14	и его	6	10
15	в его	9	9
16	то же	6	9
17	что в	4	8
18	своего рода	4	8
19	отношению к	5	8
20	но и	12	8
21	по отношению	5	8
22	себя в	3	7
23	в себе	7	7
24	том что	4	7
25	в отличие	3	7
26	в данном	2	7
27	точки зрения	11	7
28	по своей	3	7
29	в то	5	7
30	только в	6	7
31	отличие от	3	7
32	с его	5	6
33	же время	5	6
34	еще не	7	6
35	в первой	2	6
36	лишь в	2	6
37	как бы	19	6
38	но в	6	6
39	и одновременно	2	5
40	в своем	3	5
41	или иной	2	5
42	как и	12	5
43	не в	10	5
44	в пределах	10	5
45	между ними	10	5
46	в самом	9	5
47	в нем	17	5
48	как в	4	5
49	он не	4	5
50	уже не	4	5
51	с другой	3	5
52	между тем	2	5
53	мы имеем	3	5
54	героя и	4	5
55	не менее	2	4
56	можно сказать	4	4
57	ни в	6	4
58	более или	3	4
59	в своей	3	4
60	то что	4	4
61	отношение к	3	4
62	или менее	3	4
63	в их	4	4
64	приводит к	4	4
65	и т.п	14	4
66	не может	19	4
67	в слове	3	4
68	сказать что	2	4
69	хотя и	6	4
70	но он	3	4
71	не знает	4	4
72	слова в	13	3
73	перед нами	12	3
74	никогда не	6	3
75	в этих	4	3
76	в отношении	3	3
77	этом смысле	2	3
78	прежде всего	9	3
79	и к	9	3
80	для него	2	3
81	и сам	5	3
82	например в	4	3
83	той или	2	3
84	этого слова	2	3
85	на почве	2	3
86	с ее	3	3
87	другой стороны	3	3
88	как раз	7	3
89	так в	2	3
90	таким образом	4	3
91	в другом	2	3
92	и что	3	3
93	и по	2	3
94	или в	8	3
95	самим собой	2	3
96	потому что	4	3
97	речи и	5	3
98	между двумя	3	3
99	в этой	3	3
100	и т.д	3	3
101	отношении к	2	3
102	все эти	4	3
103	в художественном	2	3
104	в произведении	2	3
105	сама по	2	2
106	но на	2	2
107	если бы	3	2
108	могут быть	2	2
109	за пределы	5	2
110	себя и	3	2
111	в конце	3	2
112	того же	3	2
113	это не	5	2
114	о себе	5	2
115	этих двух	4	2
116	на фоне	6	2
117	вовсе не	9	2
118	по себе	7	2
119	что он	6	2
120	к тому	2	2
121	об этом	2	2
122	и как	2	2
123	в присутствии	2	2
124	в большинстве	9	2
125	к области	2	2
126	слова как	3	2
127	в виду	4	2
128	к жизни	2	2
129	своей природе	2	2
130	не могло	2	2
131	и тем	2	2
132	к нему	5	2
133	в диалоге	3	2
134	могут оказаться	2	2
135	зрения и	2	2
136	слова не	2	2
137	во всех	5	2
138	вместе с	2	2
139	но она	2	2
140	образом и	3	2
141	здесь не	4	2
142	в романе	6	2
143	и для	3	2
144	в себя	4	2
145	к одному	6	2
146	в той	3	2
147	и о	3	2
148	с точки	9	2
149	в литературной	2	2
150	и даже	3	2
151	высказывания и	2	2
152	так же	3	2
153	в рассказе	2	2
154	их в	3	2
155	автора и	2	2
156	у него	5	2
157	самим собою	3	2
158	на себя	4	2
159	и здесь	4	2
160	в структуре	5	2
161	о том	5	2
162	и это	3	2
163	отношения к	2	2
