N	2gram	Nazirov_Tv_1	slovoVRo
1	и в	21	41
2	в нем	3	30
3	и т	3	28
4	то есть	12	26
5	т п	2	23
6	в романе	10	21
7	могут быть	2	19
8	но и	3	16
9	и не	7	16
10	не только	7	16
11	а не	5	15
12	то же	13	14
13	может быть	5	14
14	не может	4	14
15	и его	6	14
16	и на	7	14
17	в то	15	14
18	в его	13	13
19	же время	12	12
20	до конца	2	12
21	как бы	17	12
22	в этом	6	12
23	так и	2	11
24	таким образом	5	9
25	может не	2	8
26	прежде всего	4	8
27	на его	3	8
28	но в	7	8
29	как в	8	8
30	или в	2	8
31	не в	2	7
32	с ним	3	7
33	вовсе не	5	7
34	в своей	4	7
35	все же	5	7
36	того же	2	6
37	это не	4	6
38	при этом	7	6
39	и даже	3	6
40	а в	6	6
41	только в	5	6
42	с другой	3	5
43	и мир	2	5
44	в самом	3	5
45	все это	10	5
46	в основе	2	5
47	подхода к	3	5
48	еще более	2	5
49	далеко не	3	5
50	так сказать	2	5
51	перед нами	2	4
52	и от	4	4
53	в каждом	3	4
54	одним из	4	4
55	в ней	2	4
56	один из	4	4
57	с ее	3	4
58	в их	3	4
59	и наконец	2	4
60	и с	3	4
61	в которой	3	4
62	и все	6	4
63	с его	11	4
64	как и	12	4
65	по преимуществу	2	4
66	ту же	3	4
67	никогда не	3	3
68	хотя бы	5	3
69	переходит в	2	3
70	к тому	2	3
71	в том	7	3
72	в свою	7	3
73	для него	6	3
74	в него	2	3
75	из них	2	3
76	данном случае	2	3
77	в своем	4	3
78	именно в	2	3
79	и других	3	3
80	того что	3	3
81	о том	6	3
82	в первом	2	3
83	так как	3	3
84	у него	7	3
85	в себе	2	3
86	в качестве	2	3
87	одной из	4	3
88	он не	8	3
89	в основном	4	3
90	в данном	2	3
91	в частности	2	2
92	одного из	2	2
93	что все	3	2
94	можно сказать	2	2
95	его как	2	2
96	так что	2	2
97	сливается с	3	2
98	хотя и	3	2
99	был бы	2	2
100	и по	3	2
101	и тем	2	2
102	в целом	4	2
103	в этих	2	2
104	от других	2	2
105	на том	2	2
106	как к	2	2
107	уже не	3	2
108	одновременно и	2	2
109	так же	3	2
110	сказать что	2	2
111	потому что	5	2
112	же и	2	2
113	но он	2	2
114	в романах	13	2
115	а как	2	2
116	в котором	6	2
117	дело не	3	2
118	в духе	2	2
119	к этому	2	2
120	том что	11	2
121	то в	2	2
122	одна из	2	2
123	но не	3	2
124	с которым	2	2
125	даже в	3	2
126	на самом	3	2
127	только на	2	2
128	и у	2	2
129	той же	3	2
130	в виде	3	2
131	эти слова	2	2
132	на протяжении	3	2
