N	2gram	Medvedev_V_1	Narrotol
1	не только	25	26
2	а не	7	17
3	но и	10	15
4	в том	15	14
5	в качестве	11	14
6	и не	19	14
7	том что	8	13
8	и в	26	13
9	в этом	26	13
10	в частности	11	11
11	только в	7	11
12	может быть	22	10
13	к тому	4	9
14	так и	5	9
15	сводится к	3	9
16	а в	3	9
17	то что	6	8
18	в себе	6	8
19	не может	17	8
20	не в	6	8
21	никогда не	4	6
22	в своем	8	6
23	в жизни	2	6
24	прежде всего	13	6
25	можно сказать	4	6
26	и к	3	6
27	вслед за	2	6
28	того что	3	6
29	в его	14	6
30	все же	5	6
31	у него	6	6
32	как бы	5	6
33	всего лишь	3	6
34	но в	2	6
35	точки зрения	3	5
36	не столько	2	5
37	что он	4	5
38	одной стороны	2	5
39	хотя и	2	5
40	он не	2	5
41	в котором	3	5
42	в нем	6	5
43	отношению к	7	5
44	в форме	3	5
45	по отношению	7	5
46	таким образом	31	5
47	с одной	2	5
48	с другой	11	5
49	в то	6	5
50	далеко не	2	5
51	о том	10	5
52	перед нами	4	4
53	не менее	2	4
54	если бы	3	4
55	отнюдь не	3	4
56	в конце	3	4
57	об этом	9	4
58	же в	6	4
59	как и	7	4
60	как у	2	4
61	что в	10	4
62	для него	8	4
63	при всей	2	4
64	не является	5	4
65	жизни и	3	4
66	в своей	4	4
67	в ее	4	4
68	то же	10	4
69	и у	2	4
70	войны и	2	4
71	в силу	11	4
72	в другом	2	4
73	все его	2	4
74	в этой	4	4
75	как это	12	4
76	а как	2	3
77	с его	3	3
78	конечном счете	5	3
79	тому что	6	3
80	мы имеем	3	3
81	это не	7	3
82	представить себе	2	3
83	пока еще	2	3
84	или иной	2	3
85	в слове	3	3
86	что они	3	3
87	одна из	4	3
88	но не	2	3
89	же время	5	3
90	того или	2	3
91	к его	2	3
92	как раз	3	3
93	в конечном	7	3
94	один из	5	3
95	в целом	4	3
96	все эти	6	3
97	того чтобы	3	3
98	и даже	2	3
99	и по	3	3
100	и для	2	3
101	и его	6	3
102	с ними	4	3
103	этом отношении	13	3
104	не следует	8	3
105	сказать что	5	3
106	между тем	5	3
107	действующих лиц	5	3
108	так сказать	2	3
109	мира и	3	3
110	он сам	2	2
111	зависит от	2	2
112	же как	2	2
113	только не	2	2
114	о чем	2	2
115	по словам	8	2
116	что у	2	2
117	хотя бы	19	2
118	из этих	7	2
119	своих героев	2	2
120	с нею	2	2
121	вовсе не	3	2
122	говорит о	7	2
123	и т	23	2
124	сознания субъекта	2	2
125	как о	2	2
126	еще не	2	2
127	было бы	7	2
128	по поводу	2	2
129	мысль о	2	2
130	и он	2	2
131	со своим	2	2
132	себе и	2	2
133	персонажей и	2	2
134	о своем	2	2
135	в самом	4	2
136	во сне	21	2
137	но для	2	2
138	что она	2	2
139	от его	2	2
140	не вполне	2	2
141	что и	3	2
142	он может	2	2
143	в процессе	16	2
144	подчеркнуть что	2	2
145	именно в	2	2
146	у нас	2	2
147	в течение	2	2
148	достоевского и	2	2
149	они не	2	2
150	часто не	2	2
151	только что	4	2
152	по его	2	2
153	так же	3	2
154	как на	3	2
155	роль в	4	2
156	можно было	2	2
157	в чем	2	2
158	тому как	2	2
159	в результате	5	2
160	в ней	2	2
161	подобно тому	2	2
162	в своих	2	2
163	т п	9	2
164	говорить о	2	2
165	во время	3	2
166	как он	2	2
167	бы в	3	2
168	которая не	2	2
169	в области	2	2
170	могло бы	2	2
171	в сознании	4	2
172	том как	3	2
