N	2gram	Losev_Vlad_1	StatiiOP
1	и в	31	25
2	в этом	14	24
3	в том	11	20
4	что в	14	19
5	что он	12	19
6	может быть	6	19
7	тем что	2	19
8	том что	14	15
9	в этой	4	14
10	в его	12	12
11	то что	18	12
12	не только	24	12
13	так что	10	11
14	таким образом	3	10
15	и не	17	10
16	у него	15	9
17	но и	19	9
18	и т	2	8
19	все это	5	8
20	в своих	5	8
21	о том	11	8
22	это было	6	8
23	что касается	3	7
24	было бы	2	7
25	не может	6	7
26	что такое	2	7
27	точки зрения	2	7
28	из его	4	7
29	в то	8	7
30	место в	2	6
31	из этих	2	6
32	в конце	9	6
33	не в	5	6
34	только в	9	6
35	а а	4	6
36	как в	3	6
37	как на	2	6
38	а в	9	6
39	и на	3	6
40	в россии	4	6
41	то же	6	5
42	в них	2	5
43	потому что	11	5
44	с другой	3	5
45	на то	5	5
46	ни в	2	5
47	об этом	7	5
48	говорит что	4	5
49	такого рода	4	5
50	в котором	6	5
51	и это	2	5
52	ответ на	2	5
53	то обстоятельство	2	5
54	в году	30	5
55	того что	2	5
56	другой стороны	3	5
57	он не	10	5
58	обстоятельство что	2	5
59	так и	6	5
60	но в	12	5
61	с тем	2	4
62	всяком случае	2	4
63	в жизни	3	4
64	этом смысле	4	4
65	у нас	6	4
66	как и	4	4
67	но это	3	4
68	в начале	3	4
69	в качестве	6	4
70	можно сказать	6	4
71	в общем	3	4
72	и к	6	4
73	на его	3	4
74	он говорит	2	4
75	к ней	4	4
76	а также	5	4
77	в своей	4	4
78	в целом	3	4
79	отношение к	3	4
80	из этого	2	4
81	в особенности	4	4
82	не было	5	4
83	в течение	9	4
84	лишь в	2	4
85	в чем	2	4
86	к нему	4	4
87	и для	2	4
88	и с	14	4
89	сказать что	7	4
90	во всяком	2	4
91	в каком	2	4
92	все же	3	4
93	в которой	4	4
94	то время	2	4
95	ничего не	3	4
96	что все	2	3
97	уже в	7	3
98	с его	11	3
99	вот что	3	3
100	во время	3	3
101	к этому	6	3
102	же время	4	3
103	с которым	2	3
104	и здесь	3	3
105	он был	14	3
106	для него	7	3
107	тем более	2	3
108	что я	2	3
109	и что	6	3
110	на этом	2	3
111	кроме того	7	3
112	и если	5	3
113	несмотря на	4	3
114	между прочим	11	3
115	конце концов	3	3
116	все эти	3	3
117	со стороны	2	3
118	по этому	2	3
119	от нее	2	3
120	как раз	7	3
121	в связи	3	3
122	что этот	3	3
123	в в	3	3
124	уже не	3	3
125	что мы	2	3
126	и его	7	3
127	что для	4	3
128	в виде	3	3
129	но он	5	3
130	так как	8	3
131	во многом	2	2
132	а с	5	2
133	не был	5	2
134	это был	5	2
135	не менее	2	2
136	для его	2	2
137	никогда не	9	2
138	молодой человек	2	2
139	и у	4	2
140	что у	4	2
141	не столько	2	2
142	вовсе не	5	2
143	его к	2	2
144	к тому	3	2
145	как мы	9	2
146	а по	2	2
147	что его	4	2
148	несколько слов	2	2
149	что они	3	2
150	но не	3	2
151	более что	2	2
152	к своей	2	2
153	того же	6	2
154	своего времени	2	2
155	еще не	2	2
156	в это	2	2
157	одной из	2	2
158	течение всей	4	2
159	в самом	2	2
160	том чтобы	2	2
161	которую он	2	2
162	на что	2	2
163	и такие	2	2
164	нет и	2	2
165	года в	3	2
166	один из	4	2
167	тем не	2	2
168	и за	2	2
169	вместе с	3	2
170	дело не	2	2
171	только что	2	2
172	взгляд на	3	2
173	русской истории	2	2
174	в отношении	3	2
175	т д	2	2
176	начиная с	2	2
177	россии и	2	2
178	эти годы	3	2
179	и других	2	2
180	этой области	2	2
181	о которой	3	2
182	не мог	3	2
183	для того	2	2
184	и по	8	2
185	и всегда	3	2
186	той же	2	2
187	была не	2	2
188	то он	6	2
189	в результате	2	2
190	то и	2	2
191	в детские	2	2
192	он и	6	2
193	он писал	4	2
194	известно что	2	2
195	но как	5	2
196	на это	2	2
197	и ни	2	2
198	и тот	2	2
199	к этой	2	2
200	то есть	3	2
