N	2gram	Trubetskoy_1	Sotsiolo
1	все это	11	7
2	в том	30	5
3	в этом	12	5
4	не в	8	3
5	для нас	3	3
6	и только	2	3
7	в его	5	3
8	и в	23	3
9	не только	7	3
10	по отношению	9	2
11	еще не	5	2
12	было бы	3	2
13	как будто	5	2
14	только в	6	2
15	в конце	4	2
16	по существу	6	2
17	таким образом	31	2
18	том что	19	2
19	далеко не	5	2
20	то же	4	2
21	отношению к	9	2
22	то что	18	2
23	тем более	3	2
24	может быть	16	2
25	в результате	9	2
26	в частности	2	2
27	и что	8	2
28	но и	9	2
29	очевидно что	3	2
30	исторического развития	2	2
31	как бы	10	2
32	должна быть	5	2
33	конце концов	4	2
34	что в	8	2
