N	2gram	Bakhtin_Fr_4	Problema
1	то есть	21	39
2	то что	4	38
3	и не	16	37
4	вовсе не	9	37
5	и в	29	35
6	сказать что	5	24
7	не только	10	24
8	том что	3	19
9	даже и	2	18
10	о том	2	18
11	может быть	2	18
12	в этом	11	17
13	но и	9	16
14	только в	2	14
15	не может	2	13
16	в том	7	12
17	того что	3	12
18	также и	4	12
19	прежде всего	8	11
20	и даже	3	11
21	и с	9	10
22	еще не	4	10
23	да и	2	10
24	и то	2	10
25	в этой	13	9
26	уже не	2	8
27	в виду	2	8
28	как раз	2	8
29	все же	3	8
30	в конце	9	7
31	все эти	9	7
32	в его	8	7
33	конце концов	4	7
34	так и	11	7
35	так как	7	7
36	с другой	4	6
37	другими словами	2	6
38	ни в	2	6
39	но это	4	6
40	о чем	2	6
41	но как	3	6
42	в то	10	6
43	и для	2	6
44	мы можем	3	6
45	но в	12	6
46	как будто	2	6
47	в частности	3	5
48	кроме того	2	5
49	с одной	2	5
50	так же	7	5
51	и на	11	5
52	и все	13	5
53	уже давно	2	5
54	как и	12	5
55	связи с	2	5
56	по своему	4	5
57	то же	10	5
58	как мы	10	5
59	одной стороны	2	5
60	другой стороны	3	5
61	в себе	3	5
62	еще и	7	5
63	и это	2	5
64	и есть	4	4
65	в этих	2	4
66	в своем	3	4
67	подобного рода	2	4
68	и как	3	4
69	есть в	2	4
70	более или	3	4
71	как бы	8	4
72	и вполне	3	4
73	все это	4	4
74	таким образом	20	4
75	но только	2	4
76	всякого рода	2	4
77	в результате	4	4
78	их в	2	4
79	и здесь	3	4
80	на свете	2	4
81	тем что	4	4
82	всех этих	3	4
83	что он	4	4
84	на первый	2	4
85	но не	2	4
86	тот же	3	4
87	и о	5	4
88	или менее	3	4
89	на самом	4	4
90	далеко не	5	4
91	уже в	2	3
92	в нашем	4	3
93	к тому	2	3
94	что они	2	3
95	хотя и	2	3
96	мы уже	10	3
97	один из	4	3
98	но мы	2	3
99	и их	3	3
100	в их	2	3
101	одновременно и	3	3
102	при этом	3	3
103	и наконец	2	3
104	и по	5	3
105	в своих	2	3
106	в основе	2	3
107	его в	9	3
108	здесь только	2	3
109	уже и	2	3
110	и к	2	3
111	это и	5	3
112	и тот	2	3
113	если же	2	3
114	бы не	2	3
115	имеется в	3	3
116	с самого	3	3
117	мы здесь	2	3
118	для того	3	3
119	в слове	2	3
120	тому как	3	3
121	до наших	2	2
122	том числе	3	2
123	перед нами	4	2
124	самого начала	3	2
125	время и	2	2
126	большую роль	2	2
127	в той	2	2
128	на нем	2	2
129	числе и	2	2
130	и сам	3	2
131	и мы	2	2
132	и др	4	2
133	к нему	3	2
134	на этой	2	2
135	ни с	2	2
136	или в	2	2
137	как на	2	2
138	в ней	3	2
139	же и	3	2
140	точки зрения	4	2
141	нет ничего	2	2
142	в плане	4	2
143	это в	2	2
144	в них	7	2
145	и при	2	2
146	в качестве	3	2
147	ведь это	3	2
148	о своем	2	2
149	конечно не	4	2
150	по преимуществу	3	2
151	он не	3	2
152	что из	2	2
153	а также	2	2
154	и свои	3	2
155	того чтобы	3	2
156	той же	3	2
157	роль в	3	2
158	подобно тому	3	2
159	один и	2	2
160	на эту	3	2
161	из этого	2	2
162	здесь не	3	2
