N	2gram	Vinokur_Ku_3	Analitik
1	в качестве	2	31
2	может быть	14	29
3	в том	22	27
4	не может	6	22
5	и не	10	21
6	в частности	2	19
7	и в	23	18
8	а не	11	17
9	но и	3	17
10	отнюдь не	3	15
11	не только	17	15
12	не в	5	14
13	как и	5	13
14	в его	11	13
15	в этом	16	13
16	том что	11	12
17	при этом	6	12
18	состоит в	2	11
19	но не	3	10
20	то же	6	9
21	а в	5	9
22	иначе говоря	2	9
23	в то	3	9
24	есть не	3	8
25	не есть	3	8
26	в той	4	8
27	но в	2	8
28	к тому	3	7
29	том чтобы	4	7
30	этого слова	4	7
31	тем самым	4	7
32	это не	3	6
33	прежде всего	9	6
34	или иной	7	6
35	в самом	13	6
36	в сущности	4	6
37	той или	5	6
38	далеко не	5	6
39	то что	4	6
40	в своей	4	6
41	в отличие	2	6
42	отличие от	2	6
43	по отношению	3	6
44	точки зрения	23	6
45	только в	6	6
46	мы имеем	2	6
47	я и	3	6
48	и того	2	5
49	и как	2	5
50	что в	13	5
51	как бы	5	5
52	отношению к	2	5
53	в целом	4	5
54	в их	6	5
55	лишь в	8	5
56	между тем	4	5
57	о том	6	5
58	на вопрос	3	4
59	того что	11	4
60	и более	3	4
61	могут быть	6	4
62	столь же	4	4
63	с другой	7	4
64	по себе	6	4
65	ни в	3	4
66	тому же	3	4
67	того же	4	4
68	для того	12	4
69	в области	14	4
70	не с	2	4
71	все же	5	4
72	вместе с	2	4
73	так и	6	4
74	именно в	3	4
75	из того	2	4
76	уже не	8	4
77	не более	2	4
78	более чем	2	4
79	с точки	16	4
80	с другими	2	4
81	том числе	2	3
82	в рамках	5	3
83	не могут	5	3
84	и есть	5	3
85	однако в	2	3
86	в нашем	7	3
87	хотя бы	9	3
88	или иного	3	3
89	и к	3	3
90	что он	6	3
91	она может	2	3
92	и т	54	3
93	в силу	6	3
94	еще не	9	3
95	одной стороны	4	3
96	что не	4	3
97	он не	3	3
98	в котором	2	3
99	дело не	2	3
100	что и	6	3
101	вопрос об	2	3
102	а именно	3	3
103	в текст	2	3
104	смысл и	2	3
105	таким образом	9	3
106	а с	3	3
107	с одной	4	3
108	того чтобы	11	3
109	того или	3	3
110	что как	3	3
111	в таком	4	3
112	тому как	2	3
113	не случайно	4	3
114	т п	41	3
115	я в	3	3
116	что мы	2	3
117	вопроса о	3	3
118	как он	2	3
119	подхода к	2	3
120	быть не	2	3
121	а также	4	3
122	если бы	8	3
123	своего рода	2	3
124	таком случае	2	3
125	образом не	2	2
126	только для	2	2
127	может иметь	3	2
128	на фоне	7	2
129	все эти	7	2
130	для этого	6	2
131	в какой	3	2
132	первом случае	2	2
133	не столько	4	2
134	из этих	5	2
135	тогда когда	4	2
136	не просто	2	2
137	вовсе не	5	2
138	вопрос о	11	2
139	что именно	3	2
140	можно сказать	2	2
141	то в	3	2
142	такой же	2	2
143	должно быть	7	2
144	отношение к	3	2
145	с целью	2	2
146	в пределах	2	2
147	было бы	16	2
148	за пределы	2	2
149	и о	4	2
150	свое время	2	2
151	в ряду	3	2
152	она есть	2	2
153	не о	2	2
154	в свое	2	2
155	язык есть	4	2
156	не все	2	2
157	один из	4	2
158	в процессе	3	2
159	есть вещь	2	2
160	не говоря	2	2
161	данном случае	4	2
162	что же	5	2
163	другой стороны	3	2
164	отличается от	2	2
165	здесь не	2	2
166	как к	2	2
167	на этом	2	2
168	бы не	3	2
169	той же	3	2
170	в двух	2	2
171	на самом	3	2
172	самом деле	14	2
173	может служить	2	2
174	как мы	5	2
175	на себя	2	2
176	то он	3	2
177	также и	5	2
178	тем более	5	2
179	в данном	7	2
180	одного и	2	2
181	в первом	5	2
182	которые в	4	2
183	так как	9	2
184	потому что	12	2
185	и с	3	2
