N	2gram	Bakhtin_sl_2	Dialekti
1	и не	22	27
2	а не	14	26
3	точки зрения	8	25
4	и в	39	24
5	и т	35	24
6	не только	24	23
7	т д	2	23
8	по себе	5	20
9	не может	20	19
10	в таком	4	14
11	то что	2	14
12	с точки	3	14
13	может быть	37	13
14	таким образом	8	13
15	и даже	7	13
16	что он	2	13
17	вовсе не	10	13
18	не менее	4	11
19	в сущности	6	10
20	ни в	4	9
21	но и	21	9
22	прежде всего	8	8
23	и как	3	8
24	отличается от	2	8
25	том что	5	8
26	в этом	16	8
27	в виде	2	8
28	что в	3	7
29	никогда не	7	7
30	и нет	2	7
31	в особенности	3	7
32	что оно	4	7
33	даже и	4	7
34	это и	2	7
35	как и	6	7
36	должна быть	3	6
37	кроме того	2	6
38	все это	16	6
39	и с	9	6
40	о том	2	6
41	так как	4	6
42	и все	5	6
43	оно не	8	6
44	что и	3	6
45	то же	4	6
46	в том	5	5
47	но это	3	5
48	хотя и	2	5
49	точка зрения	2	5
50	жизни и	6	5
51	и его	33	5
52	в то	4	5
53	как это	3	5
54	в них	6	5
55	тогда когда	2	5
56	и к	6	5
57	он не	2	5
58	так и	15	5
59	уже не	5	5
60	мы не	2	5
61	только в	5	5
62	с другой	5	4
63	это не	5	4
64	не могут	5	4
65	или иной	5	4
66	сама по	3	4
67	как о	2	4
68	хотя бы	3	4
69	сказать что	3	4
70	говорить о	3	4
71	в истории	11	4
72	конечно не	5	4
73	о нем	2	4
74	если оно	2	4
75	в чем	3	4
76	для него	7	4
77	перед нами	3	3
78	не было	2	3
79	все же	6	3
80	за пределы	2	3
81	в своем	6	3
82	и от	3	3
83	его как	2	3
84	не в	9	3
85	она не	6	3
86	же время	4	3
87	одной стороны	5	3
88	в основе	4	3
89	в нем	19	3
90	с одной	5	3
91	все эти	6	3
92	и на	4	3
93	с этим	2	3
94	именно как	2	3
95	мы уже	2	3
96	во всем	4	3
97	и ни	2	3
98	ни к	2	3
99	мира и	5	3
100	сознание и	3	3
101	только о	2	3
102	зависимости от	4	3
103	одна из	4	3
104	все что	2	3
105	при его	2	3
106	но она	2	3
107	как бы	7	3
108	быть и	3	3
109	для того	2	3
110	к нему	3	3
111	той же	3	3
112	в слове	6	3
113	не знает	2	3
114	бы только	2	2
115	в смысле	4	2
116	для нас	5	2
117	на этом	3	2
118	еще не	7	2
119	при этом	7	2
120	например в	5	2
121	той или	5	2
122	себя и	4	2
123	всяком случае	2	2
124	а именно	2	2
125	для этого	4	2
126	как например	2	2
127	именно в	2	2
128	только и	2	2
129	они не	2	2
130	его не	4	2
131	а в	4	2
132	же и	2	2
133	меньше чем	2	2
134	людей и	2	2
135	также и	2	2
136	в ней	3	2
137	и здесь	2	2
138	и потому	7	2
139	в чисто	3	2
140	слово в	11	2
141	но в	6	2
142	с его	7	2
143	у него	3	2
144	в зависимости	4	2
145	на котором	2	2
146	в их	2	2
147	но как	2	2
148	но не	6	2
149	и чисто	2	2
150	со всеми	2	2
151	себя в	8	2
152	на них	2	2
153	так в	2	2
154	не меньше	2	2
155	как мы	7	2
156	и для	5	2
157	или в	2	2
158	в данном	2	2
159	во всяком	3	2
160	из себя	3	2
161	могут быть	7	2
162	как с	2	2
163	в себе	2	2
164	в его	7	2
165	может и	2	2
