N	2gram	Ircho_Kome_1	NovoeSre
1	не может	2	16
2	и в	22	16
3	нового времени	5	12
4	совсем не	2	12
5	и не	8	11
6	что в	6	9
7	он не	3	8
8	в том	11	8
9	как и	9	7
10	в этом	3	7
11	может быть	9	7
12	не в	6	6
13	но это	2	6
14	ни в	6	6
15	в нем	4	5
16	все это	5	5
17	с ее	2	5
18	не только	10	5
19	не менее	3	4
20	то что	2	4
21	в них	3	4
22	и все	3	4
23	новое время	3	4
24	потому что	5	4
25	по своему	3	4
26	прежде всего	5	4
27	о том	8	4
28	но и	11	3
29	в истории	5	3
30	с другой	5	3
31	вопрос о	3	3
32	к тому	6	3
33	как в	5	3
34	еще не	2	3
35	наряду с	2	3
36	за пределы	2	3
37	в новое	2	3
38	времени и	2	2
39	на протяжении	4	2
40	вернуться к	2	2
41	место в	3	2
42	у него	3	2
43	вместе с	2	2
44	так и	5	2
45	для этого	2	2
46	и формы	2	2
47	который в	2	2
48	другой стороны	5	2
49	а в	6	2
50	с одной	3	2
51	такой же	2	2
52	одной стороны	3	2
53	и даже	5	2
54	но не	2	2
55	в свои	3	2
56	так же	3	2
57	время как	4	2
58	мы не	3	2
59	войны и	5	2
60	том что	12	2
61	же как	3	2
62	одна из	2	2
63	и с	3	2
64	могут быть	3	2
65	и на	3	2
66	не к	2	2
67	в себе	2	2
68	ли это	2	2
69	в то	10	2
70	как будто	2	2
71	такого рода	6	2
72	как это	3	2
73	хотя и	3	2
74	но в	4	2
