N	2gram	Tiupa_Anal_2	Literetu
1	и не	12	22
2	тогда как	19	17
3	и в	16	16
4	в мире	6	16
5	при этом	10	15
6	не только	16	14
7	но и	12	14
8	уединенного сознания	8	14
9	в этом	18	14
10	а не	10	12
11	то что	7	12
12	может быть	6	12
13	в том	12	12
14	в частности	16	11
15	не в	4	10
16	такого рода	2	10
17	своего рода	12	10
18	я и	3	10
19	то же	4	9
20	так и	15	9
21	того что	2	9
22	в то	2	9
23	том что	12	8
24	не может	4	8
25	в этой	9	8
26	как бы	10	8
27	в своей	2	7
28	же время	2	7
29	себя в	2	7
30	со стороны	3	7
31	тем самым	4	7
32	точки зрения	4	7
33	я в	3	7
34	только в	4	7
35	лирического героя	5	7
36	состоит в	8	6
37	с другой	6	6
38	к тому	7	6
39	эстетического объекта	3	6
40	еще не	2	6
41	в его	2	6
42	и т.п	8	6
43	и его	4	6
44	в себе	7	6
45	о том	7	6
46	присутствия в	2	6
47	в качестве	11	5
48	тому же	4	5
49	как и	14	5
50	соответствии с	2	5
51	лишь в	9	5
52	особого рода	2	5
53	размышляет о	2	5
54	в целом	8	5
55	вместе с	2	5
56	как в	4	5
57	в отличие	2	5
58	а в	3	5
59	этом отношении	3	5
60	именно в	3	5
61	всего лишь	8	5
62	коммуникативного события	4	5
63	то есть	9	5
64	в поэзии	2	5
65	отличие от	2	5
66	место в	3	4
67	но не	4	4
68	в рамках	3	4
69	никогда не	3	4
70	даже в	2	4
71	по существу	2	4
72	перед лицом	2	4
73	одной стороны	4	4
74	и если	3	4
75	и для	2	4
76	хотя и	4	4
77	своего другого	2	4
78	отношению к	4	4
79	из них	3	4
80	данном случае	5	4
81	в тексте	24	4
82	по отношению	4	4
83	я как	2	4
84	с одной	5	4
85	а также	7	4
86	в данном	8	4
87	одно из	2	4
88	как будто	3	4
89	в одном	2	4
90	произведения в	5	3
91	отнюдь не	8	3
92	прежде всего	3	3
93	а затем	2	3
94	в соответствии	2	3
95	о чем	2	3
96	и к	5	3
97	на его	3	3
98	в самом	6	3
99	в сторону	5	3
100	вслед за	2	3
101	еще в	2	3
102	и тем	4	3
103	с ее	2	3
104	в словах	3	3
105	уже не	4	3
106	с точки	2	3
107	на смену	3	3
108	той же	2	3
109	тому как	3	3
110	не случайно	8	3
111	едва ли	3	3
112	как это	6	3
113	отношения к	2	3
114	но в	6	3
115	между тем	2	3
116	в противоположность	2	2
117	художественного произведения	2	2
118	к предмету	2	2
119	что в	2	2
120	не менее	4	2
121	если бы	3	2
122	в случае	2	2
123	и одновременно	3	2
124	как о	3	2
125	в конце	4	2
126	одного из	3	2
127	к этому	2	2
128	вследствие этого	2	2
129	не знаю	2	2
130	по себе	2	2
131	ни с	2	2
132	на то	2	2
133	или иной	3	2
134	в ситуации	3	2
135	и адресата	2	2
136	того же	4	2
137	лирическая героиня	3	2
138	для него	4	2
139	можно сказать	4	2
140	было бы	3	2
141	и сам	3	2
142	в первой	3	2
143	несмотря на	3	2
144	во всех	4	2
145	нас к	2	2
146	текста и	2	2
147	той или	3	2
148	удивительно что	3	2
149	как писал	2	2
150	один из	2	2
151	не с	4	2
152	что и	3	2
153	не удивительно	3	2
154	во второй	4	2
155	как мы	3	2
156	внимание на	2	2
157	так же	2	2
158	как раз	4	2
159	в нас	2	2
160	авторитарного сознания	3	2
161	и наоборот	2	2
162	объекта и	2	2
163	другой стороны	2	2
164	и даже	9	2
165	с ними	3	2
166	и на	6	2
167	оказывается не	2	2
168	автора и	3	2
169	тем что	3	2
170	он в	4	2
171	подобно тому	3	2
172	на себя	5	2
173	он и	2	2
174	представляет собой	8	2
175	не знает	3	2
176	его в	2	2
177	эстетическим субъектом	2	2
