N	2gram	Tiupa_Narr_1	Morfolog
1	может быть	15	52
2	представляет собой	8	17
3	не может	8	17
4	в этих	2	16
5	и в	11	13
6	в этом	12	13
7	действующих лиц	5	13
8	перед нами	5	11
9	связи с	2	11
10	представляют собой	3	10
11	прежде всего	4	9
12	не всегда	3	9
13	так и	5	9
14	в связи	2	9
15	то же	8	9
16	и не	23	9
17	а не	13	9
18	мы имеем	3	9
19	с другой	2	8
20	в результате	2	8
21	в качестве	14	7
22	все же	4	7
23	это не	3	6
24	в том	8	6
25	но не	4	6
26	а также	6	6
27	в форме	2	6
28	а в	13	6
29	подобно тому	3	6
30	не менее	3	5
31	тому как	3	5
32	в поле	3	5
33	в ходе	3	5
34	как бы	6	5
35	один из	6	5
36	то что	9	5
37	или в	6	5
38	потому что	5	5
39	мы не	3	5
40	что в	3	4
41	и как	3	4
42	героя в	3	4
43	об этом	6	4
44	тем не	3	4
45	отношению к	3	4
46	не только	31	4
47	как в	4	4
48	как мы	2	4
49	другой стороны	2	4
50	по отношению	3	4
51	как и	13	4
52	хотя и	4	4
53	точки зрения	5	4
54	также и	3	4
55	если в	2	4
56	ничего не	2	4
57	только что	2	3
58	если бы	7	3
59	это уже	3	3
60	в нашем	3	3
61	между собой	2	3
62	в начале	3	3
63	же в	2	3
64	том что	7	3
65	в целом	3	3
66	в пределах	2	3
67	того чтобы	4	3
68	в сущности	2	3
69	во втором	6	3
70	он не	3	3
71	не является	3	3
72	в первом	4	3
73	но и	27	3
74	входит в	2	3
75	самом деле	3	3
76	к чему	3	3
77	первом случае	3	3
78	к нему	4	3
79	и для	2	3
80	друг друга	2	3
81	а по	2	3
82	мы можем	2	3
83	из них	4	3
84	и ее	3	3
85	в то	4	3
86	героя и	2	3
87	но в	7	3
88	если она	2	2
89	в частности	14	2
90	однако в	3	2
91	его и	2	2
92	хотя бы	2	2
93	та же	2	2
94	а во	4	2
95	этого не	2	2
96	состоит в	10	2
97	что он	3	2
98	можно сказать	5	2
99	то в	4	2
100	только в	12	2
101	а на	2	2
102	они и	2	2
103	идет по	2	2
104	для него	4	2
105	у нее	4	2
106	во сне	2	2
107	но для	3	2
108	в обоих	2	2
109	новое лицо	2	2
110	чем это	2	2
111	оно не	2	2
112	героя из	2	2
113	или просто	2	2
114	не существует	3	2
115	себя в	2	2
116	быть и	2	2
117	и тогда	2	2
118	и только	2	2
119	к себе	4	2
120	того что	4	2
121	для того	3	2
122	уже не	8	2
123	тем же	2	2
124	не имеет	2	2
125	и иных	2	2
126	и его	10	2
127	друг на	2	2
128	на друга	2	2
129	или не	4	2
130	что мы	2	2
131	о том	4	2
132	героя к	2	2
133	здесь не	2	2
134	одна из	4	2
135	сказать что	2	2
136	как это	3	2
137	это было	2	2
