N	2gram	Losev_Dial_4	Narrotol
1	не только	8	31
2	но и	4	27
3	и не	30	23
4	при этом	2	19
5	может быть	17	15
6	в частности	2	14
7	в качестве	2	14
8	как и	7	13
9	а не	18	13
10	только в	7	12
11	в этом	11	12
12	и в	15	11
13	в данном	3	11
14	и его	7	10
15	то что	16	9
16	то же	9	8
17	в том	11	8
18	со стороны	3	8
19	не может	11	8
20	уже не	9	8
21	если бы	6	7
22	том что	10	7
23	но в	3	7
24	об этом	3	6
25	не в	8	6
26	в самом	2	6
27	не мог	2	6
28	как бы	14	6
29	один из	4	6
30	жизни и	4	6
31	как раз	4	6
32	или в	7	6
33	в себе	8	6
34	в его	4	6
35	в этой	4	6
36	перед нами	6	5
37	можно сказать	5	5
38	той или	4	5
39	в своей	3	5
40	так и	5	5
41	тем самым	3	5
42	и на	5	5
43	потому что	10	5
44	точки зрения	14	5
45	с его	5	4
46	никогда не	2	4
47	из этих	2	4
48	что на	2	4
49	все же	2	4
50	то в	5	4
51	же время	6	4
52	прежде всего	11	4
53	еще не	4	4
54	в ней	5	4
55	и тем	6	4
56	в нем	5	4
57	из них	2	4
58	не по	2	4
59	по себе	13	4
60	как в	3	4
61	того что	13	4
62	того чтобы	5	4
63	или не	4	4
64	хотя и	6	4
65	в то	6	4
66	о том	5	4
67	в одном	4	4
68	не менее	2	3
69	тому как	4	3
70	но они	2	3
71	что в	7	3
72	однако в	2	3
73	в своем	5	3
74	это не	12	3
75	в жизни	5	3
76	не всегда	3	3
77	что он	7	3
78	тем не	2	3
79	у нас	3	3
80	и как	4	3
81	не говорит	5	3
82	но как	2	3
83	но именно	2	3
84	для того	5	3
85	и о	8	3
86	но для	2	3
87	о нем	2	3
88	быть не	2	3
89	не было	2	3
90	именно в	5	3
91	лишь в	2	3
92	едва ли	3	3
93	мы не	9	3
94	о ней	2	3
95	и то	3	3
96	также и	4	3
97	и с	4	3
98	подобно тому	4	3
99	и ее	8	3
100	как будто	2	3
101	и все	11	3
102	как это	2	3
103	мы имеем	5	3
104	стало быть	15	3
105	тем или	2	2
106	если она	2	2
107	отнюдь не	4	2
108	своей истории	2	2
109	двух или	2	2
110	тот кто	2	2
111	в сущности	5	2
112	в свою	3	2
113	на то	5	2
114	да и	2	2
115	с ее	10	2
116	свою очередь	2	2
117	все что	2	2
118	она не	4	2
119	ни о	3	2
120	никак не	2	2
121	к жизни	3	2
122	не имеет	14	2
123	оно не	2	2
124	хотя бы	4	2
125	себя в	2	2
126	не будет	2	2
127	вместе с	2	2
128	быть и	3	2
129	в сфере	5	2
130	и тогда	2	2
131	другой стороны	2	2
132	только что	2	2
133	и только	2	2
134	в особенности	4	2
135	происходит это	2	2
136	все равно	2	2
137	и вот	11	2
138	она в	3	2
139	что не	3	2
140	говорил о	2	2
141	и даже	6	2
142	и притом	3	2
143	и для	5	2
144	отличие от	2	2
145	ничего не	17	2
146	с ними	4	2
147	в результате	6	2
148	сказать что	6	2
149	во всяком	2	2
150	мы можем	3	2
151	не о	4	2
152	более не	3	2
153	история это	2	2
154	что мы	7	2
155	от этих	2	2
156	ни от	2	2
157	в чем	8	2
158	с ним	3	2
159	в области	3	2
160	та же	3	2
161	это было	2	2
