N	2gram	Bakhtin_Fr_4	SlovoVZh
1	не может	2	16
2	точки зрения	4	14
3	может быть	2	14
4	и его	8	13
5	как бы	8	13
6	таким образом	20	12
7	и в	29	12
8	в нашем	4	11
9	и не	16	10
10	так как	7	9
11	прежде всего	8	8
12	сказать что	5	7
13	в нем	5	6
14	все время	3	6
15	при этом	3	6
16	с помощью	4	6
17	в том	7	6
18	только в	2	6
19	в ней	3	6
20	и др	4	5
21	в жизни	2	5
22	то что	4	5
23	никогда не	2	5
24	то же	10	5
25	как и	12	5
26	том что	3	5
27	как в	2	5
28	но в	12	5
29	в виду	2	5
30	и к	2	4
31	все же	3	4
32	жизни и	4	4
33	так и	11	4
34	с другой	4	4
35	на самом	4	4
36	уже не	2	4
37	в литературе	4	4
38	в этом	11	4
39	и на	11	4
40	его в	9	4
41	дело в	2	4
42	к нему	3	4
43	не только	10	4
44	в котором	2	3
45	в них	7	3
46	в своей	5	3
47	все это	4	3
48	как к	3	3
49	и по	5	3
50	все эти	9	3
51	но и	9	3
52	того что	3	3
53	и наконец	2	3
54	ни в	2	3
55	да и	2	3
56	так же	7	3
57	формы и	2	3
58	и с	9	3
59	о том	2	3
60	в себе	3	3
61	еще не	4	3
62	и для	2	3
63	конечно не	4	3
64	из этого	2	3
65	здесь не	3	3
66	с ним	2	3
67	место в	2	2
68	уже в	2	2
69	но мы	2	2
70	с его	4	2
71	от всех	2	2
72	и так	3	2
73	в этих	2	2
74	все они	5	2
75	в своем	3	2
76	но конечно	3	2
77	нет ничего	2	2
78	другой стороны	3	2
79	это не	5	2
80	и все	13	2
81	бы не	2	2
82	и другие	2	2
83	в особенности	2	2
84	с одной	2	2
85	к этому	2	2
86	в себя	2	2
87	его к	2	2
88	в атмосфере	6	2
89	и вполне	3	2
90	с точки	2	2
91	и здесь	3	2
92	как на	2	2
93	и дает	2	2
94	но это	4	2
95	такой же	3	2
96	и то	2	2
97	мы можем	3	2
98	но не	2	2
99	еще раз	2	2
100	кроме того	2	2
101	до конца	5	2
102	в то	10	2
103	одной стороны	2	2
104	но этот	2	2
105	если же	2	2
106	там где	3	2
107	в чем	3	2
108	он не	3	2
109	в его	8	2
110	между ними	2	2
