N	2gram	Medvedev_U_1	Myshleni
1	и в	14	25
2	в том	2	23
3	том что	2	20
4	таким образом	2	17
5	как и	3	15
6	то что	7	15
7	в его	2	15
8	в этом	7	14
9	может быть	6	13
10	могли бы	2	11
11	и не	8	10
12	было бы	3	10
13	что и	2	10
14	только в	2	10
15	мы не	2	9
16	тем что	2	8
17	что мы	2	7
18	по себе	2	7
19	в области	3	7
20	с другой	4	6
21	не в	2	6
22	и у	2	6
23	не может	7	6
24	что он	2	6
25	но не	2	6
26	не только	10	6
27	все же	3	6
28	все это	5	6
29	но это	2	5
30	для него	3	5
31	одним из	2	5
32	что она	2	5
33	если бы	2	5
34	могут быть	2	5
35	в этой	4	5
36	и т.д	3	5
37	не могут	2	4
38	в частности	3	4
39	прежде всего	8	4
40	смысле этого	2	4
41	но и	4	4
42	не столько	2	4
43	в то	3	4
44	формы в	3	3
45	в самом	2	3
46	другой стороны	3	3
47	этом отношении	2	3
48	между тем	2	3
49	не как	3	3
50	не есть	2	3
51	является в	2	3
52	то же	5	2
53	все они	2	2
54	ни было	3	2
55	мы и	2	2
56	к области	2	2
57	для этого	3	2
58	и только	5	2
59	с его	2	2
60	всех этих	2	2
61	этом смысле	2	2
62	на первый	2	2
63	в своей	3	2
64	и для	2	2
65	и то	3	2
66	в себе	2	2
67	а как	2	2
