N	2gram	Ircho_Kome_2	formyVre
1	и в	26	50
2	в этом	10	25
3	в нем	6	24
4	человека в	3	17
5	и его	12	16
6	прежде всего	4	15
7	и не	14	14
8	как мы	4	14
9	вовсе не	2	13
10	в его	4	13
11	так и	12	12
12	может быть	11	11
13	таким образом	6	11
14	то же	3	11
15	но в	3	10
16	в конце	2	9
17	в том	11	9
18	же время	3	9
19	в других	2	9
20	в то	6	9
21	не только	7	9
22	с его	5	9
23	роль в	2	9
24	в самом	4	8
25	и т	2	8
26	и их	3	8
27	но и	10	8
28	и на	7	8
29	как и	4	8
30	того же	3	8
31	жизни и	3	8
32	ни в	5	8
33	т п	2	8
34	не было	3	7
35	это время	3	7
36	и во	2	7
37	времени в	2	7
38	все же	4	6
39	в частности	4	6
40	это не	2	6
41	например в	3	6
42	в их	3	6
43	не может	3	6
44	так как	4	6
45	у него	4	6
46	с этим	5	6
47	и все	2	6
48	связи с	3	6
49	во всех	3	6
50	то что	6	6
51	в ее	2	6
52	как в	3	6
53	что в	9	5
54	и другие	2	5
55	в образе	3	5
56	не в	2	5
57	до нас	4	5
58	в связи	3	5
59	время как	2	5
60	точки зрения	4	5
61	но все	3	5
62	если бы	9	5
63	отнюдь не	2	5
64	но не	3	5
65	еще не	6	5
66	наряду с	6	5
67	он не	2	5
68	отношению к	3	5
69	того чтобы	6	5
70	для того	5	5
71	и у	2	5
72	том числе	3	4
73	в своем	6	4
74	в котором	3	4
75	все это	3	4
76	не имеет	3	4
77	потому что	6	4
78	и с	5	4
79	в ней	3	4
80	в них	4	4
81	то время	3	4
82	античной литературы	5	4
83	в той	2	4
84	том что	9	4
85	и для	4	4
86	только в	4	4
87	и это	2	4
88	в этих	4	3
89	к тому	12	3
90	да и	3	3
91	с тем	5	3
92	и дает	2	3
93	хотя и	4	3
94	в виду	2	3
95	мира в	4	3
96	один из	5	3
97	по отношению	3	3
98	нем не	2	3
99	с одной	2	3
100	друг друга	3	3
101	а в	3	3
102	одно из	2	3
103	в начале	4	3
104	его в	4	3
105	в одном	2	3
106	в какой-то	2	3
107	к этому	5	3
108	же в	4	3
109	к концу	3	3
110	в качестве	5	3
111	со своей	3	3
112	одной из	4	3
113	что и	7	3
114	вместе с	9	3
115	сих пор	2	3
116	еще более	2	3
117	мы не	2	3
118	или в	3	3
119	во всяком	2	3
120	и ее	2	3
121	до сих	2	3
122	место в	4	2
123	уже в	4	2
124	в течение	2	2
125	в нашем	2	2
126	друг другу	3	2
127	с другой	2	2
128	никто не	3	2
129	вопрос о	3	2
130	для нас	3	2
131	тому же	11	2
132	с самого	2	2
133	с их	4	2
134	одной стороны	2	2
135	в целом	4	2
136	отношение к	2	2
137	одних и	2	2
138	не для	2	2
139	мы находим	2	2
140	в самой	3	2
141	этого времени	2	2
142	рядом с	2	2
143	имеет в	2	2
144	и еще	2	2
145	в истории	5	2
146	как он	3	2
147	тех же	3	2
148	для всех	3	2
149	не является	2	2
150	ясно что	8	2
151	и к	2	2
152	об этом	2	2
153	не столь	2	2
154	одна из	2	2
155	и тех	2	2
156	чем в	2	2
157	здесь в	3	2
158	было бы	8	2
159	в это	2	2
160	нет и	2	2
161	в своей	3	2
162	как бы	2	2
163	даже не	3	2
164	в отличие	2	2
165	случая и	2	2
166	хотя бы	2	2
167	в которой	5	2
168	той же	3	2
169	от этого	2	2
170	тем что	3	2
171	на себя	7	2
172	по всем	2	2
173	отличие от	2	2
