N	2gram	Bakhtin_Pr_4	RusskieA
1	и в	46	36
2	не только	14	22
3	что в	4	19
4	том что	4	19
5	в том	9	17
6	но и	12	16
7	так как	5	15
8	и другие	3	13
9	в этом	16	12
10	в других	2	11
11	это не	5	10
12	как мы	12	10
13	как и	12	10
14	вместе с	2	10
15	и на	11	10
16	потому что	4	10
17	об этом	2	9
18	а в	2	9
19	у нас	2	8
20	мы увидим	6	8
21	может быть	23	8
22	и по	2	8
23	о том	5	8
24	что и	3	7
25	так и	4	7
26	и других	4	7
27	между тем	2	7
28	и не	27	6
29	для нас	2	6
30	при этом	5	6
31	уже не	4	6
32	таким образом	4	6
33	мы не	4	6
34	все это	6	6
35	то что	4	6
36	все же	4	5
37	как бы	19	5
38	в которых	2	5
39	как в	4	5
40	того как	2	5
41	из этих	3	4
42	с собой	3	4
43	к тому	2	4
44	по существу	3	4
45	одна из	2	4
46	еще не	7	4
47	во всех	5	4
48	и их	3	4
49	в их	4	4
50	так в	2	4
51	не может	19	4
52	мы имеем	3	4
53	и что	3	4
54	но это	6	4
55	тем что	3	4
56	только в	6	4
57	слова в	13	3
58	не менее	2	3
59	к жизни	2	3
60	в этих	4	3
61	в своем	3	3
62	но все	2	3
63	в одном	11	3
64	от них	2	3
65	и к	9	3
66	на этом	3	3
67	только на	3	3
68	к ним	4	3
69	если в	2	3
70	своего рода	4	3
71	но эти	4	3
72	приводит к	4	3
73	то же	6	3
74	с точки	9	3
75	на этот	2	3
76	так же	3	3
77	ничего не	2	3
78	их в	3	3
79	точки зрения	11	3
80	то есть	40	3
81	далеко не	3	3
82	этого слова	2	3
83	наших целей	2	2
84	не было	2	2
85	могут быть	2	2
86	к другому	5	2
87	с этим	2	2
88	в каждом	6	2
89	на все	2	2
90	его к	2	2
91	в различных	3	2
92	в нем	17	2
93	у него	5	2
94	в жизни	5	2
95	так что	2	2
96	и как	2	2
97	такой же	3	2
98	но не	4	2
99	в большинстве	9	2
100	до конца	4	2
101	она не	3	2
102	чем у	3	2
103	когда он	2	2
104	например в	4	2
105	к слову	2	2
106	том же	4	2
107	в его	9	2
108	и с	7	2
109	его как	2	2
110	и до	3	2
111	в последний	2	2
112	но она	2	2
113	для наших	3	2
114	для этого	2	2
115	все эти	4	2
116	а не	11	2
117	и пр	2	2
118	и для	3	2
119	с ним	2	2
120	или в	8	2
121	этот вопрос	2	2
122	мы можем	4	2
123	хотя и	6	2
124	между двумя	3	2
125	себя и	3	2
126	к ней	2	2
127	на себя	4	2
128	и здесь	4	2
129	но в	6	2
130	как он	3	2
131	там где	2	2
132	большинстве случаев	8	2
