N	2gram	Losev_Vlad_1	Istorich
1	что он	12	24
2	и т	2	19
3	не только	24	18
4	т д	2	18
5	может быть	6	17
6	никогда не	9	15
7	и в	31	15
8	но и	19	14
9	так как	8	14
10	что в	14	12
11	знаем что	2	12
12	а в	9	12
13	то что	18	12
14	об этом	7	11
15	мы знаем	2	11
16	и не	17	11
17	в этом	14	11
18	что они	3	10
19	то же	6	10
20	с тем	2	9
21	еще не	2	9
22	все же	3	9
23	и здесь	3	9
24	потому что	11	9
25	мы увидим	3	8
26	один из	4	8
27	он не	10	8
28	том что	14	7
29	в нем	4	7
30	вместе с	3	7
31	таким образом	3	7
32	не в	5	7
33	ничего не	3	7
34	видно что	5	6
35	так что	10	6
36	мы уже	7	6
37	в его	12	6
38	что и	5	6
39	и что	6	6
40	в том	11	6
41	только в	9	6
42	но в	12	6
43	к тому	3	5
44	как в	3	5
45	было бы	2	5
46	в котором	6	5
47	на него	3	5
48	так и	6	5
49	что она	2	5
50	не может	6	5
51	в связи	3	5
52	к нему	4	5
53	у него	15	4
54	увидим ниже	3	4
55	для нас	4	4
56	но это	3	4
57	в этой	4	4
58	при этом	2	4
59	одной из	2	4
60	но он	5	4
61	о нем	7	4
62	не будем	2	4
63	дело не	2	4
64	и с	14	4
65	тем что	2	4
66	и на	3	4
67	в себе	4	4
68	мы должны	2	4
69	все эти	3	4
70	к этой	2	4
71	в качестве	6	3
72	не мог	3	3
73	и его	7	3
74	из этих	2	3
75	на то	5	3
76	он был	14	3
77	как это	7	3
78	говорит что	4	3
79	в доме	7	3
80	между прочим	11	3
81	о том	11	3
82	когда он	5	3
83	выше мы	2	3
84	а именно	2	3
85	все это	5	3
86	того что	2	3
87	в очень	2	3
88	что этот	3	3
89	он в	3	3
90	она всегда	2	3
91	он и	6	3
92	что мы	2	3
93	как он	4	3
94	и это	2	3
95	здесь мы	3	3
96	уже в	7	2
97	во время	3	2
98	я не	4	2
99	не было	5	2
100	с другой	3	2
101	не столько	2	2
102	и так	3	2
103	в жизни	3	2
104	к себе	2	2
105	главным образом	4	2
106	некоторое время	2	2
107	где же	2	2
108	в тех	2	2
109	нисколько не	2	2
110	о его	2	2
111	что у	4	2
112	ни в	2	2
113	да и	4	2
114	по существу	2	2
115	как и	4	2
116	но не	3	2
117	кроме того	7	2
118	того чтобы	2	2
119	и если	5	2
120	и из	3	2
121	на его	3	2
122	и для	2	2
123	времени уже	2	2
124	а также	5	2
125	хотя бы	2	2
126	из них	2	2
127	но его	2	2
128	другой стороны	3	2
129	той же	2	2
130	а с	5	2
131	тут же	7	2
132	тем самым	2	2
133	и по	8	2
134	он стал	2	2
135	с ними	2	2
136	и то	10	2
137	сказать что	7	2
138	то мы	3	2
139	к ней	4	2
140	в тот	2	2
141	под названием	2	2
142	вера в	2	2
143	его на	2	2
144	здесь не	3	2
145	в особенности	4	2
146	в которой	4	2
147	тому же	2	2
