N	2gram	Tiupa_Lite_1	KulturaY
1	потому что	3	25
2	и в	8	23
3	не только	24	20
4	в том	16	19
5	в этом	12	18
6	и не	12	16
7	было бы	2	15
8	может быть	13	15
9	точки зрения	6	14
10	в самом	3	12
11	все эти	2	12
12	том что	14	11
13	в области	3	11
14	но в	3	11
15	что в	3	10
16	а не	16	10
17	в сущности	2	9
18	то что	10	9
19	самом деле	2	9
20	хотя бы	2	9
21	можно было	2	9
22	не может	5	9
23	с другой	3	8
24	прежде всего	11	8
25	не в	8	8
26	в качестве	17	8
27	уже не	7	8
28	с точки	2	8
29	не менее	7	7
30	в силу	4	7
31	все же	4	7
32	но и	17	7
33	это не	4	6
34	да и	3	6
35	в этой	4	6
36	но не	4	6
37	что не	2	6
38	тем не	2	6
39	то же	5	6
40	между тем	2	6
41	ту же	2	6
42	я не	7	5
43	должна быть	2	5
44	что он	5	5
45	еще не	4	5
46	несмотря на	3	5
47	в его	7	5
48	всяком случае	2	5
49	один из	3	5
50	должен быть	2	5
51	и тем	4	5
52	приводит к	3	5
53	таким образом	3	5
54	лишь в	4	5
55	как это	8	5
56	и то	2	5
57	во всяком	3	5
58	только в	8	5
59	также и	3	5
60	отнюдь не	2	4
61	к тому	2	4
62	что я	2	4
63	в нашей	2	4
64	в пределах	3	4
65	своего рода	11	4
66	как бы	7	4
67	в нем	2	4
68	со стороны	4	4
69	в связи	4	4
70	не было	3	4
71	в данном	5	4
72	могут быть	2	4
73	в то	5	4
74	в конце	4	4
75	так и	4	4
76	на этом	2	3
77	уже в	5	3
78	казалось бы	5	3
79	у него	3	3
80	для этого	4	3
81	этого не	2	3
82	же время	5	3
83	различие между	2	3
84	а только	2	3
85	а также	5	3
86	же в	5	3
87	того же	2	3
88	связи с	6	3
89	в сфере	3	3
90	этой книге	2	3
91	всего в	3	3
92	как в	5	3
93	как раз	4	3
94	то и	2	3
95	этом отношении	2	3
96	сводится к	3	3
97	того что	6	3
98	что такое	2	3
99	или иначе	9	3
100	своей собственной	2	3
101	а в	3	3
102	и его	4	3
103	тем что	2	3
104	на это	2	3
105	аналогии с	3	3
106	всего лишь	4	3
107	в виду	3	3
108	и есть	3	2
109	в частности	15	2
110	никогда не	4	2
111	состоит в	11	2
112	так называемых	2	2
113	с этой	5	2
114	не как	4	2
115	одного из	3	2
116	их не	2	2
117	говоря уже	2	2
118	конечном счете	4	2
119	ли не	3	2
120	в другом	2	2
121	с одной	2	2
122	как будто	2	2
123	при этом	19	2
124	по поводу	2	2
125	мы в	2	2
126	по преимуществу	4	2
127	же и	3	2
128	в конечном	5	2
129	и даже	3	2
130	так или	8	2
131	превращается в	2	2
132	в своей	4	2
133	на том	2	2
134	не говоря	2	2
135	дело не	2	2
136	все они	2	2
137	данном случае	4	2
138	в их	3	2
139	в своем	11	2
140	не на	2	2
141	в отличие	5	2
142	этой цели	2	2
143	еще и	3	2
144	есть наиболее	2	2
145	как и	6	2
146	этой точки	3	2
147	в году	13	2
148	чтобы не	2	2
149	тем самым	5	2
150	тем же	3	2
151	бы на	2	2
152	той же	3	2
153	что для	2	2
154	роль в	2	2
155	отказ от	7	2
156	нуждается в	3	2
157	он и	3	2
158	в своих	4	2
159	это всего	2	2
160	тех же	3	2
161	отличие от	5	2
