N	2gram	Vinokur_Ku_2	PoTuStor
1	может быть	15	17
2	и в	23	16
3	и пр	8	12
4	прежде всего	8	9
5	таким образом	5	9
6	в этом	18	9
7	совершенно не	3	8
8	и его	3	8
9	и с	7	8
10	точки зрения	14	8
11	не может	9	8
12	сказать что	4	7
13	не только	20	7
14	и это	3	6
15	с точки	8	6
16	самом деле	9	6
17	при этом	2	6
18	конечно не	2	6
19	только для	2	5
20	все эти	12	5
21	что такое	3	5
22	ни в	4	5
23	нуждается в	2	5
24	еще не	5	5
25	как бы	4	5
26	в нем	4	4
27	отнюдь не	4	4
28	но и	7	4
29	так и	4	4
30	все это	5	4
31	хотя бы	9	4
32	и все	2	4
33	так как	15	4
34	и не	16	4
35	на самом	2	4
36	как мы	3	4
37	можно сказать	4	4
38	и даже	2	4
39	с ними	2	4
40	и на	6	4
41	в этой	6	4
42	только в	5	4
43	но в	11	4
44	в его	5	4
45	мы знаем	4	3
46	на этой	4	3
47	по сравнению	2	3
48	что в	10	3
49	и есть	2	3
50	могут быть	4	3
51	вместе с	5	3
52	никаких оснований	2	3
53	отношения к	2	3
54	этом смысле	5	3
55	те же	3	3
56	и вот	5	3
57	большинстве случаев	2	3
58	крайней мере	6	3
59	в том	19	3
60	а в	3	3
61	том что	11	3
62	то что	9	3
63	на этом	3	3
64	по крайней	6	3
65	только как	2	3
66	тех же	2	3
67	но оно	2	3
68	как это	5	3
69	в области	11	3
70	во всяком	5	3
71	в конечном	2	3
72	и потому	2	3
73	всяком случае	5	3
74	не менее	7	2
75	один из	5	2
76	не могут	5	2
77	что и	3	2
78	же как	2	2
79	сознания и	2	2
80	конечном счете	2	2
81	как не	3	2
82	в частности	2	2
83	никогда не	2	2
84	что не	6	2
85	для этого	3	2
86	в них	4	2
87	если мы	4	2
88	того же	3	2
89	оно не	2	2
90	с этой	2	2
91	с этим	3	2
92	в свое	2	2
93	то же	6	2
94	что оно	3	2
95	к этому	4	2
96	не знает	3	2
97	с помощью	7	2
98	сводится к	3	2
99	что он	5	2
100	что на	4	2
101	что мы	6	2
102	у него	3	2
103	и по	3	2
104	но зато	2	2
105	и для	2	2
106	для нас	4	2
107	как и	2	2
108	так же	4	2
109	но это	3	2
110	за счет	2	2
111	есть в	3	2
112	аналогии с	3	2
113	не на	2	2
114	знаем что	3	2
115	а на	2	2
116	он не	3	2
117	в каком	4	2
118	что можно	3	2
119	говорить о	4	2
120	в пределах	4	2
121	и вообще	2	2
122	ту же	6	2
123	было бы	15	2
124	что это	7	2
125	связанные с	2	2
126	в самом	12	2
127	в своей	2	2
128	и о	4	2
