N	2gram	Vygotskiy__5	Komedia
1	и в	16	26
2	и не	12	14
3	к тому	6	12
4	так и	7	12
5	и его	3	12
6	в том	18	11
7	тому же	2	11
8	может быть	9	11
9	но и	6	10
10	на протяжении	2	10
11	в этом	25	10
12	что в	16	9
13	столь же	2	9
14	том что	15	9
15	если бы	8	9
16	вместе с	4	9
17	было бы	10	8
18	и на	6	7
19	из них	2	7
20	не только	16	7
21	что и	3	7
22	в своем	5	6
23	то что	26	6
24	еще не	4	6
25	в нем	7	6
26	того чтобы	17	6
27	потому что	21	6
28	и здесь	2	6
29	в то	5	6
30	о том	8	6
31	таким образом	19	6
32	с тем	3	5
33	в которой	5	5
34	к этому	3	5
35	что он	25	5
36	в качестве	4	5
37	в истории	2	5
38	на основании	2	5
39	с этим	3	5
40	для того	14	5
41	так что	4	5
42	и с	3	5
43	больше чем	3	5
44	не менее	3	4
45	в частности	3	4
46	у него	6	4
47	больше того	2	4
48	в этих	3	4
49	тому что	5	4
50	в них	2	4
51	что у	2	4
52	и от	2	4
53	прежде всего	3	4
54	как мы	10	4
55	же в	2	4
56	как и	8	4
57	в целом	4	4
58	как будто	2	4
59	с их	4	4
60	одной из	3	4
61	в его	11	4
62	еще в	3	4
63	все же	3	4
64	в самом	4	4
65	что для	2	4
66	можно было	5	4
67	точки зрения	18	4
68	только в	10	4
69	так как	16	4
70	на этот	4	4
71	как это	8	4
72	его в	2	4
73	между тем	3	4
74	о чем	2	3
75	с этой	4	3
76	вопрос о	12	3
77	то время	4	3
78	но если	6	3
79	мы знаем	3	3
80	жизни и	2	3
81	отношению к	12	3
82	но все	2	3
83	связи с	3	3
84	но не	10	3
85	того же	7	3
86	во всех	2	3
87	по поводу	2	3
88	никто не	2	3
89	из которых	3	3
90	в ней	2	3
91	в котором	2	3
92	не имеет	4	3
93	друг другу	2	3
94	в своей	2	3
95	и их	4	3
96	в их	3	3
97	все это	2	3
98	по отношению	12	3
99	к их	2	3
100	того как	5	3
101	той же	4	3
102	то же	8	3
103	ответ на	3	3
104	как в	5	3
105	к нему	3	3
106	ситуация в	2	3
107	а в	3	3
108	тем что	5	3
109	не может	18	3
110	как он	6	3
111	в этой	6	3
112	но в	6	3
113	и поэтому	2	3
114	мы можем	6	3
115	если в	3	2
116	и другие	2	2
117	и есть	7	2
118	в какой	6	2
119	с другой	4	2
120	это не	4	2
121	представления о	2	2
122	в одном	3	2
123	вовсе не	2	2
124	то это	2	2
125	и к	2	2
126	не в	6	2
127	до сих	3	2
128	в силу	10	2
129	является не	2	2
130	тот же	5	2
131	чем в	3	2
132	на этом	3	2
133	по своему	3	2
134	как известно	4	2
135	одной стороны	3	2
136	в действительности	3	2
137	вслед за	2	2
138	одним из	2	2
139	от того	3	2
140	он не	8	2
141	друг с	7	2
142	как бы	5	2
143	время как	4	2
144	не является	5	2
145	хотя бы	5	2
146	в развитии	28	2
147	отношение к	11	2
148	сих пор	3	2
149	что она	2	2
150	в отличие	2	2
151	с одной	3	2
152	еще более	5	2
153	в той	6	2
154	и что	12	2
155	с самого	5	2
156	отличие от	2	2
157	мы не	3	2
158	во всяком	2	2
159	к его	3	2
160	говорить о	3	2
161	с другом	7	2
162	в первом	3	2
163	из этого	2	2
164	с которыми	2	2
165	бы в	4	2
166	в виду	2	2
