N	2gram	Voloshinov_1	Analitik
1	в этом	2	18
2	и в	13	16
3	не только	6	16
4	литературного произведения	2	16
5	так и	3	15
6	как и	3	14
7	в том	2	12
8	своего рода	2	12
9	но и	3	12
10	и не	8	12
11	том что	2	12
12	могут быть	2	10
13	как бы	6	10
14	при этом	2	10
15	а не	2	10
16	в пределах	3	9
17	лишь в	4	9
18	в данном	2	8
19	в целом	2	8
20	и т.п	7	8
21	к тому	2	7
22	в себе	3	7
23	то что	6	7
24	а также	2	7
25	с другой	2	6
26	в самом	2	6
27	говорить о	3	6
28	может быть	8	6
29	но в	4	6
30	и к	2	5
31	данном случае	2	5
32	с одной	2	5
33	не менее	2	4
34	не в	3	4
35	за пределы	3	4
36	для него	2	4
37	одной стороны	2	4
38	имеет место	2	4
39	и является	2	4
40	и тем	2	4
41	отношению к	3	4
42	как в	2	4
43	все это	4	4
44	по отношению	3	4
45	не может	8	4
46	и его	12	4
47	то же	4	4
48	точки зрения	7	4
49	только в	6	4
50	в сознании	4	4
51	и композиция	2	4
52	никогда не	3	3
53	не столько	3	3
54	на фоне	4	3
55	прежде всего	9	3
56	или иного	2	3
57	не мог	2	3
58	было бы	4	3
59	в действительности	2	3
60	несмотря на	2	3
61	на две	2	3
62	в их	3	3
63	если бы	2	3
64	литературное произведение	2	3
65	того или	2	3
66	а в	2	3
67	с ними	2	3
68	и то	3	3
69	тем что	2	3
70	и т.д	5	3
71	эстетического объекта	5	3
72	бы в	2	3
73	и все	3	3
74	в общем	2	2
75	а как	2	2
76	художественного произведения	5	2
77	в одном	3	2
78	вовсе не	2	2
79	соответствии с	2	2
80	превращается в	3	2
81	что в	3	2
82	от своего	2	2
83	в своей	4	2
84	еще в	2	2
85	к предмету	2	2
86	и их	7	2
87	вслед за	2	2
88	во времени	2	2
89	другой стороны	2	2
90	языка и	5	2
91	собственно говоря	2	2
92	таким образом	6	2
93	те же	2	2
94	в двух	4	2
95	не имеет	2	2
96	и для	3	2
97	с точки	5	2
98	так же	2	2
99	роль в	2	2
100	между тем	2	2
101	в его	7	2
102	в поэзии	5	2
103	в произведении	2	2
104	произведения как	4	2
