N	2gram	Tiupa_Anal_3	SlovoVZh
1	не может	2	16
2	точки зрения	3	14
3	может быть	9	14
4	и его	13	13
5	как бы	10	13
6	таким образом	4	12
7	и в	18	12
8	отношению к	7	11
9	по отношению	7	11
10	и не	12	10
11	прежде всего	5	8
12	сказать что	2	7
13	в нем	2	6
14	при этом	11	6
15	в том	9	6
16	только в	2	6
17	к содержанию	3	6
18	в ней	2	6
19	в жизни	2	5
20	то что	2	5
21	никогда не	5	5
22	а не	9	5
23	можно сказать	4	5
24	то же	3	5
25	как и	14	5
26	том что	12	5
27	отнюдь не	4	5
28	как в	3	5
29	что мы	2	5
30	героя и	4	5
31	но в	2	5
32	и к	4	4
33	все же	4	4
34	высказывания как	2	4
35	так и	14	4
36	с другой	7	4
37	уже не	5	4
38	что не	3	4
39	не в	6	4
40	в этом	14	4
41	и на	4	4
42	его в	3	4
43	дело в	2	4
44	в самом	5	4
45	не только	22	4
46	в них	2	3
47	не менее	4	3
48	когда он	2	3
49	все это	3	3
50	как к	2	3
51	и по	2	3
52	все эти	2	3
53	по себе	4	3
54	но и	13	3
55	произведения и	2	3
56	тем не	2	3
57	да и	2	3
58	самом деле	2	3
59	мы не	3	3
60	о том	6	3
61	нуждается в	2	3
62	и ее	2	3
63	в себе	2	3
64	для него	6	3
65	в пределах	4	3
66	еще не	6	3
67	автору и	2	3
68	и для	2	3
69	здесь не	3	3
70	с героем	2	3
71	между тем	5	3
72	уже в	3	2
73	с его	8	2
74	что и	5	2
75	что в	9	2
76	данном случае	3	2
77	вместе с	2	2
78	все они	2	2
79	в форме	2	2
80	в своем	4	2
81	другой стороны	5	2
82	это не	2	2
83	дело с	3	2
84	мы имеем	5	2
85	и все	2	2
86	в особенности	3	2
87	тому же	3	2
88	с одной	2	2
89	к этому	3	2
90	связь с	2	2
91	те же	2	2
92	в себя	2	2
93	едва ли	3	2
94	не есть	4	2
95	с точки	2	2
96	и здесь	2	2
97	его как	3	2
98	до известной	3	2
99	в данном	4	2
100	мы можем	2	2
101	в момент	2	2
102	но не	7	2
103	могут быть	2	2
104	в то	3	2
105	одной стороны	2	2
106	на примере	2	2
107	как уже	2	2
108	там где	2	2
109	как это	3	2
110	ничего не	3	2
111	он не	6	2
112	известной степени	3	2
113	в его	7	2
114	и потому	2	2
