N	2gram	Tiupa_Hudo_1	Tvorches
1	и в	19	20
2	в году	2	16
3	в романе	3	15
4	не только	16	13
5	никогда не	2	11
6	как бы	9	11
7	в его	9	10
8	таким образом	3	10
9	в то	6	10
10	и его	12	9
11	и не	15	9
12	прежде всего	4	8
13	в том	18	8
14	при этом	13	8
15	но и	10	8
16	может быть	14	8
17	в этом	11	8
18	это не	2	7
19	же время	5	7
20	что в	6	7
21	не может	7	7
22	то же	10	7
23	потому что	3	7
24	что он	3	6
25	как и	2	6
26	в целом	3	6
27	в своей	5	6
28	так и	11	6
29	все это	2	6
30	именно в	2	6
31	а не	9	6
32	в мире	21	5
33	еще не	3	5
34	но не	11	5
35	читателя в	3	5
36	например в	3	5
37	так же	2	5
38	и на	2	5
39	в этой	2	5
40	о том	2	5
41	то есть	18	5
42	об этом	2	4
43	в душе	8	4
44	том что	8	4
45	отнюдь не	2	4
46	первой части	2	4
47	хотя и	3	4
48	что она	2	4
49	как в	2	4
50	все эти	2	4
51	тем самым	4	4
52	в принципе	5	4
53	не в	7	4
54	а в	12	4
55	в чем	2	4
56	и потому	2	4
57	если бы	3	4
58	но в	7	4
59	место в	4	3
60	а с	2	3
61	жизни в	2	3
62	превращается в	2	3
63	с ним	2	3
64	отношению к	9	3
65	одна из	2	3
66	для него	4	3
67	одной из	2	3
68	своего рода	5	3
69	в самом	5	3
70	он не	4	3
71	и др	2	3
72	не является	4	3
73	по сути	3	3
74	один из	2	3
75	в нем	5	3
76	то что	4	3
77	и это	2	3
78	в их	5	3
79	по отношению	9	3
80	тогда как	13	3
81	уже не	4	3
82	в рассказе	3	3
83	в себе	9	3
84	его в	2	3
85	между тем	4	3
86	ни к	2	2
87	не менее	3	2
88	личности в	4	2
89	с другой	7	2
90	или даже	3	2
91	в одном	2	2
92	я не	2	2
93	вовсе не	2	2
94	и ее	3	2
95	в ее	5	2
96	в искусстве	7	2
97	роман и	2	2
98	в частности	13	2
99	видим в	2	2
100	для которого	2	2
101	к жизни	2	2
102	себя в	7	2
103	по преимуществу	2	2
104	приводит к	5	2
105	так в	4	2
106	в отличие	7	2
107	для автора	2	2
108	начиная с	2	2
109	сводится к	7	2
110	и что	3	2
111	может служить	2	2
112	другой стороны	5	2
113	и по	2	2
114	с другими	4	2
115	не столько	3	2
116	не случайно	3	2
117	в основе	4	2
118	могут быть	4	2
119	в которой	2	2
120	говорить о	3	2
121	только в	5	2
122	как правило	2	2
123	в русской	3	2
124	героя и	5	2
125	из этого	2	2
126	их в	3	2
127	отличие от	7	2
128	к которому	4	2
