N	3gram	Losev_Vlad_3	Vvedenie
1	о том что	8	12
2	в том что	10	12
3	тем не менее	9	8
4	не может быть	6	8
5	в этом смысле	3	8
6	то же время	2	6
7	в то же	3	6
8	с другой стороны	2	5
9	в данном случае	2	4
10	с одной стороны	3	4
11	само по себе	3	4
12	в этом отношении	2	4
13	и в этом	5	4
14	во всяком случае	3	4
15	так или иначе	2	4
16	и в том	2	3
17	одной стороны и	2	3
18	также и в	2	3
19	как мы видели	3	3
20	вместе с тем	6	3
21	в конце концов	5	2
22	а также и	6	2
23	дело в том	5	2
24	что же касается	5	2
25	с точки зрения	6	2
26	точно так же	4	2
27	что несмотря на	2	2
28	хотя бы и	3	2
29	что в этом	2	2
30	в связи с	2	2
31	в существенном смысле	2	2
