N	2gram	Vygotskiy__5	TeoriaLi
1	не только	16	18
2	в качестве	2	17
3	и не	6	16
4	а в	4	14
5	в частности	4	13
6	и в	30	13
7	состоит в	3	13
8	может быть	11	12
9	так и	3	12
10	то есть	13	12
11	при этом	8	11
12	в этом	14	11
13	в том	27	11
14	но не	7	10
15	а не	8	10
16	и его	6	10
17	в его	4	9
18	то же	7	9
19	в душе	2	8
20	произведение искусства	6	8
21	сводится к	5	8
22	что в	24	8
23	но и	6	8
24	по отношению	2	8
25	в себе	5	7
26	том что	21	7
27	в отличие	2	7
28	в данном	3	7
29	точки зрения	7	7
30	в то	2	7
31	только в	5	7
32	как это	7	7
33	отличие от	2	7
34	с его	2	6
35	еще не	5	6
36	как бы	19	6
37	но в	5	6
38	в своем	6	5
39	или иной	2	5
40	в ее	3	5
41	как и	6	5
42	не в	8	5
43	между ними	2	5
44	в самом	14	5
45	в нем	7	5
46	данном случае	3	5
47	как в	3	5
48	он не	3	5
49	с другой	9	5
50	мы имеем	8	5
51	в искусстве	6	5
52	героя и	7	5
53	в свою	3	4
54	можно сказать	2	4
55	ни в	3	4
56	в своей	4	4
57	то что	37	4
58	по преимуществу	2	4
59	в форме	2	4
60	в их	3	4
61	приводит к	2	4
62	не может	9	4
63	сказать что	9	4
64	но он	3	4
65	не знает	2	4
66	эстетический объект	3	4
67	перед нами	2	3
68	никогда не	9	3
69	в нашем	2	3
70	в этих	3	3
71	в отношении	2	3
72	в противоположность	2	3
73	он должен	8	3
74	этом смысле	2	3
75	прежде всего	4	3
76	художественного произведения	3	3
77	и к	4	3
78	для него	3	3
79	того что	8	3
80	мог бы	2	3
81	той или	2	3
82	и потому	5	3
83	в воображении	2	3
84	другой стороны	5	3
85	как раз	13	3
86	так в	3	3
87	таким образом	20	3
88	а с	5	3
89	именно в	6	3
90	в другом	3	3
91	и вот	2	3
92	и что	23	3
93	или в	6	3
94	и то	9	3
95	потому что	23	3
96	в основе	7	3
97	в этой	5	3
98	все эти	2	3
99	и составляет	3	2
100	только не	5	2
101	о чем	4	2
102	если бы	11	2
103	была бы	3	2
104	могут быть	8	2
105	себя и	2	2
106	между собой	2	2
107	в конце	4	2
108	того же	2	2
109	это не	3	2
110	одного и	2	2
111	этих двух	7	2
112	вовсе не	3	2
113	по себе	7	2
114	что он	17	2
115	к тому	8	2
116	об этом	3	2
117	и того	2	2
118	и как	7	2
119	что они	5	2
120	казалось бы	4	2
121	одной стороны	12	2
122	одно и	3	2
123	из которых	4	2
124	однако эта	2	2
125	имеет место	3	2
126	в стихе	4	2
127	в виду	4	2
128	чем это	3	2
129	и тем	6	2
130	не с	2	2
131	как говорит	4	2
132	в целом	5	2
133	во всех	2	2
134	вместе с	12	2
135	но она	2	2
136	образом и	2	2
137	со стороны	3	2
138	в романе	2	2
139	и для	6	2
140	с одной	12	2
141	это и	2	2
142	в себя	2	2
143	в той	3	2
144	и о	3	2
145	говорит что	6	2
146	с точки	2	2
147	и даже	2	2
148	так же	13	2
149	в рассказе	2	2
150	у него	3	2
151	и здесь	6	2
152	как будто	6	2
153	о том	10	2
154	произведения искусства	2	2
155	и это	8	2
156	в которой	3	2
157	отношения к	2	2
158	на деле	8	2
159	в состав	3	2
160	в катарсисе	2	2
