N	2gram	Vinokur_Ku_1	EvropaiC
1	таким образом	12	32
2	в том	30	31
3	и в	24	24
4	том что	21	20
5	все эти	6	19
6	не может	7	18
7	то что	9	17
8	может быть	13	15
9	все же	12	15
10	точки зрения	14	13
11	в своем	3	12
12	до сих	4	12
13	сих пор	4	12
14	самом деле	9	12
15	в этом	14	12
16	все это	6	11
17	между тем	5	11
18	с этим	4	11
19	отношению к	9	10
20	как бы	7	10
21	по отношению	8	10
22	так и	7	10
23	на то	4	9
24	при этом	6	9
25	в результате	5	9
26	как и	2	9
27	того же	4	9
28	что в	17	9
29	не в	11	8
30	в самом	10	8
31	так же	4	8
32	если бы	9	8
33	и все	2	8
34	ясно что	3	8
35	идет речь	2	8
36	с точки	9	8
37	не менее	7	7
38	для этого	3	7
39	к тому	5	7
40	но и	6	7
41	и не	12	7
42	и что	5	7
43	из этих	4	7
44	о котором	2	7
45	о том	9	7
46	что он	6	7
47	по существу	4	7
48	в силу	10	7
49	или менее	3	7
50	на самом	2	7
51	того чтобы	17	7
52	для того	16	7
53	более или	3	7
54	должна быть	3	6
55	с другой	7	6
56	так что	4	6
57	в этой	3	6
58	в общем	3	6
59	несмотря на	3	6
60	того что	9	6
61	как на	3	6
62	и на	4	6
63	что касается	2	6
64	так как	9	6
65	с ним	5	6
66	и при	2	6
67	еще не	5	6
68	что и	4	6
69	тогда как	2	6
70	только в	11	6
71	вместе с	7	6
72	именно в	6	5
73	что это	5	5
74	что все	2	5
75	что с	2	5
76	в целом	4	5
77	другой стороны	6	5
78	и с	5	5
79	потому что	23	5
80	между собою	2	5
81	но в	2	5
82	в то	2	5
83	и если	3	5
84	в его	12	5
85	не только	10	5
86	котором идет	2	5
87	и для	2	5
88	но все	2	5
89	лишь в	2	5
90	в себе	3	5
91	в которой	6	5
92	не могут	2	4
93	никогда не	2	4
94	этом случае	2	4
95	тем не	4	4
96	что его	2	4
97	это есть	2	4
98	одним из	2	4
99	хотя и	3	4
100	из них	4	4
101	в их	3	4
102	поэтому что	2	4
103	а потому	5	4
104	должно быть	3	4
105	и то	3	4
106	в состоянии	2	4
107	связи с	7	4
108	социальной жизни	2	4
109	иначе говоря	2	4
110	том же	2	4
111	он не	2	4
112	не есть	4	4
113	то же	8	4
114	а с	3	4
115	если мы	2	4
116	хотя бы	10	4
117	в таком	3	4
118	в области	7	4
119	что их	2	3
120	в этих	4	3
121	одного и	2	3
122	представление о	3	3
123	вопрос о	2	3
124	в тех	4	3
125	для нас	2	3
126	очевидно что	3	3
127	уже и	3	3
128	так или	2	3
129	ему приходится	2	3
130	в нем	4	3
131	целый ряд	5	3
132	естественно поэтому	2	3
133	в разных	2	3
134	что оно	3	3
135	заключается в	2	3
136	а в	5	3
137	это не	7	3
138	в истории	3	3
139	и потому	4	3
140	бы в	7	3
141	с тем	5	3
142	прежде всего	9	3
143	и того	2	3
144	у нас	10	3
145	тот же	2	3
146	и может	3	3
147	конечно не	2	3
148	что если	2	3
149	даже в	3	3
150	случаях когда	2	3
151	должны быть	2	3
152	может служить	2	3
153	или иначе	2	3
154	в данном	4	3
155	очень много	2	3
156	тем более	2	3
157	в связи	3	3
158	свою очередь	3	2
159	борьба за	3	2
160	в сторону	2	2
161	в частности	4	2
162	можно ли	2	2
163	тому что	3	2
164	из предыдущего	2	2
165	с этой	2	2
166	на долю	3	2
167	что эти	4	2
168	пришлось бы	2	2
169	сводится к	3	2
170	что они	4	2
171	же время	2	2
172	в свою	3	2
173	или поздно	2	2
174	от себя	2	2
175	том чтобы	8	2
176	в ней	6	2
177	но если	2	2
178	в виду	5	2
179	всяком случае	5	2
180	в котором	3	2
181	на том	3	2
182	что она	3	2
183	то и	2	2
184	в самой	4	2
185	они не	3	2
186	во втором	2	2
187	доказать что	2	2
188	с ними	4	2
189	в которых	6	2
190	одно из	2	2
191	на более	2	2
192	не было	3	2
193	также и	2	2
194	а это	3	2
195	во всяком	5	2
196	том и	2	2
197	и более	2	2
198	в них	7	2
199	следует что	4	2
200	же касается	4	2
201	гораздо более	3	2
202	тогда когда	6	2
203	чтобы быть	2	2
204	на месте	2	2
205	должен быть	4	2
206	вовсе не	10	2
207	только тогда	3	2
208	при том	2	2
209	но не	5	2
210	было бы	15	2
211	на себе	6	2
212	рано или	2	2
213	в сущности	3	2
214	между прочим	2	2
215	что же	6	2
216	из одного	3	2
217	но с	2	2
218	тем самым	4	2
219	между ними	2	2
220	и социальной	2	2
221	этого слова	3	2
222	есть в	4	2
