N	2gram	Trubetskoy_1	Dialekti
1	и не	8	30
2	может быть	10	20
3	и в	26	19
4	не только	10	19
5	а не	5	16
6	в себе	6	15
7	то что	7	14
8	и даже	3	14
9	в том	11	14
10	как бы	12	14
11	так как	9	14
12	потому что	7	14
13	но и	9	12
14	то же	4	12
15	точки зрения	13	12
16	и все	2	12
17	что это	3	10
18	и как	3	10
19	в нем	4	10
20	так и	6	10
21	том что	7	10
22	сказать что	2	10
23	никогда не	5	9
24	по крайней	5	9
25	крайней мере	5	9
26	не может	4	9
27	прежде всего	2	8
28	с точки	6	8
29	не в	2	8
30	в этом	15	8
31	и к	5	7
32	что в	9	7
33	так что	3	7
34	что он	4	6
35	в то	4	6
36	но не	8	6
37	конечно не	2	6
38	того что	3	6
39	жизни и	2	6
40	не потому	2	6
41	тогда когда	2	6
42	с другой	8	5
43	же время	2	5
44	в силу	5	5
45	по своему	2	5
46	можно сказать	3	5
47	в самом	4	5
48	и потому	6	5
49	что и	6	5
50	и это	2	5
51	иной раз	2	5
52	в одно	2	5
53	и что	4	5
54	в смысле	4	5
55	только что	2	5
56	только в	4	5
57	о том	6	5
58	и с	10	5
59	в виду	2	5
60	уже в	2	4
61	или иное	2	4
62	в своем	3	4
63	ясно что	3	4
64	в одном	3	4
65	не могут	2	4
66	все же	6	4
67	при этом	3	4
68	еще не	2	4
69	и если	3	4
70	к нему	7	4
71	той или	2	4
72	он не	4	4
73	хотя бы	3	4
74	связи с	9	4
75	быть и	2	4
76	все это	6	4
77	в связи	3	4
78	и только	4	4
79	таким образом	22	4
80	что оно	4	4
81	и по	4	4
82	то или	2	4
83	а в	4	4
84	в таком	3	4
85	одно из	2	4
86	по своей	2	4
87	не менее	3	3
88	же как	3	3
89	в этих	4	3
90	и от	4	3
91	уже не	3	3
92	в этой	4	3
93	религия без	2	3
94	и из	2	3
95	тех пор	2	3
96	из них	7	3
97	и тогда	4	3
98	грань между	2	3
99	в разных	2	3
100	не было	2	3
101	мы имеем	2	3
102	о котором	2	3
103	связана с	2	2
104	самого начала	2	2
105	только не	2	2
106	в конце	6	2
107	именно в	2	2
108	большею частью	2	2
109	этого последнего	2	2
110	к тому	6	2
111	тем не	3	2
112	с самого	3	2
113	но все	7	2
114	так чтобы	2	2
115	с тем	18	2
116	или менее	5	2
117	и нет	3	2
118	различия между	2	2
119	до сих	5	2
120	с целью	2	2
121	в общем	8	2
122	несмотря на	6	2
123	всяком случае	6	2
124	если в	3	2
125	так или	3	2
126	сих пор	5	2
127	в мире	5	2
128	на все	2	2
129	во всех	2	2
130	так же	5	2
131	взгляд на	2	2
132	с одной	7	2
133	можно только	2	2
134	культуры и	3	2
135	отвлеченные понятия	2	2
136	более или	5	2
137	в другое	2	2
138	его не	2	2
139	с тех	2	2
140	или иначе	3	2
141	в результате	3	2
142	и при	3	2
143	между тем	2	2
144	не как	2	2
145	в виде	4	2
146	во время	4	2
147	что мы	2	2
148	или по	2	2
149	мы должны	6	2
150	же самое	2	2
151	еще на	2	2
152	во всяком	6	2
153	что эти	3	2
154	все эти	6	2
155	к сожалению	3	2
156	в которой	3	2
157	в области	9	2
158	но в	7	2
159	вместе с	15	2
