N	3gram	Tiupa_Hudo_1	StatiiOP
1	и т д	3	21
2	в том что	6	17
3	о том что	9	11
4	и т п	8	9
5	можно было бы	4	8
6	с точки зрения	3	8
7	в этом отношении	3	7
8	до сих пор	2	7
9	в самом деле	4	5
10	не может быть	2	5
11	то же время	8	4
12	в то же	8	4
13	не только в	2	4
14	того или иного	2	4
15	на то что	2	4
16	и в самом	3	3
17	том что в	2	3
18	что же касается	2	3
19	только в том	2	3
20	по отношению к	8	3
21	это прежде всего	2	2
22	как раз в	2	2
23	как и в	3	2
24	тем не менее	3	2
25	в равной мере	2	2
26	в первую очередь	2	2
27	но в то	3	2
28	не в том	2	2
29	речь идет о	2	2
30	так или иначе	2	2
