N	2gram	Tiupa_Anal_1	Formalny
1	и не	21	30
2	вовсе не	2	28
3	и в	18	27
4	может быть	29	25
5	не может	22	24
6	так и	4	21
7	и его	5	19
8	таким образом	3	18
9	в этом	13	18
10	а не	17	17
11	точки зрения	6	16
12	самом деле	2	16
13	в нем	3	15
14	в процессе	2	15
15	то же	9	15
16	на самом	2	14
17	как и	13	14
18	с точки	4	14
19	не в	14	12
20	если бы	3	12
21	в самом	6	11
22	художественное произведение	5	11
23	и т	3	11
24	место в	3	10
25	но и	17	10
26	не могут	3	10
27	лишь в	5	9
28	так как	2	9
29	не только	15	9
30	что в	5	8
31	ни в	4	8
32	при этом	12	8
33	в пределах	2	8
34	как бы	5	8
35	отнюдь не	15	8
36	и все	3	8
37	то что	6	8
38	как мы	2	8
39	только в	6	8
40	в том	27	7
41	же время	6	7
42	потому что	2	7
43	в искусстве	2	7
44	в то	9	7
45	между тем	5	7
46	художественного произведения	5	7
47	в его	13	7
48	истории литературы	4	6
49	с другой	4	6
50	все эти	2	6
51	но в	8	6
52	произведения как	7	6
53	произведения в	11	6
54	в литературе	4	6
55	что он	3	6
56	более того	3	6
57	еще не	3	6
58	было бы	2	6
59	все же	4	6
60	в своей	6	6
61	хотя бы	3	6
62	в данном	2	6
63	вместе с	4	6
64	никогда не	2	5
65	что именно	2	5
66	ни было	4	5
67	того чтобы	3	5
68	не является	2	5
69	другой стороны	2	5
70	в художественном	3	5
71	но не	10	5
72	и потому	2	5
73	что же	2	5
74	т п	3	5
75	сводится к	5	5
76	тому как	3	5
77	смысла и	3	4
78	то ни	3	4
79	прежде всего	6	4
80	к тому	7	4
81	и как	5	4
82	для того	4	4
83	и является	2	4
84	бы то	3	4
85	в целом	5	4
86	литературного произведения	41	4
87	данном случае	2	4
88	со стороны	2	4
89	смысл и	3	4
90	и восприятия	2	4
91	о том	5	4
92	между собой	2	4
93	следует что	2	4
94	тогда когда	2	4
95	по себе	4	4
96	бы ни	2	4
97	не есть	8	4
98	том что	12	4
99	для данного	2	4
100	роль в	2	4
101	могут быть	4	4
102	подобно тому	3	4
103	произведение в	2	4
104	творчества и	2	3
105	искусства в	4	3
106	его и	2	3
107	в какой	2	3
108	столь же	4	3
109	это не	6	3
110	вследствие этого	3	3
111	можно сказать	2	3
112	литературное произведение	12	3
113	того что	4	3
114	имеет место	5	3
115	одним из	3	3
116	она есть	2	3
117	не о	2	3
118	по отношению	6	3
119	той же	2	3
120	этом отношении	2	3
121	и на	5	3
122	не следует	4	3
123	и с	2	3
124	в основе	6	3
125	нуждается в	8	3
126	романа в	2	3
127	и более	4	3
128	на фоне	2	3
129	того же	4	3
130	же самое	2	3
131	о нем	3	3
132	еще в	2	3
133	нет и	2	3
134	отношению к	5	3
135	дело с	4	3
136	в произведении	5	3
137	в той	8	3
138	уже не	4	3
139	героя в	2	3
140	ничто не	2	3
141	то он	2	3
142	в себе	11	3
143	как от	2	3
144	для этого	2	2
145	была бы	2	2
146	на все	2	2
147	или иной	6	2
148	такой же	2	2
149	в этой	5	2
150	на этом	2	2
151	художественного творчества	2	2
152	к полюсу	2	2
153	совпадает с	2	2
154	не являются	2	2
155	в котором	3	2
156	какой бы	2	2
157	он может	2	2
158	из них	2	2
159	для чего	2	2
160	дело не	3	2
161	отличается от	2	2
162	отношения к	2	2
163	художественная реальность	8	2
164	как совокупность	2	2
165	может иметь	2	2
166	из виду	2	2
167	смысла но	4	2
168	из этих	2	2
169	как он	3	2
170	бы быть	3	2
171	в полной	3	2
172	художественного восприятия	7	2
173	с его	3	2
174	только не	2	2
175	однако в	3	2
176	установкой на	2	2
177	как язык	2	2
178	то в	2	2
179	и тогда	2	2
180	в сущности	6	2
181	за пределы	2	2
182	ни с	3	2
183	этого слова	7	2
184	даже в	3	2
185	сами по	2	2
186	должен быть	6	2
187	что и	3	2
188	внутренней речи	5	2
189	в отличие	6	2
190	бы не	2	2
191	в таком	3	2
192	неотделимо от	2	2
193	здесь не	2	2
194	отличие от	6	2
195	в области	4	2
196	для художественного	2	2
