N	2gram	Tiupa_Narr_2	Psycholo
1	то что	8	44
2	и в	13	33
3	в этом	13	28
4	как бы	6	25
5	и что	2	25
6	потому что	2	24
7	может быть	10	22
8	том что	13	22
9	того чтобы	3	22
10	что в	4	21
11	в том	14	21
12	о том	5	20
13	что он	5	20
14	только что	2	15
15	как это	4	14
16	что это	4	13
17	таким образом	5	13
18	и не	14	13
19	так же	2	13
20	сказать что	3	13
21	то есть	9	13
22	к тому	9	12
23	в самом	2	12
24	все то	2	12
25	и все	4	12
26	этого рассказа	2	12
27	было бы	2	12
28	самом деле	3	12
29	он не	5	11
30	на то	2	10
31	что она	2	10
32	не может	8	10
33	в его	6	10
34	если бы	4	10
35	в этой	4	9
36	как раз	3	9
37	то же	4	9
38	в конце	4	8
39	характера и	3	8
40	в рассказе	4	8
41	в своем	6	7
42	для нас	2	7
43	в нем	5	7
44	раз в	2	7
45	не только	26	7
46	перед нами	4	6
47	тому что	3	6
48	это не	3	6
49	что они	3	6
50	в ней	2	6
51	и т	2	6
52	все эти	3	6
53	но он	2	6
54	точки зрения	5	6
55	во время	2	6
56	как на	2	6
57	у него	6	6
58	никак не	3	6
59	на самом	2	6
60	а не	17	6
61	всякий раз	2	6
62	в себе	8	6
63	никогда не	6	5
64	в какой	4	5
65	в целом	3	5
66	мы не	2	5
67	вовсе не	2	5
68	как он	2	5
69	с ним	4	5
70	как и	4	5
71	и его	3	5
72	все же	6	5
73	я не	5	4
74	в частности	11	4
75	что у	2	4
76	мы узнаем	2	4
77	и уже	4	4
78	жизни и	4	4
79	а в	9	4
80	того что	6	4
81	с этой	3	4
82	в жизни	6	4
83	об этом	4	4
84	у нас	2	4
85	одна из	3	4
86	о нем	3	4
87	говорит о	2	4
88	себя в	2	4
89	не будет	2	4
90	в своей	4	4
91	на него	5	4
92	с точки	2	4
93	той же	2	4
94	в таком	3	4
95	можно было	2	4
96	по поводу	2	4
97	только в	11	4
98	же как	2	3
99	с одной	5	3
100	точно так	2	3
101	обратиться к	2	3
102	в мире	4	3
103	тому же	4	3
104	одной стороны	5	3
105	вслед за	6	3
106	но и	15	3
107	и опять	2	3
108	в своих	2	3
109	и здесь	2	3
110	в то	5	3
111	могло бы	2	3
112	видит в	2	3
113	том как	2	3
114	должен был	2	3
115	говорить о	2	3
116	но не	3	3
117	что и	2	3
118	так и	9	3
119	как в	5	3
120	да и	3	3
121	дело с	2	3
122	тем самым	5	3
123	и он	2	3
124	и для	3	3
125	в виде	2	3
126	т п	2	3
127	далеко не	5	3
128	в той	5	3
129	место в	5	2
130	столь же	2	2
131	с другой	5	2
132	из этих	2	2
133	прежде всего	6	2
134	времени и	4	2
135	же время	3	2
136	при этом	14	2
137	себе и	2	2
138	все те	2	2
139	в котором	5	2
140	не является	4	2
141	один из	3	2
142	о них	2	2
143	именно в	2	2
144	те же	2	2
145	не имеет	2	2
146	нам в	3	2
147	о ней	3	2
148	в результате	2	2
149	одно из	2	2
150	могли бы	2	2
151	не в	8	2
152	мы имеем	3	2
153	но в	6	2
154	а как	3	2
155	с его	3	2
156	только не	2	2
157	по словам	2	2
158	он может	2	2
159	и к	6	2
160	в ее	4	2
161	представляет собой	16	2
162	можно сказать	6	2
163	читателя в	4	2
164	иначе говоря	7	2
165	и когда	3	2
166	однако не	2	2
167	не все	2	2
168	с таким	2	2
169	со стороны	6	2
170	внимание на	3	2
171	а с	2	2
172	сводится к	9	2
173	хотя бы	2	2
174	тому как	2	2
175	героя и	2	2
176	едва ли	3	2
177	ничего не	6	2
178	то чтобы	2	2
