N	2gram	Bakhtin_Pr_2	Dialekti
1	не есть	2	47
2	и не	42	30
3	может быть	18	20
4	и в	45	19
5	не только	16	19
6	по себе	8	18
7	а не	10	16
8	в себе	5	15
9	то что	5	14
10	что она	4	14
11	и даже	3	14
12	в том	8	14
13	как бы	15	14
14	так как	5	14
15	потому что	8	14
16	вовсе не	7	13
17	но и	15	12
18	то же	5	12
19	точки зрения	19	12
20	ни в	2	10
21	как и	14	10
22	и как	2	10
23	в нем	20	10
24	так и	3	10
25	том что	7	10
26	это не	3	10
27	сказать что	5	10
28	стало быть	3	10
29	никогда не	17	9
30	по крайней	2	9
31	крайней мере	2	9
32	не может	24	9
33	личности в	3	8
34	прежде всего	11	8
35	она не	5	8
36	мы уже	3	8
37	с точки	9	8
38	не в	8	8
39	в этом	20	8
40	в своей	6	8
41	сама по	5	7
42	как это	2	7
43	но это	2	7
44	и к	2	7
45	что в	6	7
46	должно быть	4	7
47	так что	2	7
48	я не	6	6
49	что он	7	6
50	что не	5	6
51	что они	3	6
52	в то	5	6
53	но не	6	6
54	есть и	3	6
55	конечно не	6	6
56	того что	3	6
57	жизни и	15	6
58	не потому	2	6
59	сознания и	6	5
60	должна быть	3	5
61	же время	3	5
62	можно сказать	2	5
63	и пр	2	5
64	в самом	13	5
65	и следовательно	7	5
66	и потому	6	5
67	что и	5	5
68	а именно	3	5
69	как раз	6	5
70	и что	2	5
71	в смысле	2	5
72	только что	2	5
73	и его	8	5
74	жизнь и	3	5
75	но как	2	5
76	только в	9	5
77	о том	3	5
78	и с	7	5
79	в виду	2	5
80	уже в	4	4
81	в своем	5	4
82	в одном	6	4
83	быть в	2	4
84	в ее	3	4
85	все же	4	4
86	при этом	2	4
87	еще не	9	4
88	к нему	11	4
89	за пределы	5	4
90	той или	3	4
91	он не	9	4
92	хотя бы	5	4
93	ни с	2	4
94	от того	2	4
95	все это	5	4
96	таким образом	11	4
97	и вот	2	4
98	самом деле	4	4
99	и по	2	4
100	есть только	4	4
101	а в	3	4
102	в таком	3	4
103	в одной	5	4
104	могут быть	4	4
105	как он	4	4
106	с ним	8	4
107	мифа и	2	4
108	не менее	2	3
109	и более	2	3
110	же как	4	3
111	же мы	2	3
112	все время	3	3
113	в этих	4	3
114	и от	3	3
115	он есть	2	3
116	была бы	3	3
117	а только	2	3
118	об этом	3	3
119	как мы	8	3
120	но только	2	3
121	уже не	6	3
122	что если	3	3
123	было бы	4	3
124	неотделим от	2	3
125	у меня	3	3
126	не значит	2	3
127	даже в	6	3
128	тут не	2	3
129	как же	2	3
130	из них	9	3
131	и их	6	3
132	не было	2	3
133	мы имеем	2	3
134	то оно	2	3
135	это как	2	3
136	в той	3	3
137	они не	2	3
138	его с	2	3
139	его в	3	3
140	тело и	2	3
141	в чем	2	3
142	ничего не	3	3
143	нет ни	3	3
144	все его	3	3
145	это было	2	3
146	что же	4	2
147	быть только	2	2
148	само по	2	2
149	в зависимости	3	2
150	она и	3	2
151	что у	4	2
152	перед нами	4	2
153	в конце	4	2
154	человека и	2	2
155	именно в	3	2
156	он может	2	2
157	но все	4	2
158	мы видим	2	2
159	зависимости от	3	2
160	так чтобы	2	2
161	в истории	2	2
162	и идеи	5	2
163	до сих	2	2
164	и прежде	2	2
165	на его	5	2
166	в сущности	7	2
167	жизнь личности	2	2
168	не по	3	2
169	в ней	7	2
170	в сфере	2	2
171	сих пор	2	2
172	себя в	2	2
173	в мире	3	2
174	как не	5	2
175	во всех	4	2
176	в некоторых	2	2
177	на него	2	2
178	ее в	2	2
179	в каждом	4	2
180	в их	4	2
181	так же	5	2
182	не на	4	2
183	не раз	2	2
184	например в	2	2
185	того как	3	2
186	с ее	3	2
187	в голове	2	2
188	как в	4	2
189	а потому	2	2
190	человеческой жизни	2	2
191	в другое	2	2
192	это вовсе	2	2
193	в науке	2	2
194	бы и	3	2
195	или в	2	2
196	с ними	4	2
197	на мир	2	2
198	в своих	4	2
199	в результате	3	2
200	их в	7	2
201	в новую	2	2
202	не как	6	2
203	тем что	2	2
204	его личности	2	2
205	во все	2	2
206	или не	2	2
207	мы должны	4	2
208	но ведь	3	2
209	все эти	4	2
210	есть в	8	2
211	в которой	2	2
212	в области	2	2
213	но в	6	2
214	я и	3	2
215	в жизни	3	2
