N	2gram	Vinokur_Ku_2	Poddanst
1	не только	20	17
2	и в	23	14
3	и не	16	12
4	в области	11	11
5	в отношении	2	10
6	в этом	18	10
7	то же	6	9
8	в том	19	9
9	в качестве	8	9
10	но в	11	9
11	хотя бы	9	8
12	в пределах	4	8
13	же время	3	7
14	в то	4	7
15	только в	5	7
16	но и	7	6
17	в ней	3	6
18	было бы	15	6
19	с другой	8	5
20	не в	8	5
21	в которых	2	5
22	и пр	8	5
23	и о	4	5
24	может быть	15	5
25	же в	3	4
26	то что	9	4
27	что в	10	4
28	если бы	12	4
29	в своем	2	4
30	не может	9	4
31	но также	4	4
32	по себе	10	4
33	а в	3	4
34	том что	11	4
35	мы должны	2	4
36	и если	2	4
37	а также	3	4
38	как бы	4	4
39	и потому	2	4
40	в нем	4	3
41	и т	39	3
42	с тем	2	3
43	это не	6	3
44	с одной	2	3
45	т е	22	3
46	прежде всего	8	3
47	заключается в	2	3
48	тем самым	2	3
49	для того	9	3
50	с точки	8	3
51	сводится к	3	3
52	с ними	2	3
53	между тем	6	3
54	но не	6	3
55	могут быть	4	3
56	точки зрения	14	3
57	что мы	6	3
58	тот же	5	3
59	потому что	25	3
60	хотя и	4	3
61	в сфере	3	2
62	не менее	7	2
63	и тем	5	2
64	так называемые	2	2
65	именно в	3	2
66	и есть	2	2
67	в частности	2	2
68	отнюдь не	4	2
69	со стороны	4	2
70	в них	4	2
71	все это	5	2
72	как раз	3	2
73	отношения к	2	2
74	с этим	3	2
75	между прочим	2	2
76	главным образом	3	2
77	и вот	5	2
78	а не	10	2
79	того что	3	2
80	должно быть	4	2
81	для нас	4	2
82	говорить о	4	2
83	в русском	10	2
84	есть в	3	2
85	в силу	7	2
86	по сравнению	2	2
87	не было	4	2
88	и это	3	2
89	в статье	3	2
90	никак не	3	2
91	да и	6	2
92	в его	5	2
93	и с	7	2
