N	2gram	Savitsky_E_1	Problemy
1	и в	37	34
2	и не	14	29
3	как бы	6	27
4	в его	2	22
5	может быть	6	19
6	не может	9	19
7	и все	2	19
8	как и	7	18
9	но в	14	16
10	в этом	12	16
11	и с	2	15
12	прежде всего	9	15
13	он не	2	15
14	то же	15	14
15	к нему	2	14
16	т е	9	12
17	но и	14	12
18	же время	14	12
19	и к	3	12
20	потому что	3	12
21	в то	16	12
22	вовсе не	6	11
23	то что	6	11
24	не только	18	10
25	в отношении	32	9
26	не в	5	9
27	а не	2	9
28	никогда не	3	8
29	в самом	4	8
30	так же	9	8
31	точки зрения	23	8
32	что же	2	8
33	и для	3	8
34	что в	21	7
35	и даже	6	7
36	отношении к	15	7
37	как мы	5	7
38	как будто	2	7
39	там где	3	7
40	в пределах	25	6
41	и на	6	6
42	так и	10	6
43	в себе	9	6
44	только в	9	6
45	он сам	2	5
46	что это	2	5
47	и от	3	5
48	к тому	8	5
49	и что	2	5
50	того что	7	5
51	дело идет	2	5
52	всяком случае	3	5
53	из них	3	5
54	таким образом	2	5
55	на них	2	5
56	а в	2	5
57	и наконец	2	5
58	мы должны	2	5
59	с тем	3	5
60	в одном	2	5
61	даже в	4	5
62	что и	3	5
63	хотя бы	15	5
64	во всяком	3	5
65	но на	3	4
66	то ни	4	4
67	с другой	7	4
68	что все	2	4
69	ни было	4	4
70	в общем	3	4
71	бы то	4	4
72	но как	2	4
73	так как	7	4
74	если бы	2	4
75	этом смысле	3	4
76	но не	5	4
77	бы и	3	4
78	как в	3	4
79	и прежде	3	4
80	в мире	2	4
81	с точки	17	4
82	с другими	2	4
83	тем что	3	4
84	в виде	5	4
85	вместе с	2	4
86	в том	11	3
87	такой же	2	3
88	хотя и	2	3
89	в котором	2	3
90	мы видели	3	3
91	жизни и	2	3
92	другой стороны	2	3
93	в ней	4	3
94	ведь и	2	3
95	большинстве случаев	3	3
96	бы в	2	3
97	и во	2	3
98	по себе	4	3
99	в ее	8	3
100	том что	6	3
101	по своему	7	3
102	между тем	8	3
103	в своей	8	3
104	и как	2	3
105	и то	2	3
106	далеко не	2	3
107	в сторону	2	2
108	столь же	5	2
109	вообще не	3	2
110	с этой	6	2
111	эти последние	2	2
112	именно потому	2	2
113	вопрос о	4	2
114	или иной	4	2
115	она в	3	2
116	в большинстве	2	2
117	мог бы	2	2
118	и если	2	2
119	кажется что	2	2
120	друг с	3	2
121	в другой	2	2
122	не является	3	2
123	и со	3	2
124	тому чтобы	2	2
125	в своем	14	2
126	и только	3	2
127	того или	4	2
128	и тут	2	2
129	как на	3	2
130	в которых	3	2
131	с этим	2	2
132	той или	4	2
133	о том	3	2
134	сказать что	4	2
135	и этот	2	2
136	отнюдь не	9	2
137	в них	3	2
138	говорит о	3	2
139	и того	2	2
140	то в	4	2
141	того же	3	2
142	с другом	3	2
143	ли это	3	2
144	но именно	2	2
145	было бы	8	2
146	во всех	6	2
147	к ней	4	2
148	и потому	5	2
149	когда он	3	2
150	еще более	2	2
151	но с	2	2
152	в той	5	2
