N	3gram	Vygotskiy__7	EvropaiE
1	с точки зрения	21	16
2	с одной стороны	5	8
3	одной стороны и	3	6
4	в том что	13	6
5	так же как	7	5
6	этой точки зрения	4	5
7	с этой точки	4	5
8	для того чтобы	18	5
9	же как и	2	3
10	можно сказать что	3	3
11	в этом отношении	3	3
12	в известном смысле	2	3
13	друг с другом	2	3
14	по сравнению с	7	2
15	в свою очередь	2	2
16	приводит нас к	2	2
17	в большинстве случаев	2	2
18	в данном случае	5	2
19	друг от друга	2	2
20	на то что	4	2
21	как мы видели	3	2
22	из того что	2	2
23	заключается в том	4	2
24	прежде всего в	2	2
25	не может быть	4	2
