N	2gram	Vygotskiy__4	DiskursI
1	в качестве	21	34
2	не только	15	28
3	в том	42	23
4	а не	7	22
5	том что	35	19
6	тогда как	2	19
7	может быть	12	17
8	представляет собой	3	17
9	и в	20	16
10	как и	9	16
11	в этом	24	15
12	еще не	2	14
13	но и	9	14
14	при этом	12	13
15	и т.п	2	12
16	прежде всего	2	11
17	но не	3	11
18	и не	8	11
19	по своей	6	11
20	с другой	12	10
21	как в	5	10
22	далеко не	2	10
23	в частности	5	9
24	состоит в	4	9
25	в нем	2	9
26	одной стороны	9	9
27	не может	6	9
28	с одной	9	9
29	а также	2	8
30	отнюдь не	3	8
31	так и	5	8
32	о том	5	8
33	но в	3	8
34	в основе	17	7
35	в его	11	7
36	со стороны	3	7
37	то же	16	7
38	роль в	4	7
39	в себе	10	7
40	только в	10	7
41	не в	4	7
42	в своем	4	6
43	и как	9	6
44	к тому	6	5
45	тому же	6	5
46	в силу	6	5
47	как бы	7	5
48	в своей	7	5
49	то что	15	5
50	в процессе	27	5
51	в отличие	2	5
52	а с	2	5
53	а в	2	5
54	в их	12	5
55	отличие от	2	5
56	и на	6	5
57	в данном	2	5
58	что в	19	4
59	не является	5	4
60	и к	5	4
61	что он	6	4
62	для него	2	4
63	в истории	10	4
64	в целом	11	4
65	одной из	3	4
66	связи с	3	4
67	на его	3	4
68	такого рода	6	4
69	внимание на	3	4
70	потому что	12	4
71	между тем	9	4
72	могут быть	7	4
73	и т.д	2	4
74	перед нами	5	3
75	того же	9	3
76	столь же	3	3
77	это не	5	3
78	как уже	4	3
79	что и	9	3
80	и того	5	3
81	свою очередь	2	3
82	по своему	4	3
83	в свою	2	3
84	с этим	5	3
85	в действительности	5	3
86	в данной	2	3
87	в самом	6	3
88	один из	3	3
89	все же	5	3
90	в ходе	4	3
91	из них	4	3
92	научного мышления	3	3
93	ли не	2	3
94	таким образом	25	3
95	именно в	3	3
96	заключается в	18	3
97	того что	10	3
98	другой стороны	9	3
99	сказать что	6	3
100	тем что	7	3
101	точки зрения	24	3
102	тому как	2	3
103	также и	2	3
104	понятие о	2	3
105	слова в	9	2
106	но они	2	2
107	одновременно с	3	2
108	по мере	4	2
109	не менее	3	2
110	никогда не	5	2
111	между собой	5	2
112	том числе	2	2
113	в какой	3	2
114	и во	3	2
115	одного и	6	2
116	в каждом	2	2
117	это в	2	2
118	к этому	4	2
119	стороны и	2	2
120	различие между	3	2
121	в историческом	2	2
122	по выражению	4	2
123	на этом	3	2
124	числе и	2	2
125	опирается на	2	2
126	указывает на	2	2
127	отличается от	2	2
128	что с	4	2
129	в начале	2	2
130	в сущности	4	2
131	одним из	2	2
132	как показывает	2	2
133	в равной	3	2
134	и тем	8	2
135	не есть	2	2
136	себя в	3	2
137	когда он	3	2
138	на том	4	2
139	данном случае	2	2
140	мысли и	2	2
141	приводит к	3	2
142	целый ряд	5	2
143	к мысли	2	2
144	уже в	6	2
145	как мы	13	2
146	и что	8	2
147	том чтобы	2	2
148	и он	2	2
149	и его	5	2
150	во всяком	4	2
151	мы имеем	2	2
152	подобно тому	2	2
153	но как	2	2
154	к которому	3	2
155	же самое	7	2
156	в этой	3	2
157	рассматривать как	2	2
158	они не	2	2
159	едва ли	2	2
160	в значении	2	2
161	влияния на	2	2
162	в виду	3	2
