N	2gram	Bakhtin_sl_1	Tvorches
1	и в	41	21
2	как бы	12	17
3	в то	14	15
4	в его	13	13
5	то же	14	13
6	в романах	2	13
7	как и	4	12
8	же время	12	12
9	то есть	26	12
10	с его	4	11
11	том что	2	11
12	в романе	21	10
13	все это	5	10
14	как в	8	8
15	он не	3	8
16	у него	3	7
17	в свою	3	7
18	в том	3	7
19	при этом	6	7
20	не только	16	7
21	и не	16	7
22	и на	14	7
23	но в	8	7
24	и все	4	6
25	для него	3	6
26	в котором	2	6
27	а в	6	6
28	и его	14	6
29	в этом	12	6
30	о том	3	6
31	вовсе не	7	5
32	а не	15	5
33	может быть	14	5
34	все же	7	5
35	таким образом	9	5
36	хотя бы	3	5
37	потому что	2	5
38	только в	6	5
39	в своем	3	4
40	прежде всего	8	4
41	в целом	2	4
42	одной из	3	4
43	одним из	4	4
44	один из	4	4
45	в своей	7	4
46	не может	14	4
47	это не	6	4
48	и от	4	4
49	в основном	3	4
50	никогда не	3	3
51	с другой	5	3
52	что все	2	3
53	в каждом	4	3
54	с ним	7	3
55	сливается с	2	3
56	с ее	4	3
57	но не	2	3
58	на его	8	3
59	в самом	5	3
60	той же	2	3
61	даже в	2	3
62	в нем	30	3
63	и т	28	3
64	но и	16	3
65	дело не	2	3
66	в их	4	3
67	уже не	2	3
68	и других	3	3
69	на самом	2	3
70	того что	3	3
71	и даже	6	3
72	и по	2	3
73	так же	2	3
74	в которой	4	3
75	и с	4	3
76	хотя и	2	3
77	в виде	2	3
78	на протяжении	2	3
79	ту же	4	3
80	далеко не	5	3
81	так как	3	3
82	подхода к	5	3
83	в основе	5	2
84	может не	8	2
85	перед нами	4	2
86	а как	2	2
87	в частности	2	2
88	в этих	2	2
89	на том	2	2
90	в качестве	3	2
91	эти слова	2	2
92	и мир	5	2
93	одного из	2	2
94	к этому	2	2
95	можно сказать	2	2
96	с которым	2	2
97	его как	2	2
98	так что	2	2
99	не в	7	2
100	то в	2	2
101	одна из	2	2
102	того же	6	2
103	от других	2	2
104	до конца	12	2
105	из них	3	2
106	к тому	3	2
107	только на	2	2
108	по преимуществу	4	2
109	в ней	4	2
110	же и	2	2
111	в него	3	2
112	был бы	2	2
113	и тем	2	2
114	в духе	2	2
115	данном случае	3	2
116	так и	11	2
117	как к	2	2
118	именно в	3	2
119	одновременно и	2	2
120	еще более	5	2
121	и у	2	2
122	и наконец	4	2
123	или в	8	2
124	сказать что	2	2
125	в первом	3	2
126	могут быть	19	2
127	но он	2	2
128	в данном	3	2
129	в себе	3	2
130	т п	23	2
131	переходит в	3	2
132	так сказать	5	2
