N	2gram	Medvedev_U_1	StatiiOP
1	и в	14	25
2	в этом	7	24
3	в том	2	20
4	что он	2	19
5	может быть	6	19
6	тем что	2	19
7	том что	2	15
8	в этой	4	14
9	в его	2	12
10	то что	7	12
11	не только	10	12
12	прежде всего	8	10
13	таким образом	2	10
14	и не	8	10
15	но и	4	9
16	все это	5	8
17	это было	2	8
18	это не	3	7
19	было бы	3	7
20	не может	7	7
21	что такое	4	7
22	в то	3	7
23	в конце	2	6
24	не в	2	6
25	только в	2	6
26	в россии	4	6
27	в области	3	6
28	между тем	2	6
29	то же	5	5
30	с другой	4	5
31	а не	10	5
32	другой стороны	3	5
33	но в	3	5
34	этом отношении	2	4
35	по крайней	2	4
36	этом смысле	2	4
37	а как	2	4
38	крайней мере	2	4
39	у нас	3	4
40	как и	3	4
41	но это	2	4
42	должна была	2	4
43	если бы	2	4
44	в своей	3	4
45	и для	2	4
46	и с	2	4
47	все же	3	4
48	ничего не	2	4
49	что все	2	3
50	с его	2	3
51	все они	2	3
52	же время	3	3
53	всех этих	2	3
54	для него	3	3
55	конце концов	2	3
56	в некоторых	2	3
57	в их	4	3
58	как раз	2	3
59	в системе	2	3
60	что мы	2	3
61	для этого	3	2
62	и у	2	2
63	не столько	2	2
64	не как	3	2
65	но не	2	2
66	формы в	3	2
67	до сих	2	2
68	в самом	2	2
69	сих пор	2	2
70	и только	5	2
71	этой области	3	2
72	этого термина	2	2
73	самом деле	2	2
74	мы не	2	2
75	могут быть	2	2
76	к сожалению	3	2
