N	2gram	Voloshinov_1	Literetu
1	а не	5	20
2	и в	12	19
3	может быть	14	17
4	то же	5	12
5	и не	10	11
6	в том	6	10
7	как и	5	10
8	но и	3	10
9	не может	16	9
10	в этом	4	9
11	в то	2	9
12	с другой	4	8
13	не только	4	8
14	том что	5	7
15	то что	5	7
16	так и	4	7
17	с одной	2	7
18	слова и	6	7
19	не менее	3	6
20	в себе	3	6
21	одной стороны	2	6
22	при этом	6	6
23	и на	4	6
24	но не	2	5
25	он не	2	5
26	вместе с	2	5
27	того что	3	5
28	что в	2	4
29	прежде всего	8	4
30	не в	4	4
31	отнюдь не	5	4
32	но тем	2	4
33	для него	3	4
34	в ней	6	4
35	в его	2	4
36	жизни и	4	4
37	другой стороны	2	4
38	мы не	3	4
39	по отношению	11	4
40	точки зрения	14	4
41	едва ли	2	4
42	перестает быть	2	3
43	никогда не	5	3
44	в поэзии	3	3
45	в себя	2	3
46	в нем	6	3
47	но это	2	3
48	такой же	2	3
49	и др	5	3
50	отношению к	11	3
51	данном случае	2	3
52	и для	3	3
53	так как	9	3
54	с точки	2	3
55	как на	2	3
56	и его	13	3
57	и то	2	3
58	и с	3	3
59	в данном	2	3
60	как к	3	3
61	ничего не	2	3
62	уже в	2	2
63	ни было	4	2
64	себя и	2	2
65	в нашем	11	2
66	в них	3	2
67	в какой	2	2
68	с этой	2	2
69	в виду	5	2
70	в жизни	5	2
71	в такой	3	2
72	как уже	2	2
73	и к	4	2
74	для нас	7	2
75	тем не	3	2
76	художественного творчества	3	2
77	одно и	2	2
78	до конца	2	2
79	еще не	3	2
80	не так	2	2
81	как бы	13	2
82	что и	2	2
83	все же	4	2
84	не к	3	2
85	могут быть	2	2
86	это как	3	2
87	уже не	4	2
88	и что	2	2
89	что не	4	2
90	и наконец	3	2
91	хотя бы	5	2
92	а к	2	2
93	о том	3	2
94	в художественном	3	2
95	как это	2	2
96	с ним	3	2
97	но в	5	2
