N	2gram	Vinokur_St_3	Problema
1	то есть	2	46
2	в его	12	43
3	и не	10	42
4	и в	25	38
5	не может	7	27
6	может быть	19	26
7	как бы	6	22
8	и с	4	17
9	и его	3	16
10	в этом	24	15
11	и т	8	14
12	независимо от	5	13
13	прежде всего	10	13
14	только в	6	13
15	т п	6	13
16	но не	2	12
17	ни в	5	11
18	к материалу	2	11
19	во всех	2	11
20	и для	4	11
21	в области	6	11
22	к нему	4	10
23	отношение к	4	10
24	в их	3	10
25	таким образом	10	10
26	в поэзии	2	9
27	но и	9	9
28	не имеет	2	9
29	не только	12	9
30	место в	6	8
31	в том	20	8
32	и др	4	8
33	точки зрения	7	8
34	произведения как	2	8
35	было бы	7	8
36	то что	12	8
37	что в	19	7
38	с другой	5	7
39	не в	6	7
40	в самом	2	7
41	между тем	6	7
42	отметить что	5	7
43	как и	4	7
44	еще не	2	7
45	в своей	4	7
46	как мы	2	7
47	в плане	2	7
48	и наконец	3	6
49	а в	6	6
50	на основе	2	6
51	все же	4	6
52	самом деле	2	6
53	с точки	4	6
54	ничего не	4	6
55	то же	5	5
56	все они	3	5
57	это не	7	5
58	никогда не	2	5
59	все эти	3	5
60	в них	5	5
61	так и	5	5
62	не на	2	5
63	а не	5	5
64	тем как	2	5
65	могут быть	2	5
66	не менее	2	4
67	в ней	4	4
68	в виду	2	4
69	другой стороны	5	4
70	в форме	2	4
71	и только	2	4
72	сказать что	4	4
73	в то	7	4
74	о том	8	4
75	к которому	3	4
76	но в	5	4
77	но они	2	4
78	относится к	4	4
79	как в	6	4
80	что не	2	4
81	себя и	2	3
82	тем не	2	3
83	его как	3	3
84	но это	4	3
85	же время	3	3
86	кроме того	3	3
87	одной стороны	3	3
88	несмотря на	3	3
89	например в	4	3
90	не является	3	3
91	точка зрения	4	3
92	и тем	4	3
93	в целом	4	3
94	все это	8	3
95	с одной	2	3
96	и на	6	3
97	а как	4	3
98	если бы	4	3
99	этом смысле	4	3
100	и к	4	3
101	том что	15	3
102	говорить о	3	3
103	одной из	2	3
104	он не	5	3
105	на почве	5	3
106	нет и	2	3
107	связь с	4	3
108	и это	5	3
109	на этом	3	2
110	в этих	11	2
111	в какой	3	2
112	что все	3	2
113	в каждом	4	2
114	была бы	4	2
115	на то	5	2
116	или иной	2	2
117	от них	2	2
118	можно сказать	4	2
119	в свою	2	2
120	и пр	13	2
121	что это	16	2
122	и у	2	2
123	именно поэтому	2	2
124	в котором	5	2
125	здесь нет	2	2
126	он может	2	2
127	является как	2	2
128	отличается от	4	2
129	в связи	3	2
130	в особенности	4	2
131	не было	4	2
132	этом отношении	4	2
133	и других	2	2
134	этой области	2	2
135	лишь в	4	2
136	и что	3	2
137	произведения и	2	2
138	того что	5	2
139	его не	2	2
140	и здесь	3	2
141	в своих	8	2
142	но как	2	2
143	в начале	4	2
144	в россии	6	2
145	мы имеем	5	2
146	слово в	2	2
147	и которые	2	2
148	цели и	2	2
149	с его	3	2
150	и более	3	2
151	находит свое	3	2
152	и во	2	2
153	к этому	3	2
154	вовсе не	2	2
155	о которых	3	2
156	что он	19	2
157	у нас	4	2
158	связи с	3	2
159	одна из	2	2
160	в некоторых	3	2
161	должен быть	2	2
162	для того	2	2
163	из которых	4	2
164	или в	2	2
165	тем что	19	2
166	в виде	3	2
167	и ее	2	2
168	в другом	3	2
169	что эта	2	2
170	в чем	4	2
