N	2gram	Bakhtin_fo_1	Myshleni
1	в том	9	28
2	и в	50	28
3	то что	6	28
4	в этом	25	27
5	того что	2	24
6	потому что	4	22
7	не может	6	19
8	том что	4	19
9	таким образом	11	18
10	только в	4	18
11	что в	5	17
12	не только	9	16
13	так же	6	15
14	по сравнению	2	15
15	сравнению с	2	14
16	может быть	11	13
17	с помощью	2	13
18	сказать что	3	13
19	точки зрения	5	13
20	и не	14	11
21	как бы	2	11
22	что мы	2	11
23	в отношении	3	10
24	к тому	3	10
25	как мы	14	10
26	но и	8	10
27	по отношению	3	10
28	так как	6	10
29	но не	5	10
30	отношению к	5	10
31	того чтобы	5	10
32	с точки	2	10
33	между собой	4	9
34	было бы	2	9
35	в процессе	4	9
36	никогда не	2	8
37	в самом	8	8
38	еще не	5	8
39	для того	5	8
40	тем что	2	8
41	самого начала	2	7
42	того же	8	7
43	с самого	2	7
44	если бы	5	7
45	в нем	24	7
46	в сущности	3	7
47	в своем	4	7
48	и других	3	7
49	мы видим	3	7
50	отношение к	2	7
51	он не	5	7
52	вместе с	3	7
53	то же	11	7
54	между ними	3	7
55	там где	2	7
56	в которой	2	7
57	и к	2	6
58	же как	2	6
59	и как	10	6
60	для него	2	6
61	не имеет	4	6
62	в то	9	6
63	тогда когда	2	6
64	его в	3	6
65	как и	8	6
66	то время	4	6
67	так и	12	6
68	как раз	13	6
69	мы не	3	6
70	вообще не	3	6
71	в чем	2	6
72	не могут	3	5
73	это не	6	5
74	вопрос о	2	5
75	в пределах	5	5
76	на этой	4	5
77	на развитие	2	5
78	в разных	5	5
79	время как	5	5
80	и на	8	5
81	и все	6	5
82	но в	10	5
83	что все	2	5
84	с тем	3	5
85	том же	2	5
86	могут быть	5	5
87	именно в	3	4
88	в частности	6	4
89	в нашем	2	4
90	не в	5	4
91	мы и	4	4
92	например в	6	4
93	к жизни	2	4
94	с этим	6	4
95	они не	3	4
96	между этими	4	4
97	друг друга	3	4
98	на основе	2	4
99	и следовательно	4	4
100	к другому	2	4
101	он должен	2	4
102	ясно что	2	4
103	в качестве	3	4
104	одного и	5	4
105	к другу	2	4
106	оно не	2	4
107	что и	3	4
108	во всех	6	4
109	как по	2	4
110	и того	6	4
111	в той	4	4
112	той же	2	4
113	и то	4	4
114	связь между	2	4
115	в себе	3	4
116	есть в	2	3
117	до конца	4	3
118	при этом	3	3
119	хотя и	3	3
120	в целом	2	3
121	в их	6	3
122	этом отношении	3	3
123	те же	2	3
124	во втором	2	3
125	и по	2	3
126	в основе	5	3
127	от этого	2	3
128	с его	9	3
129	друг к	2	3
130	в них	4	3
131	на фоне	3	3
132	по себе	2	3
133	раз в	4	3
134	связи с	6	3
135	до сих	3	3
136	мы должны	2	3
137	один из	3	3
138	в его	13	3
139	только к	3	3
140	сих пор	3	3
141	как в	6	3
142	а не	3	3
143	и его	16	3
144	ту же	2	3
145	не знает	3	3
146	как оно	2	3
147	отношения к	3	3
148	но на	4	2
149	и другие	5	2
150	в этих	3	2
151	друг другу	2	2
152	точку зрения	2	2
153	с другой	2	2
154	само собой	2	2
155	в конце	9	2
156	была бы	2	2
157	прежде всего	15	2
158	а только	2	2
159	для нас	2	2
160	имеет место	3	2
161	и является	2	2
162	себе и	3	2
163	в котором	4	2
164	и др	9	2
165	если мы	2	2
166	все это	4	2
167	в связи	5	2
168	принадлежит к	2	2
169	все эти	9	2
170	можно только	2	2
171	в других	9	2
172	лежат в	2	2
173	в которых	2	2
174	но он	2	2
175	необходимо чтобы	2	2
176	бы совершенно	2	2
177	не являются	2	2
178	с ним	2	2
179	между двумя	6	2
180	у него	6	2
181	для всех	2	2
182	раз и	2	2
183	в одном	3	2
184	которыми он	2	2
185	по существу	12	2
186	более того	3	2
187	чем в	2	2
188	мы уже	11	2
189	по самому	2	2
190	в своей	2	2
191	не могло	5	2
192	все же	6	2
193	ее в	2	2
194	всем этим	3	2
195	только на	3	2
196	речи в	2	2
197	а в	3	2
198	в значительной	2	2
199	у них	2	2
200	с другими	3	2
201	нас в	3	2
202	в данном	2	2
203	и вообще	2	2
