N	2gram	Tiupa_Hudo_1	SlovoVZh
1	не может	7	16
2	точки зрения	10	14
3	может быть	14	14
4	и его	12	13
5	как бы	9	13
6	таким образом	3	12
7	и в	19	12
8	в нашем	2	11
9	отношению к	9	11
10	по отношению	9	11
11	и не	15	10
12	если бы	3	9
13	прежде всего	4	8
14	художественного произведения	3	7
15	сказать что	4	7
16	в нем	5	6
17	при этом	13	6
18	в том	18	6
19	только в	5	6
20	слова и	2	6
21	и др	2	5
22	в жизни	2	5
23	то что	4	5
24	никогда не	2	5
25	а не	9	5
26	можно сказать	5	5
27	то же	10	5
28	как и	2	5
29	том что	8	5
30	отнюдь не	2	5
31	как в	2	5
32	героя и	5	5
33	но в	7	5
34	в виду	5	5
35	и к	3	4
36	отношение к	5	4
37	так и	11	4
38	с другой	7	4
39	уже не	4	4
40	не в	7	4
41	в этом	11	4
42	и на	2	4
43	его в	2	4
44	в самом	5	4
45	к нему	3	4
46	за пределы	2	4
47	не только	16	4
48	в них	2	3
49	отношении к	2	3
50	и более	2	3
51	не менее	3	3
52	в художественном	4	3
53	в своей	5	3
54	быть и	2	3
55	все это	2	3
56	как к	2	3
57	и по	2	3
58	все эти	2	3
59	по себе	2	3
60	но и	10	3
61	того что	4	3
62	тем не	3	3
63	ни в	5	3
64	он должен	3	3
65	так же	2	3
66	о том	2	3
67	художественного творчества	4	3
68	в каком	2	3
69	и ее	3	3
70	в себе	9	3
71	для него	4	3
72	в пределах	3	3
73	еще не	3	3
74	и для	2	3
75	из этого	2	3
76	внутренней речи	14	3
77	здесь не	2	3
78	с ним	2	3
79	между тем	4	3
80	к герою	2	3
81	истории литературы	2	2
82	место в	4	2
83	автора и	3	2
84	частной жизни	2	2
85	с его	6	2
86	что и	2	2
87	в душе	8	2
88	делает его	2	2
89	что в	6	2
90	себя и	2	2
91	значения и	2	2
92	в этих	3	2
93	между собой	2	2
94	в форме	4	2
95	в своем	2	2
96	в отношении	3	2
97	в какой	2	2
98	другой стороны	5	2
99	это не	2	2
100	мы имеем	6	2
101	и другие	2	2
102	этих двух	2	2
103	с одной	2	2
104	была бы	3	2
105	в себя	2	2
106	и что	3	2
107	с точки	3	2
108	высказывания и	2	2
109	и притом	3	2
110	с другими	4	2
111	до известной	2	2
112	в данном	4	2
113	и то	4	2
114	в момент	2	2
115	но не	11	2
116	могут быть	4	2
117	имеем в	3	2
118	одно и	3	2
119	в формах	2	2
120	в то	6	2
121	одной стороны	2	2
122	имеет место	2	2
123	как уже	2	2
124	в чем	2	2
125	как это	5	2
126	к его	2	2
127	совпадает с	2	2
128	он не	4	2
129	известной степени	3	2
130	в его	9	2
131	и потому	2	2
132	между ними	4	2
