N	2gram	Tiupa_Disk_2	Hudozhes
1	и в	16	28
2	в рассказе	4	21
3	том что	10	19
4	и не	15	18
5	своего рода	10	16
6	в том	8	15
7	а не	14	14
8	не в	3	13
9	в этом	16	13
10	о том	4	12
11	перед нами	3	11
12	как и	16	11
13	при этом	17	11
14	в его	3	11
15	не только	10	11
16	уже не	3	10
17	но и	11	9
18	в себе	19	9
19	о чем	2	8
20	что он	2	8
21	может быть	16	8
22	себя в	6	8
23	так и	9	8
24	между тем	2	8
25	жизни в	3	7
26	и все	3	7
27	в мире	11	7
28	в частности	12	7
29	отношению к	4	7
30	по отношению	4	7
31	тогда как	11	7
32	состоит в	16	7
33	это не	3	6
34	можно сказать	3	6
35	в котором	3	6
36	то что	5	6
37	жизни и	3	6
38	в своей	6	6
39	человеческой жизни	2	6
40	то же	6	6
41	не было	3	6
42	сводится к	2	6
43	а в	2	6
44	и с	2	6
45	для себя	2	6
46	в то	5	6
47	я и	4	6
48	с его	6	5
49	не менее	7	5
50	в своем	5	5
51	как бы	4	5
52	как в	8	5
53	с ее	2	5
54	в этой	4	5
55	что в	5	5
56	никогда не	2	5
57	в тексте	3	5
58	и его	3	5
59	художественного целого	4	5
60	жизни как	2	5
61	одно из	4	5
62	для него	5	5
63	но не	7	4
64	в качестве	16	4
65	же время	5	4
66	он не	3	4
67	что и	2	4
68	рассказа в	2	4
69	не может	9	4
70	человека в	4	4
71	подобно тому	2	4
72	как будто	3	4
73	только в	3	4
74	в футляре	2	4
75	тому как	2	4
76	в них	3	3
77	столь же	3	3
78	с другой	5	3
79	в одном	4	3
80	но при	2	3
81	личности в	2	3
82	прежде всего	7	3
83	в нем	7	3
84	и ее	3	3
85	что на	2	3
86	в соответствии	2	3
87	всякий раз	2	3
88	еще не	6	3
89	одной стороны	4	3
90	со своим	2	3
91	по преимуществу	2	3
92	в ней	2	3
93	в этих	3	3
94	со стороны	10	3
95	все это	2	3
96	а с	5	3
97	с одной	4	3
98	и состоит	2	3
99	и на	5	3
100	соответствии с	3	3
101	пока еще	2	3
102	и это	2	3
103	в основе	4	2
104	жизни не	2	2
105	место в	2	2
106	себя с	2	2
107	[...] а	3	2
108	отнюдь не	6	2
109	именно в	2	2
110	не столько	3	2
111	из этих	3	2
112	как уже	2	2
113	или иного	2	2
114	или иной	3	2
115	не с	2	2
116	в строгом	3	2
117	о любви	2	2
118	же как	2	2
119	чеховского творчества	2	2
120	мысль о	3	2
121	в ряду	2	2
122	а также	8	2
123	не является	4	2
124	я с	2	2
125	все же	6	2
126	отношение к	2	2
127	из них	3	2
128	вместе с	2	2
129	являет собой	2	2
130	данном случае	6	2
131	что же	2	2
132	приводит к	3	2
133	как на	3	2
134	здесь не	2	2
135	чего не	3	2
136	в контексте	3	2
137	тем самым	6	2
138	не более	2	2
139	более чем	2	2
140	в принципе	2	2
141	и для	2	2
142	с точки	2	2
143	той же	2	2
144	роль в	4	2
145	в данном	7	2
146	и то	4	2
147	потому что	4	2
148	точки зрения	4	2
149	[...] в	3	2
150	чехова в	2	2
151	говорить о	2	2
152	в другом	3	2
153	его в	3	2
154	но в	11	2
