N	2gram	Tiupa_Narr_1	KulturaY
1	и в	11	23
2	точки зрения	5	23
3	в том	8	22
4	не только	31	17
5	в этом	12	16
6	в области	2	14
7	может быть	15	14
8	самом деле	3	14
9	что в	3	13
10	в самом	6	13
11	не менее	3	12
12	для того	3	12
13	потому что	5	12
14	том что	7	11
15	а не	13	11
16	того что	4	11
17	в его	6	11
18	того чтобы	4	11
19	у нас	3	10
20	и не	23	10
21	прежде всего	4	9
22	тем не	3	9
23	еще не	4	9
24	хотя бы	2	9
25	если бы	7	8
26	лишь в	3	8
27	зависимости от	2	8
28	до сих	2	8
29	сих пор	2	8
30	уже не	8	8
31	в нашем	3	7
32	с другой	2	7
33	или иной	4	7
34	в зависимости	2	7
35	в данном	11	7
36	сказать что	2	7
37	как это	3	7
38	по себе	4	6
39	что он	3	6
40	при этом	19	6
41	и тем	4	6
42	так и	5	6
43	не может	8	6
44	то же	8	6
45	связи с	2	6
46	только в	12	6
47	о том	4	6
48	ничего не	2	6
49	как и	13	5
50	не в	6	5
51	хотя и	4	5
52	как бы	6	5
53	все же	4	5
54	в связи	2	5
55	как мы	2	5
56	а в	13	5
57	также и	3	5
58	той или	5	5
59	из этих	4	5
60	в первом	4	5
61	в чем	2	5
62	слова в	4	4
63	один из	6	4
64	а также	6	4
65	в целом	3	4
66	столь же	5	4
67	в сущности	2	4
68	в своей	5	4
69	и о	3	4
70	точка зрения	5	4
71	то что	9	4
72	данном случае	8	4
73	как в	4	4
74	как раз	6	4
75	в своем	3	4
76	не было	3	4
77	о них	3	4
78	в той	2	4
79	тем самым	5	4
80	что не	2	4
81	в таком	2	4
82	в слове	3	4
83	между тем	3	4
84	это уже	3	3
85	отнюдь не	2	3
86	это не	3	3
87	именно в	3	3
88	к тому	6	3
89	что на	4	3
90	но как	3	3
91	то в	4	3
92	но не	4	3
93	но для	3	3
94	он не	3	3
95	речь идет	3	3
96	но и	27	3
97	по отношению	3	3
98	другой стороны	2	3
99	тому же	6	3
100	и вот	2	3
101	мы не	3	3
102	не по	4	3
103	в ней	4	3
104	не имеет	2	3
105	и с	3	3
106	нас в	2	3
107	могло бы	3	3
108	в результате	2	3
109	в то	4	3
110	я в	2	3
111	и только	2	3
112	она не	2	3
113	так сказать	2	2
114	в известном	2	2
115	о чем	4	2
116	в частности	14	2
117	первом случае	3	2
118	в одном	4	2
119	можно сказать	5	2
120	было как	4	2
121	к его	2	2
122	точек зрения	2	2
123	состоит в	10	2
124	известном смысле	2	2
125	и того	2	2
126	и как	3	2
127	по своему	2	2
128	когда в	3	2
129	или иным	2	2
130	в качестве	14	2
131	может служить	3	2
132	иначе говоря	8	2
133	никак не	2	2
134	не о	2	2
135	чем это	2	2
136	однако в	3	2
137	отношению к	3	2
138	в пределах	2	2
139	себя внимание	3	2
140	слово это	2	2
141	своего рода	10	2
142	вместе с	2	2
143	дело не	2	2
144	внимание на	4	2
145	так в	4	2
146	в отличие	2	2
147	в особенности	2	2
148	быть не	3	2
149	только что	2	2
150	для обозначения	2	2
151	и через	2	2
152	тем же	2	2
153	на себя	4	2
154	во всяком	2	2
155	еще раз	3	2
156	на протяжении	7	2
157	что мы	2	2
158	один и	2	2
159	тому как	3	2
160	в этих	2	2
161	здесь не	2	2
162	она может	2	2
163	отличие от	2	2
164	мы имеем	3	2
165	но в	7	2
