N	2gram	Losev_Vesc_1	TeoriaLi
1	не только	36	18
2	и не	29	16
3	я в	2	16
4	– в	5	14
5	а в	4	14
6	и в	21	13
7	может быть	16	12
8	так и	3	12
9	в этом	4	11
10	в том	8	11
11	но не	5	10
12	а не	19	10
13	и его	2	10
14	в его	2	9
15	то же	6	9
16	сводится к	2	8
17	что в	9	8
18	но и	18	8
19	себя в	10	7
20	в себе	14	7
21	том что	8	7
22	в данном	5	7
23	точки зрения	5	7
24	по своей	2	7
25	в то	3	7
26	только в	14	7
27	как это	2	7
28	еще не	8	6
29	в первой	2	6
30	как бы	12	6
31	но в	5	6
32	– с	2	5
33	в своем	6	5
34	в ее	7	5
35	как и	8	5
36	не в	5	5
37	между ними	3	5
38	в самом	9	5
39	в нем	2	5
40	данном случае	2	5
41	уже не	9	5
42	с другой	6	5
43	не случайно	2	5
44	мы имеем	7	5
45	не менее	3	4
46	в свою	4	4
47	можно сказать	6	4
48	не предполагает	4	4
49	и а	2	4
50	в своей	5	4
51	то что	27	4
52	по преимуществу	2	4
53	не может	17	4
54	в слове	2	4
55	сказать что	17	4
56	хотя и	4	4
57	но он	2	4
58	и ее	18	4
59	а и	9	4
60	говорить о	6	4
61	слова в	2	3
62	перед нами	2	3
63	никогда не	2	3
64	в отношении	4	3
65	прежде всего	9	3
66	а только	3	3
67	тем не	3	3
68	свою очередь	4	3
69	для него	4	3
70	того что	8	3
71	мог бы	5	3
72	и –	10	3
73	той или	2	3
74	и потому	5	3
75	с ее	6	3
76	– не	9	3
77	другой стороны	2	3
78	как раз	9	3
79	таким образом	8	3
80	а с	3	3
81	в другом	2	3
82	и вот	2	3
83	и что	15	3
84	или в	2	3
85	о ней	2	3
86	и то	10	3
87	потому что	16	3
88	в основе	3	3
89	на меня	3	3
90	в этой	3	3
91	его в	2	3
92	все эти	3	3
93	я не	4	2
94	сама по	3	2
95	но на	2	2
96	только не	2	2
97	если бы	5	2
98	была бы	2	2
99	к действительности	2	2
100	себя и	4	2
101	в конце	2	2
102	того же	5	2
103	это не	5	2
104	но –	2	2
105	этих двух	2	2
106	вовсе не	10	2
107	по себе	13	2
108	к тому	3	2
109	об этом	3	2
110	и того	2	2
111	и как	8	2
112	– и	2	2
113	что они	6	2
114	одной стороны	3	2
115	во втором	2	2
116	имеем дело	3	2
117	одно и	5	2
118	и больше	9	2
119	для такого	2	2
120	– уже	2	2
121	в виду	2	2
122	так или	4	2
123	и тем	3	2
124	не с	7	2
125	зрения и	2	2
126	во всех	2	2
127	дело не	2	2
128	но она	3	2
129	со стороны	5	2
130	как к	4	2
131	собственно говоря	4	2
132	и для	9	2
133	– как	7	2
134	с одной	3	2
135	это и	6	2
136	в имени	15	2
137	в себя	13	2
138	к одному	3	2
139	тех или	5	2
140	в той	3	2
141	и о	3	2
142	с точки	3	2
143	и даже	6	2
144	и притом	3	2
145	или иначе	4	2
146	их в	3	2
147	у него	2	2
148	самим собою	2	2
149	и здесь	4	2
150	могла бы	3	2
151	о том	6	2
152	и это	14	2
153	в чем	6	2
154	я и	6	2
155	для меня	2	2
