N	2gram	Bakhtin_Fr_4	Literetu
1	и не	16	22
2	и в	29	16
3	при этом	3	15
4	не только	10	14
5	но и	9	14
6	в этом	11	14
7	то что	4	12
8	может быть	2	12
9	в том	7	12
10	в частности	3	11
11	своего рода	6	10
12	то же	10	9
13	так и	11	9
14	того что	3	9
15	в то	10	9
16	в жизни	2	8
17	том что	3	8
18	не может	2	8
19	в этой	13	8
20	как бы	8	8
21	в своей	5	7
22	же время	8	7
23	себя в	2	7
24	со стороны	2	7
25	точки зрения	4	7
26	только в	2	7
27	с его	4	6
28	с другой	4	6
29	к тому	2	6
30	еще не	4	6
31	в его	8	6
32	и т.п	12	6
33	и его	8	6
34	в себе	3	6
35	о том	2	6
36	в качестве	3	5
37	это не	5	5
38	в году	3	5
39	что он	4	5
40	в ее	3	5
41	как и	12	5
42	соответствии с	2	5
43	как в	2	5
44	именно в	2	5
45	в основе	2	5
46	что я	2	5
47	то есть	21	5
48	место в	2	4
49	но не	2	4
50	никогда не	2	4
51	перед лицом	2	4
52	до конца	5	4
53	одной стороны	2	4
54	и для	2	4
55	хотя и	2	4
56	с жизнью	2	4
57	из них	6	4
58	жизни в	2	4
59	с одной	2	4
60	а также	2	4
61	как будто	2	4
62	том числе	3	3
63	только для	4	3
64	все время	3	3
65	прежде всего	8	3
66	а затем	3	3
67	в романе	10	3
68	и как	3	3
69	то в	3	3
70	о чем	2	3
71	и к	2	3
72	на его	2	3
73	в слове	2	3
74	с ее	3	3
75	жизни и	4	3
76	в словах	2	3
77	уже не	2	3
78	и наконец	2	3
79	с точки	2	3
80	как на	2	3
81	той же	3	3
82	тому как	3	3
83	не случайно	3	3
84	по своей	3	3
85	там где	3	3
86	но в	12	3
87	все они	5	2
88	и одновременно	4	2
89	быть может	2	2
90	что у	3	2
91	в конце	9	2
92	с образом	2	2
93	к этому	2	2
94	со своими	2	2
95	ни с	2	2
96	в нем	5	2
97	раз в	2	2
98	и при	2	2
99	связи с	2	2
100	числе и	2	2
101	того же	5	2
102	и сам	3	2
103	один из	4	2
104	все же	3	2
105	во второй	2	2
106	в ту	2	2
107	как мы	10	2
108	так же	7	2
109	как раз	2	2
110	им в	2	2
111	еще и	7	2
112	о природе	2	2
113	и вот	3	2
114	того чтобы	3	2
115	для того	3	2
116	другой стороны	3	2
117	и даже	3	2
118	на свете	2	2
119	с ними	3	2
120	в своих	2	2
121	и на	11	2
122	и с	9	2
123	тем что	4	2
124	подобно тому	3	2
125	далеко не	5	2
126	он и	5	2
127	еще раз	2	2
128	его в	9	2
129	здесь не	3	2
130	мира и	4	2
