N	2gram	Vygotskiy__2	OGranits
1	и в	32	13
2	и его	7	12
3	не может	17	8
4	и не	10	8
5	может быть	18	8
6	и их	3	7
7	точки зрения	17	7
8	в его	2	7
9	таким образом	21	6
10	не только	12	6
11	то что	21	6
12	только в	7	6
13	мы должны	3	6
14	как бы	6	6
15	художественного произведения	5	5
16	все же	4	5
17	с точки	10	5
18	хотя бы	3	5
19	в поэзии	3	5
20	эстетического объекта	2	5
21	в процессе	2	5
22	то же	13	4
23	в своей	3	4
24	все это	5	4
25	в каждом	2	4
26	мы не	3	4
27	мы можем	3	4
28	было бы	11	4
29	в сознании	4	4
30	но в	3	4
31	произведения как	2	4
32	что в	20	3
33	никогда не	9	3
34	но и	10	3
35	материала и	2	3
36	так и	3	3
37	понятно что	2	3
38	что же	3	3
39	в их	3	3
40	не как	3	3
41	при анализе	2	3
42	и все	4	3
43	в одном	2	3
44	здесь мы	2	3
45	самом деле	16	3
46	к одному	4	3
47	в ее	2	3
48	поэтического произведения	3	3
49	как и	10	3
50	не в	8	3
51	в которой	2	3
52	и то	3	3
53	в себе	2	3
54	в искусстве	21	3
55	с этим	4	3
56	и для	4	3
57	так как	12	3
58	и этот	2	2
59	не менее	8	2
60	не сумеем	5	2
61	с этой	4	2
62	и тем	4	2
63	в нем	4	2
64	в целом	4	2
65	данном случае	4	2
66	а не	7	2
67	художественное произведение	6	2
68	думать что	3	2
69	в отношении	3	2
70	в произведении	4	2
71	другой стороны	2	2
72	но так	2	2
73	с другой	3	2
74	она является	2	2
75	в языке	4	2
76	не на	2	2
77	в них	2	2
78	а в	4	2
79	в полном	2	2
80	все эти	7	2
81	вовсе не	2	2
82	те же	6	2
83	роль в	2	2
84	или иного	2	2
85	есть не	4	2
86	к тому	7	2
87	и к	3	2
88	как в	9	2
89	если бы	6	2
90	в общем	3	2
91	в чем	4	2
92	не имеет	4	2
93	в том	37	2
94	так же	18	2
95	только ее	3	2
96	том что	21	2
97	мы видим	4	2
98	в своих	9	2
99	в данном	4	2
100	что они	7	2
101	в этом	13	2
102	тем что	9	2
103	между тем	4	2
104	и следовательно	2	2
105	могут быть	4	2
106	при этом	13	2
107	и ее	3	2
108	форм и	2	2
109	в руках	2	2
110	во всем	3	2
111	тот же	6	2
112	в действительности	4	2
113	несмотря на	4	2
114	того или	3	2
115	мы получим	2	2
116	в самом	12	2
117	вслед за	5	2
118	и при	2	2
119	там где	2	2
120	в ней	5	2
121	явлений и	2	2
