N	2gram	Propp_Isto_5	Marksizm
1	может быть	17	28
2	и пр	3	25
3	и в	25	19
4	как бы	2	19
5	и не	11	19
6	не может	6	18
7	точки зрения	2	17
8	то же	4	16
9	и его	9	16
10	как мы	5	15
11	в этом	10	15
12	таким образом	9	14
13	не только	13	13
14	связи с	8	13
15	в нем	7	11
16	если бы	2	11
17	вовсе не	2	11
18	не в	6	10
19	в пределах	4	10
20	но и	13	10
21	том что	8	10
22	как и	7	9
23	самом деле	2	9
24	а не	2	9
25	по отношению	2	8
26	в то	3	8
27	отношению к	2	8
28	только в	7	8
29	никогда не	3	7
30	в связи	4	7
31	в том	6	7
32	его в	9	7
33	прежде всего	6	7
34	одна из	2	7
35	и для	2	7
36	и как	3	6
37	в свою	3	6
38	того чтобы	3	6
39	и все	3	6
40	мы уже	4	6
41	во всех	2	6
42	для того	3	6
43	мы можем	2	6
44	к нему	3	5
45	на этой	4	5
46	в форме	3	5
47	так же	5	5
48	и на	8	5
49	и здесь	7	5
50	к этому	2	5
51	того же	2	5
52	совершенно не	2	5
53	в его	12	5
54	все же	10	5
55	в данном	3	5
56	это не	6	4
57	на то	2	4
58	в формах	2	4
59	по мере	2	4
60	то что	7	4
61	и тем	4	4
62	мы видели	7	4
63	того что	2	4
64	сказать что	2	4
65	а как	2	4
66	что он	22	4
67	в основном	4	4
68	связь с	8	4
69	ничего не	2	4
70	перед нами	2	3
71	в этих	6	3
72	с другой	9	3
73	здесь мы	5	3
74	в этой	3	3
75	одной стороны	7	3
76	в ней	5	3
77	его и	2	3
78	а в	3	3
79	с этим	5	3
80	с одной	7	3
81	все эти	8	3
82	в истории	4	3
83	о том	7	3
84	так как	11	3
85	к которым	2	3
86	не как	4	3
87	по себе	2	3
88	в различных	2	3
89	в ее	4	3
90	в качестве	7	3
91	связано с	5	3
92	до сих	2	3
93	еще не	8	3
94	он не	4	3
95	что и	6	3
96	в своей	2	3
97	с другими	4	3
98	могут быть	6	3
99	и это	4	3
100	сих пор	2	3
101	уже в	2	2
102	что в	8	2
103	что это	5	2
104	формы и	2	2
105	вопрос о	2	2
106	оно уже	2	2
107	его к	3	2
108	мы знаем	8	2
109	мы здесь	4	2
110	о чем	2	2
111	переносится в	2	2
112	одним из	2	2
113	жизни и	2	2
114	в особенности	3	2
115	они не	3	2
116	друг друга	3	2
117	но для	2	2
118	в более	3	2
119	и с	3	2
120	к формам	2	2
121	к его	2	2
122	или как	2	2
123	фигурирует в	2	2
124	формы этого	3	2
125	от этого	4	2
126	у него	2	2
127	но не	5	2
128	мы увидим	5	2
129	и потому	2	2
130	должен быть	2	2
131	себя в	6	2
132	или же	3	2
133	выражения как	2	2
134	здесь как	2	2
135	и он	6	2
136	мы не	5	2
137	или в	6	2
138	тем что	10	2
139	в виде	9	2
140	это же	3	2
141	все его	2	2
142	перейдем к	2	2
143	там где	6	2
144	из него	2	2
145	это было	2	2
146	вместе с	22	2
