N	2gram	Tiupa_Disk_1	slovoVRo
1	и в	16	41
2	в нем	9	30
3	то есть	20	26
4	могут быть	4	19
5	во всех	5	17
6	но и	14	16
7	и не	11	16
8	точки зрения	3	16
9	не только	28	16
10	а не	22	15
11	то же	7	14
12	в пределах	2	14
13	может быть	17	14
14	и др	2	14
15	не может	9	14
16	и его	2	14
17	и на	5	14
18	в то	3	14
19	в сущности	2	13
20	в его	7	13
21	же время	4	12
22	как бы	5	12
23	языка и	2	12
24	в этом	15	12
25	так и	8	11
26	или иной	5	9
27	той или	3	9
28	таким образом	3	9
29	себя в	2	9
30	слова в	2	8
31	прежде всего	11	8
32	на его	4	8
33	точка зрения	2	8
34	в особенности	4	8
35	но в	8	8
36	как в	10	8
37	как мы	2	8
38	или в	2	8
39	не в	7	7
40	отношение к	4	7
41	зрения на	3	7
42	в своей	5	7
43	все же	3	7
44	во всяком	2	7
45	того же	3	6
46	это не	3	6
47	при этом	13	6
48	и даже	3	6
49	а в	5	6
50	в них	4	6
51	оно не	2	6
52	по своим	4	6
53	только в	7	6
54	с другой	10	5
55	в самом	3	5
56	в основе	7	5
57	как его	2	5
58	и к	4	5
59	далеко не	10	5
60	так сказать	2	5
61	перед нами	3	4
62	или меньшей	2	4
63	в каждом	2	4
64	большей или	2	4
65	одной стороны	9	4
66	одним из	2	4
67	известной степени	2	4
68	жанра в	4	4
69	один из	3	4
70	с ее	2	4
71	в их	5	4
72	за пределы	2	4
73	с одной	9	4
74	лишь в	4	4
75	и все	2	4
76	с его	4	4
77	не как	4	4
78	как и	16	4
79	здесь в	2	4
80	еще не	14	4
81	и потому	3	4
82	о нем	2	4
83	в процессе	5	4
84	другой стороны	3	4
85	никогда не	2	3
86	хотя бы	3	3
87	к тому	5	3
88	в том	23	3
89	более или	2	3
90	в свою	3	3
91	для него	4	3
92	из них	3	3
93	данном случае	2	3
94	в своем	6	3
95	именно в	3	3
96	того что	3	3
97	также и	3	3
98	не было	7	3
99	в истории	4	3
100	о том	8	3
101	в первом	3	3
102	влияния на	2	3
103	и во	2	3
104	с этим	3	3
105	не могло	2	3
106	в себе	7	3
107	в качестве	34	3
108	одной из	4	3
109	внутренней речи	2	3
110	или менее	2	3
111	в данном	5	3
112	более того	2	3
113	и ее	2	3
114	свою очередь	3	2
115	в частности	9	2
116	этого жанра	2	2
117	и одновременно	2	2
118	столь же	3	2
119	или даже	2	2
120	одного из	2	2
121	для понимания	2	2
122	можно сказать	5	2
123	его как	2	2
124	в построении	2	2
125	на этом	2	2
126	например в	2	2
127	такого рода	4	2
128	хотя и	2	2
129	и по	2	2
130	и тем	2	2
131	в целом	4	2
132	на том	2	2
133	как к	2	2
134	уже не	4	2
135	одновременно и	2	2
136	высказывания не	2	2
137	сказать что	3	2
138	потому что	4	2
139	и композиционно	2	2
140	того или	2	2
141	автор и	3	2
142	между тем	4	2
143	не является	4	2
144	к лирике	2	2
145	в котором	5	2
146	между собой	2	2
147	дело не	2	2
148	в одном	2	2
149	к этому	2	2
150	том что	19	2
151	не с	3	2
152	но не	11	2
153	по своему	3	2
154	чем он	2	2
155	не предполагает	4	2
156	эти жанры	2	2
157	и о	4	2
158	а также	8	2
159	слово не	2	2
160	в ее	3	2
161	а с	5	2
162	не есть	2	2
163	эпохи и	2	2
164	высказывания и	2	2
165	роль в	7	2
166	говорящего и	2	2
167	различия между	3	2
168	в другом	2	2
169	на протяжении	2	2
170	связи с	4	2
171	и вообще	2	2
172	автора в	2	2
173	диалогические отношения	2	2
