N	3gram	Losev_Prob_5	Myslijsy
1	по отношению к	2	8
2	в том что	8	7
3	по крайней мере	4	5
4	о том что	9	5
5	не может быть	2	5
6	можно сказать что	3	4
7	только тогда когда	3	4
8	тем не менее	5	4
9	до сих пор	2	4
10	и то что	3	4
11	для того чтобы	2	4
12	на то что	2	4
13	во всяком случае	2	3
14	с точки зрения	8	3
15	вместе с тем	3	3
16	в данном случае	2	2
17	не что иное	3	2
18	то и другое	2	2
19	равно как и	2	2
20	обратить внимание на	3	2
21	в таком случае	2	2
22	после того как	3	2
23	что иное как	3	2
