N	2gram	Bakhtin_KF_1	Analitik
1	не только	5	22
2	и в	24	18
3	как и	5	14
4	так и	2	14
5	в этом	14	14
6	но и	9	13
7	и его	17	13
8	том что	4	12
9	в качестве	2	12
10	и не	26	12
11	при этом	4	11
12	а в	4	10
13	как бы	9	10
14	может быть	45	9
15	со стороны	7	9
16	что в	4	9
17	а не	17	9
18	в том	6	9
19	но не	12	7
20	в его	40	7
21	отношению к	22	7
22	по отношению	26	7
23	не в	12	6
24	для него	8	6
25	еще не	4	6
26	в этой	2	6
27	он не	6	6
28	в их	8	6
29	о том	3	6
30	никогда не	5	5
31	прежде всего	2	5
32	в свою	3	5
33	или иной	2	5
34	что и	7	5
35	в мире	6	5
36	лишь в	8	5
37	уже не	7	5
38	между тем	4	5
39	мы имеем	5	5
40	не менее	3	4
41	отнюдь не	6	4
42	в своем	16	4
43	в одном	4	4
44	по себе	2	4
45	что он	2	4
46	и как	2	4
47	себя в	8	4
48	не есть	20	4
49	все же	5	4
50	тем самым	4	4
51	и на	3	4
52	однако что	2	4
53	в данном	2	4
54	в каждом	3	3
55	были бы	2	3
56	к этому	2	3
57	не должно	3	3
58	его как	5	3
59	в ее	16	3
60	и того	2	3
61	было бы	8	3
62	же время	2	3
63	к содержанию	2	3
64	той или	3	3
65	с ее	2	3
66	не будет	2	3
67	в целом	10	3
68	дело не	2	3
69	как в	2	3
70	все это	10	3
71	дело с	2	3
72	то же	5	3
73	не было	8	3
74	именно в	5	3
75	что не	3	3
76	поскольку он	2	3
77	мы не	3	3
78	ничего не	3	3
79	вступает в	3	3
80	точки зрения	12	3
81	он и	2	3
82	но как	5	3
83	говорить о	2	3
84	во всем	7	3
85	в то	3	3
86	жизнь и	2	3
87	его в	5	3
88	здесь не	3	3
89	едва ли	2	3
90	я и	2	3
91	бы и	3	2
92	могут быть	3	2
93	все эти	10	2
94	этих моментов	2	2
95	это не	10	2
96	не как	4	2
97	в жизни	2	2
98	в нем	28	2
99	и ее	2	2
100	приобщается к	2	2
101	не должен	3	2
102	тем не	2	2
103	в соответствии	2	2
104	с тем	2	2
105	мира и	4	2
106	по своему	3	2
107	это и	2	2
108	со всеми	2	2
109	совершенно не	6	2
110	в ней	3	2
111	от его	5	2
112	в контексте	5	2
113	и потому	2	2
114	один из	2	2
115	то что	7	2
116	во всех	11	2
117	в составе	2	2
118	не может	27	2
119	как к	2	2
120	входит в	3	2
121	в себя	7	2
122	сводится к	2	2
123	свою жизнь	2	2
124	самом деле	3	2
125	в принципе	2	2
126	с точки	9	2
127	и для	9	2
128	от своей	5	2
129	в момент	3	2
130	тем что	3	2
131	в себе	21	2
132	и здесь	7	2
133	могла бы	4	2
134	только в	16	2
135	и т.д	2	2
136	этого слова	2	2
137	но всегда	2	2
138	и все	7	2
139	дело в	2	2
140	там где	5	2
141	или иным	2	2
142	но в	5	2
143	а для	2	2
