N	2gram	Trubetskoy_1	VelikijI
1	во имя	3	32
2	и не	8	20
3	и в	23	16
4	то что	18	9
5	так как	7	9
6	еще не	5	8
7	в истории	3	8
8	что они	2	7
9	и потому	3	7
10	на земле	3	7
11	не есть	2	6
12	в мире	6	5
13	хотя и	4	5
14	как бы	10	5
15	но и	9	5
16	все это	11	5
17	того что	6	5
18	что все	5	4
19	что он	7	4
20	в нем	3	4
21	как и	9	4
22	все что	9	4
23	что мы	4	4
24	в котором	2	4
25	так и	10	4
26	потому что	9	4
27	в этом	12	4
28	в ней	3	4
29	говорить о	2	4
30	и все	7	4
31	в его	5	4
32	должна быть	5	3
33	что в	8	3
34	по этому	2	3
35	в этих	3	3
36	в них	2	3
37	в конце	4	3
38	в жизни	3	3
39	в том	30	3
40	не в	8	3
41	и будет	2	3
42	в вопросе	2	3
43	тот же	3	3
44	к тому	8	3
45	во всех	10	3
46	никогда не	4	3
47	что и	7	3
48	жизни и	2	3
49	как не	2	3
50	тому что	2	3
51	не было	2	3
52	лишь в	5	3
53	и что	8	3
54	хотя бы	4	3
55	и для	6	3
56	должно быть	4	3
57	их в	2	3
58	все эти	19	3
59	но в	4	3
60	что их	3	2
61	не могут	4	2
62	с тем	2	2
63	давно уже	2	2
64	на нас	3	2
65	это не	3	2
66	прежде всего	3	2
67	ее и	3	2
68	для нас	3	2
69	том что	19	2
70	а к	2	2
71	мы и	2	2
72	одна из	2	2
73	от него	3	2
74	но не	2	2
75	конечно не	3	2
76	для него	2	2
77	и сам	2	2
78	того чтобы	8	2
79	основанную на	2	2
80	не только	7	2
81	не будет	5	2
82	вопросе о	2	2
83	на том	2	2
84	а с	4	2
85	в себя	2	2
86	ценности и	2	2
87	не так	4	2
88	а в	3	2
89	с ним	6	2
90	от своей	2	2
91	и то	4	2
92	между тем	12	2
93	самого себя	4	2
94	только в	6	2
95	и это	3	2
96	во всяком	2	2
97	которые не	3	2
98	а между	8	2
