N	2gram	Berdyaev_M_2	Formalny
1	т е	4	34
2	и в	46	24
3	в его	5	23
4	прежде всего	12	22
5	и не	18	20
6	так и	4	18
7	не может	15	16
8	точки зрения	2	16
9	в этом	20	15
10	в нем	22	14
11	может быть	21	14
12	на почве	3	13
13	в своем	8	11
14	как и	13	11
15	должно быть	2	11
16	в своей	5	11
17	то же	5	10
18	в ней	11	10
19	а не	13	10
20	и его	5	10
21	и потому	7	9
22	в свою	4	8
23	то что	5	8
24	как в	7	8
25	лишь в	2	8
26	и на	3	8
27	не в	9	8
28	и с	3	8
29	место в	2	7
30	и от	3	7
31	до конца	4	7
32	не только	18	7
33	жизни и	6	7
34	но и	15	7
35	и все	5	6
36	и здесь	6	6
37	в том	3	6
38	в этой	7	6
39	до сих	3	6
40	она не	8	6
41	как бы	8	6
42	сих пор	3	6
43	а в	2	6
44	отношения к	2	6
45	хотя бы	7	5
46	должен быть	4	5
47	по себе	2	5
48	у нас	11	5
49	лишь как	3	5
50	во всех	2	5
51	в самом	5	5
52	того что	6	5
53	должны быть	4	5
54	но в	10	5
55	мы увидим	2	4
56	с его	4	4
57	никогда не	18	4
58	и к	7	4
59	в мире	7	4
60	для этого	4	4
61	если бы	3	4
62	оно не	2	4
63	отношению к	2	4
64	быть и	2	4
65	так же	6	4
66	по отношению	2	4
67	что в	4	4
68	только и	4	4
69	друг друга	12	4
70	в которой	2	4
71	в отношении	5	3
72	связи с	2	3
73	в них	3	3
74	в жизни	4	3
75	на все	3	3
76	что он	7	3
77	к тому	5	3
78	для него	18	3
79	это и	3	3
80	но это	8	3
81	в каждом	3	3
82	но для	2	3
83	не о	2	3
84	он не	10	3
85	если он	2	3
86	один из	5	3
87	отношение к	8	3
88	в россии	3	3
89	не было	11	3
90	и других	2	3
91	не для	3	3
92	его в	3	3
93	у них	4	3
94	жизнь и	4	3
95	в основе	2	3
96	они не	4	3
97	в себе	10	3
98	как к	2	3
99	человек не	7	3
100	думать что	4	3
101	бы в	2	3
102	жизни не	2	2
103	а лишь	2	2
104	и глубже	2	2
105	же как	3	2
106	в нашем	7	2
107	жизни в	3	2
108	его с	2	2
109	это не	5	2
110	она есть	2	2
111	что было	3	2
112	вопрос о	6	2
113	но эта	2	2
114	все время	2	2
115	ни в	3	2
116	нас не	2	2
117	уже не	4	2
118	только в	3	2
119	в действительности	2	2
120	не от	2	2
121	и если	2	2
122	от того	3	2
123	к ней	2	2
124	еще в	2	2
125	что и	4	2
126	не есть	13	2
127	вместе с	2	2
128	он в	3	2
129	к отрицанию	5	2
130	и вот	5	2
131	чтобы не	3	2
132	и что	2	2
133	менее всего	3	2
134	не так	3	2
135	ни одного	2	2
136	его не	2	2
137	и те	2	2
138	из этой	2	2
139	есть лишь	17	2
140	между тем	2	2
141	от этого	2	2
142	в своих	3	2
143	на его	2	2
144	как ее	2	2
145	к которому	3	2
146	они были	3	2
147	отношении к	3	2
148	ничего не	2	2
149	и это	5	2
150	во всем	5	2
151	с ним	3	2
152	и должно	3	2
