N	2gram	Losev_Prob_3	VLabPisa
1	таким образом	9	27
2	в этом	17	26
3	и в	44	25
4	и т	13	24
5	не только	14	22
6	может быть	28	21
7	хотя бы	3	20
8	и не	35	19
9	не может	7	17
10	в его	9	15
11	т д	13	15
12	в процессе	2	14
13	прежде всего	3	13
14	в том	21	13
15	в частности	2	12
16	все это	5	12
17	как это	2	12
18	с другой	7	11
19	из них	2	11
20	л толстой	2	11
21	в качестве	3	10
22	о том	6	10
23	в художественном	3	10
24	об этом	3	9
25	что в	8	9
26	для него	3	9
27	но и	10	9
28	то же	13	9
29	все эти	7	8
30	на основании	2	8
31	в своем	5	8
32	другой стороны	5	8
33	могут быть	2	8
34	произведения в	2	7
35	же в	3	7
36	как и	10	7
37	том что	12	7
38	было бы	8	7
39	во всех	2	7
40	вместе с	2	7
41	не было	5	7
42	произведения и	2	7
43	а не	18	7
44	в порядке	3	6
45	это не	9	6
46	художественного произведения	14	6
47	в себе	8	6
48	идеи и	3	6
49	это и	7	6
50	то что	23	6
51	в нем	9	6
52	так и	10	6
53	и его	5	6
54	в то	9	6
55	в результате	2	5
56	тому что	4	5
57	все же	6	5
58	и при	2	5
59	связи с	8	5
60	и есть	5	5
61	образы и	3	5
62	в искусстве	4	5
63	как бы	9	5
64	в их	2	5
65	сказать что	16	5
66	только в	19	5
67	не в	13	5
68	не является	11	5
69	к тому	3	4
70	для его	3	4
71	никогда не	6	4
72	перед нами	8	4
73	в целом	6	4
74	что все	2	4
75	что он	9	4
76	можно сказать	6	4
77	художественном произведении	3	4
78	художественный образ	9	4
79	в ее	4	4
80	в своей	5	4
81	в нашей	2	4
82	в самом	3	4
83	когда он	2	4
84	образов и	3	4
85	художественное произведение	8	4
86	как раз	8	4
87	в связи	7	4
88	чем же	4	4
89	в этой	3	4
90	и к	6	3
91	всех этих	2	3
92	и ее	3	3
93	с тем	5	3
94	и как	3	3
95	даже и	16	3
96	и от	9	3
97	в конце	5	3
98	только что	2	3
99	у нас	10	3
100	по существу	2	3
101	мы видели	2	3
102	что они	5	3
103	но как	4	3
104	как о	5	3
105	или в	4	3
106	по поводу	2	3
107	с этим	2	3
108	со своим	2	3
109	у тургенева	2	3
110	в виду	10	3
111	в котором	2	3
112	его в	3	3
113	что и	9	3
114	жизни и	6	3
115	именно в	2	3
116	этот вопрос	3	3
117	имеет свою	3	3
118	того что	8	3
119	и по	2	3
120	так же	5	3
121	его не	2	3
122	в слове	2	3
123	в которых	3	3
124	никак не	9	3
125	как на	2	3
126	точки зрения	5	3
127	значит и	3	3
128	она не	3	3
129	является не	2	3
130	бы в	2	3
131	том как	2	3
132	не менее	10	2
133	в стихотворении	2	2
134	он сам	4	2
135	вот это	2	2
136	например как	2	2
137	можно ли	4	2
138	из себя	3	2
139	но даже	4	2
140	образа в	2	2
141	отличается от	4	2
142	формы и	3	2
143	по крайней	5	2
144	у пушкина	6	2
145	своих героев	2	2
146	с нею	2	2
147	вовсе не	37	2
148	а как	2	2
149	по себе	25	2
150	только о	3	2
151	или иной	8	2
152	что при	2	2
153	о его	2	2
154	крайней мере	5	2
155	до сих	2	2
156	и потому	7	2
157	но не	3	2
158	смысле слова	8	2
159	еще не	5	2
160	и может	2	2
161	же самое	9	2
162	он и	2	2
163	то это	10	2
164	если бы	3	2
165	мы имеем	2	2
166	ни с	4	2
167	понимать как	3	2
168	в ней	5	2
169	конце концов	3	2
170	и даже	14	2
171	всяком случае	6	2
172	отнюдь не	10	2
173	что для	3	2
174	при помощи	8	2
175	только то	2	2
176	сих пор	2	2
177	все они	2	2
178	от того	2	2
179	между прочим	2	2
180	даже не	2	2
181	во всей	3	2
182	а в	5	2
183	много и	2	2
184	еще и	7	2
185	с одной	2	2
186	что оно	2	2
187	но с	2	2
188	этой точки	2	2
189	заключается в	4	2
190	из которых	2	2
191	что такое	3	2
192	и для	2	2
193	у них	2	2
194	чего бы	2	2
195	художественной структуры	2	2
196	можно было	4	2
197	с другими	3	2
198	между собою	2	2
199	не столько	2	2
200	также и	16	2
201	пока еще	2	2
202	во всяком	9	2
203	хотя и	5	2
204	он в	2	2
205	он не	8	2
206	говорить о	3	2
207	в другом	2	2
208	самого себя	3	2
209	что даже	4	2
210	что мы	8	2
211	того или	6	2
212	от его	2	2
213	будто бы	3	2
214	в чем	4	2
215	в которой	2	2
216	же как	3	2
217	могло бы	3	2
218	например не	2	2
219	о чем	2	2
220	но в	12	2
221	значит что	7	2
