N	2gram	Medvedev_V_1	Freidism
1	таким образом	31	24
2	и не	19	23
3	не может	17	20
4	точки зрения	3	19
5	прежде всего	13	18
6	в этом	26	15
7	в его	14	15
8	может быть	22	13
9	и его	6	12
10	как и	7	11
11	как бы	5	11
12	то что	6	11
13	все эти	6	11
14	и потому	2	10
15	так и	5	10
16	его в	3	10
17	но в	2	10
18	с его	3	9
19	и в	26	9
20	во всех	6	9
21	по отношению	7	9
22	что он	4	8
23	отношению к	7	8
24	еще не	2	8
25	в своей	4	8
26	он не	2	8
27	не только	25	8
28	все это	10	8
29	то же	10	8
30	только в	7	8
31	мы знаем	3	7
32	один из	5	7
33	мы видели	3	7
34	в самом	4	7
35	и наконец	2	7
36	сказать что	5	7
37	никогда не	4	6
38	вовсе не	3	6
39	и ее	4	6
40	для него	8	6
41	того что	3	6
42	в ней	2	6
43	так сказать	2	6
44	хотя бы	19	6
45	и к	3	5
46	он сам	2	5
47	знаем что	2	5
48	можно сказать	4	5
49	не в	6	5
50	в этой	4	5
51	в чем	2	5
52	в то	6	5
53	что такое	2	5
54	что в	10	5
55	но и	10	5
56	для того	3	5
57	а в	3	5
58	могут быть	5	5
59	с этим	3	5
60	не менее	2	4
61	но не	2	4
62	в котором	3	4
63	и др	9	4
64	из этих	7	4
65	в пределах	5	4
66	в жизни	2	4
67	и образы	3	4
68	с другими	2	4
69	к тому	4	4
70	об этом	9	4
71	сводится к	3	4
72	всех этих	2	4
73	же время	5	4
74	в последнем	2	4
75	смысле слова	2	4
76	от того	2	4
77	как раз	3	4
78	в зависимости	6	4
79	в нем	6	4
80	все же	5	4
81	на основании	8	4
82	это только	4	4
83	не было	7	4
84	между ними	3	4
85	того чтобы	3	4
86	и для	2	4
87	в которой	2	4
88	с ними	4	4
89	этот вопрос	3	4
90	во время	3	4
91	говорить о	2	4
92	зависимости от	5	4
93	не могут	7	3
94	главным образом	7	3
95	если бы	3	3
96	и есть	5	3
97	конечном счете	5	3
98	тому что	6	3
99	в них	4	3
100	и от	3	3
101	что все	3	3
102	в конечном	7	3
103	в себе	6	3
104	и как	3	3
105	по поводу	2	3
106	она не	3	3
107	и может	2	3
108	было бы	7	3
109	в общем	2	3
110	и бессознательное	2	3
111	ее в	4	3
112	только то	2	3
113	жизни и	3	3
114	когда он	3	3
115	вместе с	7	3
116	этот процесс	2	3
117	приводит к	5	3
118	этой области	3	3
119	и по	3	3
120	мы имеем	3	3
121	у него	6	3
122	в искусстве	6	3
123	одна из	4	3
124	не является	5	3
125	человека и	3	3
126	в сознании	4	3
127	в самых	2	2
128	зависит от	2	2
129	человека в	2	2
130	видели что	3	2
131	только не	2	2
132	с другой	11	2
133	это не	7	2
134	формы и	2	2
135	в конце	3	2
136	к этому	9	2
137	сновидения и	2	2
138	же самое	2	2
139	только о	2	2
140	в ее	4	2
141	в основном	5	2
142	это и	6	2
143	том что	8	2
144	них не	4	2
145	самого себя	2	2
146	а не	7	2
147	в нашей	4	2
148	одной стороны	2	2
149	из них	9	2
150	во сне	21	2
151	образы и	5	2
152	сил и	3	2
153	что мы	2	2
154	но для	2	2
155	в процессе	16	2
156	конце концов	2	2
157	относится к	2	2
158	в своем	8	2
159	себе и	2	2
160	все они	2	2
161	что она	2	2
162	в их	5	2
163	во всей	2	2
164	отличается от	2	2
165	всех других	3	2
166	этом отношении	13	2
167	с одной	2	2
168	что оно	3	2
169	чтобы не	2	2
170	не приходится	2	2
171	должны быть	2	2
172	и у	2	2
173	в науке	2	2
174	и даже	2	2
175	к этим	2	2
176	так же	3	2
177	как на	3	2
178	роль в	4	2
179	на основе	5	2
180	их в	6	2
181	чем же	4	2
182	они не	2	2
183	в своих	2	2
184	что и	3	2
185	и при	5	2
186	к его	2	2
187	но как	3	2
188	в другом	2	2
189	рассказывает что	2	2
190	при помощи	3	2
191	представлений и	2	2
192	только с	2	2
193	как это	12	2
194	в области	2	2
195	в виду	4	2
