N	2gram	Savitsky_E_1	Narrotol
1	не только	18	32
2	может быть	6	25
3	но и	14	23
4	в качестве	14	21
5	и не	14	20
6	и в	37	19
7	то есть	6	19
8	в том	11	18
9	в этом	12	17
10	в частности	5	14
11	том что	6	14
12	не в	5	14
13	а не	2	12
14	представляет собой	3	12
15	то что	6	11
16	а в	2	11
17	не может	9	10
18	точки зрения	23	10
19	со стороны	5	9
20	так и	10	9
21	в его	2	9
22	в мире	2	9
23	с другой	7	8
24	не является	3	8
25	в себе	9	8
26	в случае	2	7
27	как и	7	7
28	к тому	8	7
29	а также	7	7
30	как в	3	7
31	с одной	8	7
32	одной стороны	8	7
33	то в	4	6
34	но не	5	6
35	точка зрения	2	6
36	именно в	4	6
37	в той	5	6
38	тем самым	5	6
39	как это	4	6
40	иначе говоря	2	6
41	о том	3	6
42	но в	14	6
43	и как	2	5
44	отнюдь не	9	5
45	по себе	4	5
46	или иной	4	5
47	можно сказать	4	5
48	к нему	2	5
49	в данном	3	5
50	в этой	2	5
51	далеко не	2	5
52	мира в	4	5
53	во втором	2	4
54	прежде всего	9	4
55	то же	15	4
56	же в	2	4
57	в силу	2	4
58	же время	14	4
59	было бы	8	4
60	вслед за	6	4
61	имеет место	2	4
62	одной из	5	4
63	той или	4	4
64	как бы	6	4
65	и тем	3	4
66	хотя бы	15	4
67	данном случае	2	4
68	другой стороны	2	4
69	сказать что	4	4
70	только в	9	4
71	и с	2	4
72	жизни в	3	3
73	ни было	4	3
74	же как	5	3
75	что в	21	3
76	могут быть	2	3
77	никогда не	3	3
78	в прошлом	3	3
79	в свою	3	3
80	свою очередь	2	3
81	как было	3	3
82	хотя и	2	3
83	в ней	4	3
84	он не	2	3
85	и даже	6	3
86	мог бы	2	3
87	если в	2	3
88	не есть	2	3
89	не будет	3	3
90	бы то	4	3
91	из них	3	3
92	жизни и	2	3
93	когда он	3	3
94	в ее	8	3
95	а именно	2	3
96	то ни	4	3
97	этом отношении	3	3
98	как мы	5	3
99	столь же	5	3
100	и на	6	3
101	между тем	8	3
102	тем что	3	3
103	на себя	3	3
104	по своей	2	3
105	в то	16	3
106	как будто	2	3
107	что это	2	3
108	в известном	3	2
109	он сам	2	2
110	независимо от	4	2
111	должна быть	2	2
112	ни столь	2	2
113	между собой	2	2
114	в своем	14	2
115	себе не	3	2
116	в какой	2	2
117	совершенно очевидно	2	2
118	или иного	4	2
119	идет о	3	2
120	утверждать что	2	2
121	и сейчас	2	2
122	что на	2	2
123	известном смысле	3	2
124	говорит о	3	2
125	или иную	3	2
126	ту или	3	2
127	есть в	2	2
128	между ними	2	2
129	в значительной	2	2
130	в пределах	25	2
131	она не	2	2
132	несмотря на	4	2
133	наряду с	2	2
134	в будущем	3	2
135	и потому	5	2
136	даже в	4	2
137	не имеет	4	2
138	в культуре	3	2
139	во второй	3	2
140	время в	3	2
141	в последние	6	2
142	во всей	2	2
143	так же	9	2
144	не на	4	2
145	и только	3	2
146	этой точки	5	2
147	того или	4	2
148	и для	3	2
149	с точки	17	2
150	следует отметить	2	2
151	в таком	3	2
152	или в	2	2
153	можно было	3	2
154	в результате	3	2
155	тем более	4	2
156	но как	2	2
157	и все	2	2
158	всего лишь	3	2
159	мира и	3	2
