N	2gram	Vygotskiy__3	Komedia
1	и в	25	22
2	и не	10	21
3	том что	20	13
4	в том	23	12
5	таким образом	17	12
6	так как	12	11
7	ни в	9	10
8	потому что	6	10
9	в самом	3	9
10	вместе с	14	9
11	если бы	5	8
12	в своем	4	8
13	что он	6	8
14	в его	15	8
15	что и	10	8
16	в этом	14	8
17	о том	5	8
18	его в	3	8
19	об этом	2	7
20	при этом	5	7
21	в свою	3	7
22	то же	2	7
23	только что	2	7
24	едва ли	2	7
25	а в	4	7
26	к этому	3	6
27	ясно что	2	6
28	свою очередь	2	6
29	того же	6	6
30	еще не	4	6
31	для того	7	6
32	к тому	4	6
33	может быть	13	6
34	и что	10	6
35	того чтобы	8	6
36	так что	2	6
37	и его	2	6
38	в то	4	6
39	не менее	6	5
40	связи с	9	5
41	что в	17	5
42	прежде всего	4	5
43	а по	2	5
44	как это	7	5
45	и сам	3	5
46	хотя и	2	5
47	не только	6	5
48	в своей	2	5
49	из них	4	5
50	все это	6	5
51	по отношению	3	5
52	он не	4	5
53	тем что	8	5
54	в которых	3	5
55	с ним	4	5
56	с самого	6	4
57	самого начала	6	4
58	с тем	16	4
59	но все	2	4
60	отнюдь не	4	4
61	однако в	2	4
62	между собой	13	4
63	с другой	6	4
64	и здесь	2	4
65	все же	6	4
66	не в	6	4
67	совпадают с	4	4
68	с ребенком	2	4
69	то что	15	4
70	когда он	3	4
71	но и	4	4
72	что она	5	4
73	и речи	20	4
74	в отношении	6	4
75	с помощью	42	4
76	и для	2	4
77	друг друга	4	4
78	так же	17	4
79	точки зрения	6	4
80	на себя	2	4
81	в себе	2	4
82	в связи	6	4
83	бы в	2	4
84	так и	5	4
85	не является	8	4
86	с его	2	3
87	от нее	4	3
88	в частности	4	3
89	никогда не	4	3
90	в них	2	3
91	в какой	4	3
92	с этой	3	3
93	с этим	4	3
94	одного из	2	3
95	в нем	2	3
96	на то	4	3
97	и к	5	3
98	тем не	5	3
99	как и	15	3
100	в начале	2	3
101	в этой	5	3
102	на которые	2	3
103	по своему	11	3
104	который в	3	3
105	все что	2	3
106	одной стороны	5	3
107	было бы	10	3
108	на этот	2	3
109	как бы	10	3
110	один из	6	3
111	отношению к	2	3
112	в целом	13	3
113	приводит к	4	3
114	дело с	3	3
115	не может	6	3
116	с одной	5	3
117	в течение	2	3
118	из того	2	3
119	это обстоятельство	3	3
120	столь же	7	3
121	тем же	4	3
122	их в	3	3
123	мы можем	7	3
124	во всяком	4	3
125	представляет собой	6	3
126	перед ним	3	3
127	как он	3	3
128	всяком случае	4	3
129	в основе	16	2
130	уже в	7	2
131	все время	2	2
132	ни было	2	2
133	состоит в	3	2
134	в качестве	12	2
135	сравнению с	3	2
136	не как	3	2
137	как в	9	2
138	не будет	2	2
139	и особенно	2	2
140	для обозначения	2	2
141	и все	4	2
142	в одном	2	2
143	человека и	5	2
144	не могут	4	2
145	нет никаких	4	2
146	а как	2	2
147	если мы	3	2
148	мы знаем	4	2
149	отличие от	6	2
150	в силу	6	2
151	что они	10	2
152	то время	4	2
153	что с	4	2
154	тот же	2	2
155	не мог	4	2
156	на его	2	2
157	с уже	2	2
158	одним из	5	2
159	от того	4	2
160	а также	2	2
161	между ними	3	2
162	в котором	3	2
163	в развитии	24	2
164	по сравнению	4	2
165	наряду с	3	2
166	на основании	11	2
167	как мы	8	2
168	другой стороны	3	2
169	все еще	2	2
170	то обстоятельство	3	2
171	этом отношении	3	2
172	время как	4	2
173	мы не	9	2
174	в мире	2	2
175	из которых	5	2
176	все остальные	2	2
177	с другими	2	2
178	в таком	2	2
179	можно было	6	2
180	или иначе	2	2
181	в своих	2	2
182	и на	6	2
183	в результате	3	2
184	тому что	2	2
185	между тем	3	2
186	и во	2	2
187	обстоятельство что	3	2
188	что мы	7	2
189	и это	4	2
190	в области	7	2
