N	2gram	Medvedev_U_1	RusskieA
1	и в	14	36
2	не только	10	22
3	том что	2	19
4	в том	2	17
5	но и	4	16
6	в этом	7	12
7	это не	3	10
8	как и	3	10
9	у нас	3	8
10	может быть	6	8
11	что и	2	7
12	между тем	2	7
13	и не	8	6
14	таким образом	2	6
15	мы не	2	6
16	все это	5	6
17	то что	7	6
18	все же	3	5
19	и у	2	5
20	по существу	2	4
21	в некоторых	2	4
22	в их	4	4
23	в россии	4	4
24	не может	7	4
25	но это	2	4
26	тем что	2	4
27	только в	2	4
28	о чем	2	3
29	на каждом	2	3
30	то же	5	3
31	ничего не	2	3
32	их и	2	3
33	в области	3	3
34	всех этих	2	2
35	в частности	3	2
36	могут быть	2	2
37	но даже	2	2
38	его и	2	2
39	но не	2	2
40	в его	2	2
41	и с	2	2
42	что она	2	2
43	для этого	3	2
44	а не	10	2
45	и для	2	2
46	не случайно	2	2
47	должна была	2	2
48	но в	3	2
49	же не	2	2
