N	2gram	Tiupa_Narr_1	Otkroven
1	у него	4	22
2	и в	19	19
3	но и	23	13
4	и не	20	13
5	в этом	17	12
6	а не	12	11
7	не в	14	11
8	человека в	2	11
9	может быть	25	11
10	не только	32	11
11	и все	2	10
12	в нем	4	10
13	никогда не	3	9
14	не было	2	9
15	прежде всего	4	9
16	и он	3	8
17	он не	3	7
18	в его	9	7
19	как и	7	6
20	то что	11	5
21	а в	11	5
22	отношение к	2	5
23	в том	18	5
24	для него	2	5
25	в этой	5	5
26	с его	6	4
27	он сам	2	4
28	в самую	2	4
29	что не	4	4
30	и его	5	4
31	все эти	2	4
32	не может	10	4
33	что в	3	4
34	к нему	5	3
35	это не	2	3
36	что он	6	3
37	различие между	2	3
38	хотя бы	4	3
39	быть может	2	3
40	еще не	7	3
41	могут быть	3	3
42	и ее	2	3
43	в себе	8	3
44	было бы	4	3
45	когда он	3	3
46	о том	6	3
47	как бы	4	3
48	уже в	3	2
49	все же	7	2
50	не есть	3	2
51	и для	2	2
52	с чем	2	2
53	так и	9	2
54	жизни в	3	2
55	в своем	2	2
56	что у	2	2
57	как к	2	2
58	не все	5	2
59	по себе	5	2
60	не имеет	2	2
61	в ее	3	2
62	том что	14	2
63	и на	3	2
64	что они	3	2
65	сказать что	4	2
66	и с	4	2
67	тем что	3	2
68	одно из	2	2
69	его в	2	2
70	ничего не	2	2
71	хотя и	3	2
72	но в	6	2
73	и потому	2	2
