N	2gram	Propp_Isto_3	VeschiIm
1	т е	16	42
2	не может	4	33
3	не только	14	31
4	может быть	11	29
5	и не	12	28
6	и в	22	26
7	то что	7	24
8	и есть	2	23
9	и т	16	21
10	т д	15	20
11	а не	6	20
12	есть только	2	17
13	что она	5	14
14	только в	4	14
15	и что	2	13
16	того что	5	13
17	было бы	3	12
18	но и	12	12
19	сказать что	3	12
20	все же	5	12
21	и то	2	12
22	и ее	3	12
23	таким образом	10	11
24	то же	6	10
25	уже не	7	10
26	в ней	2	10
27	потому что	3	10
28	в том	9	9
29	и с	4	9
30	прежде всего	3	9
31	что не	2	9
32	иное как	3	8
33	но это	3	8
34	что иное	3	8
35	не что	3	8
36	и это	2	8
37	ничего не	6	8
38	совершенно не	2	7
39	в свете	5	7
40	в то	2	7
41	его в	3	7
42	так как	7	7
43	том что	8	7
44	есть и	5	7
45	и пр	11	7
46	в этом	17	7
47	ли это	2	7
48	так что	5	6
49	и как	3	6
50	что они	8	6
51	что в	15	6
52	жизни и	2	6
53	со стороны	3	6
54	точки зрения	2	6
55	то не	2	6
56	но в	10	6
57	есть ли	2	6
58	она не	4	6
59	относится к	2	6
60	а если	3	6
61	не менее	5	5
62	это не	6	5
63	тем не	5	5
64	не в	4	5
65	еще не	10	5
66	а в	6	5
67	или не	2	5
68	с тем	2	5
69	если бы	6	5
70	в свою	4	5
71	у нас	4	5
72	одна из	2	5
73	но не	7	5
74	и для	2	5
75	на себя	2	5
76	в чем	3	5
77	как только	2	4
78	я не	3	4
79	можно ли	3	4
80	в своем	2	4
81	с другой	7	4
82	независимо от	2	4
83	из них	7	4
84	то и	6	4
85	и даже	2	4
86	с этим	8	4
87	о том	3	4
88	и более	2	4
89	и все	3	4
90	то это	2	4
91	как и	3	4
92	и о	2	4
93	его на	2	4
94	и потому	2	4
95	что и	9	4
96	быть и	3	4
97	даже не	2	4
98	этот вопрос	2	4
99	в данном	4	4
100	тем что	4	4
101	же не	2	4
102	никогда не	3	3
103	вопрос о	2	3
104	можно сказать	2	3
105	к тому	3	3
106	на этом	4	3
107	в нем	9	3
108	отношение к	4	3
109	можно только	3	3
110	о ней	2	3
111	их в	3	3
112	мы имеем	19	3
113	на это	2	3
114	в одном	2	3
115	в жизни	2	3
116	один из	5	3
117	что он	9	3
118	мы видим	8	3
119	если я	3	3
120	между прочим	3	3
121	к ней	4	3
122	вместе с	9	3
123	так и	2	3
124	да и	2	3
125	только на	2	3
126	из того	2	3
127	если это	3	3
128	часто бывает	2	2
129	в частности	5	2
130	его и	4	2
131	на все	2	2
132	на столе	2	2
133	что на	4	2
134	ни в	2	2
135	но все	2	2
136	мы уже	6	2
137	у меня	5	2
138	и уже	2	2
139	но она	2	2
140	образом и	2	2
141	данном случае	3	2
142	и вот	2	2
143	не мог	2	2
144	так же	3	2
145	как это	4	2
146	однако это	3	2
147	мы можем	6	2
148	но они	2	2
149	именно так	2	2
150	превращается в	3	2
151	если он	2	2
152	с собой	2	2
153	не с	2	2
154	и эти	3	2
155	а затем	3	2
156	а я	2	2
157	в силу	2	2
158	в качестве	2	2
159	себе и	2	2
160	для нее	2	2
161	он не	5	2
162	как в	2	2
163	находится в	4	2
164	если не	2	2
165	еще более	2	2
166	все равно	3	2
167	и они	4	2
168	как мы	8	2
169	и его	4	2
170	той же	2	2
171	во всяком	2	2
172	ту же	2	2
173	в особенности	2	2
174	не все	6	2
