N	2gram	Bakhtin_Pr_1	VrazhdaK
1	у тургенева	2	11
2	достоевского с	3	9
3	не только	15	9
4	достоевский в	6	8
5	в этом	22	8
6	и что	2	8
7	и в	29	8
8	достоевского в	12	7
9	но и	14	7
10	что в	8	7
11	достоевского и	7	7
12	то что	15	7
13	в котором	2	6
14	в нем	19	6
15	все же	9	6
16	и даже	2	6
17	в романе	9	6
18	как и	12	6
19	но в	7	6
20	и с	4	6
21	о нем	9	6
22	то же	14	5
23	не было	4	5
24	и не	31	5
25	у него	5	5
26	между тем	5	5
27	в то	10	5
28	же время	9	5
29	в россии	2	5
30	уже в	3	4
31	у достоевского	16	4
32	как бы	19	4
33	все это	6	4
34	это не	9	4
35	достоевского не	12	4
36	что он	8	4
37	так же	6	4
38	с ним	5	4
39	в своих	3	4
40	может быть	24	4
41	при этом	2	4
42	в истории	2	4
43	несмотря на	6	4
44	в ней	2	4
45	я не	3	3
46	и уже	2	3
47	с его	9	3
48	связи с	2	3
49	в своем	8	3
50	и во	2	3
51	о себе	12	3
52	в конце	6	3
53	т е	21	3
54	человека в	4	3
55	и у	3	3
56	в том	8	3
57	и его	14	3
58	достоевского к	4	3
59	том что	7	3
60	и как	7	3
61	тем что	4	3
62	достоевский не	3	3
63	в его	24	3
64	далеко не	3	3
65	его в	6	3
66	из подполья	10	3
67	но он	2	3
68	и о	5	3
69	одним из	6	3
70	он не	5	3
71	о достоевском	7	2
72	он сам	3	2
73	в своей	8	2
74	и это	5	2
75	никогда не	3	2
76	его и	2	2
77	в них	3	2
78	как раз	6	2
79	не может	12	2
80	а в	7	2
81	отношения к	3	2
82	таким образом	12	2
83	он писал	2	2
84	рядом с	14	2
85	но это	4	2
86	в той	2	2
87	уже не	13	2
88	к себе	2	2
89	роман достоевского	12	2
90	же не	2	2
91	с точки	13	2
92	же в	2	2
93	как же	4	2
94	достоевского он	2	2
95	в этой	4	2
96	их в	4	2
97	достоевский был	3	2
98	но как	3	2
99	точки зрения	19	2
100	и ее	2	2
101	в себе	7	2
102	отношение к	2	2
103	для него	18	2
104	еще не	5	2
105	его на	2	2
106	в мире	6	2
107	одна из	3	2
